original_colname,normalized_colname
studyId,study_identifier
patientId,patient_identifier
SAMPLE_COUNT,sample_count
sampleId,sample_identifier
MUTATION_COUNT,mutation_count
CANCER_TYPE_DETAILED,cancer_type_detailed
CANCER_TYPE,cancer_type
ONCOTREE_CODE,oncotree_code
TMB_NONSYNONYMOUS,tumor_mutational_burden_nonsynonymous
SOMATIC_STATUS,somatic_status
SEX,sex
AGE,age
FRACTION_GENOME_ALTERED,fraction_genome_altered
SAMPLE_TYPE,sample_type
OS_MONTHS,overall_survival_months
OS_STATUS,overall_survival_status
RACE,race
ETHNICITY,ethnicity
DFS_STATUS,disease_free_survival_status
DFS_MONTHS,disease_free_survival_months
PRIMARY_SITE,primary_site
TISSUE_SOURCE_SITE,tissue_source_site
OTHER_PATIENT_ID,other_patient_id
GENE_PANEL,gene_panel
SAMPLE_CLASS,sample_class
ICD_O_3_SITE,international_classification_diseases_o_3_site
HISTORY_NEOADJUVANT_TRTYN,history_neoadjuvant_trtyn
NEW_TUMOR_EVENT_AFTER_INITIAL_TREATMENT,new_tumor_event_after_initial_treatment
ICD_10,international_classification_diseases_10
ICD_O_3_HISTOLOGY,international_classification_diseases_o_3_histology
DAYS_TO_INITIAL_PATHOLOGIC_DIAGNOSIS,days_to_initial_pathologic_diagnosis
INFORMED_CONSENT_VERIFIED,informed_consent_verified
FORM_COMPLETION_DATE,form_completion_date
GRADE,grade
PFS_MONTHS,progression_free_survival_months
METASTATIC_SITE,metastatic_site
AJCC_STAGING_EDITION,american_joint_committee_on_cancer_staging_edition
PFS_STATUS,progression_free_survival_status
TUMOR_TISSUE_SITE,tumor_tissue_site
TUMOR_PURITY,tumor_purity
AJCC_PATHOLOGIC_TUMOR_STAGE,american_joint_committee_on_cancer_pathologic_tumor_stage
SUBTYPE,subtype
TUMOR_TYPE,tumor_type
PATH_T_STAGE,pathologic_t_stage
MSI_SCORE,microsatellite_instability_score
OTHER_SAMPLE_ID,other_sample_id
HISTOLOGICAL_DIAGNOSIS,histological_diagnosis
HISTORY_OTHER_MALIGNANCY,history_other_malignancy
RADIATION_THERAPY,radiation_therapy
RADIATION_TREATMENT_ADJUVANT,radiation_treatment_adjuvant
TUMOR_STATUS,tumor_status
PROSPECTIVE_COLLECTION,prospective_collection
ANEUPLOIDY_SCORE,aneuploidy_score
DAYS_LAST_FOLLOWUP,days_last_followup
DSS_STATUS,disease_specific_survival_status
INITIAL_PATHOLOGIC_DX_YEAR,initial_pathologic_diagnosis_year
IS_FFPE,is_formalin_fixed_paraffin_embedded
RETROSPECTIVE_COLLECTION,retrospective_collection
DAYS_TO_COLLECTION,days_to_collection
MSI_TYPE,microsatellite_instability_type
OCT_EMBEDDED,optimal_cutting_temperature_embedded
PATHOLOGY_REPORT_FILE_NAME,pathology_report_file_name
SAMPLE_TYPE_ID,sample_type_id
VIAL_NUMBER,vial_number
DAYS_TO_BIRTH,days_to_birth
MSI_SENSOR_SCORE,microsatellite_instability_sensor_score
PATHOLOGY_REPORT_UUID,pathology_report_universally_unique_identifier
SAMPLE_COVERAGE,sample_coverage
CANCER_TYPE_ACRONYM,cancer_type_acronym
IN_PANCANPATHWAYS_FREEZE,in_pancanpathways_freeze
MSI_SCORE_MANTIS,microsatellite_instability_score_mantis
PATH_N_STAGE,pathologic_n_stage
TISSUE_SOURCE_SITE_CODE,tissue_source_site_code
DSS_MONTHS,disease_specific_survival_months
PERSON_NEOPLASM_CANCER_STATUS,person_neoplasm_cancer_status
PRIOR_DX,prior_diagnosis
SAMPLE_INITIAL_WEIGHT,sample_initial_weight
INSTITUTE,institute
TISSUE_PROSPECTIVE_COLLECTION_INDICATOR,tissue_prospective_collection_indicator
TISSUE_RETROSPECTIVE_COLLECTION_INDICATOR,tissue_retrospective_collection_indicator
VITAL_STATUS,vital_status
SMOKING_PACK_YEARS,smoking_pack_years
WEIGHT,weight
SITE_OF_TUMOR_TISSUE,site_of_tumor_tissue
STAGE,stage
TUMOR_SITE,tumor_site
PATH_M_STAGE,pathologic_m_stage
PHARMACEUTICAL_TX_ADJUVANT,pharmaceutical_treatment_adjuvant
SPECIMEN_PRESERVATION_TYPE,specimen_preservation_type
