cluster,size,label,description,manual
1,149,Pharmacological Treatment (General),"Various treatment indicators including mitotane, TMZ, platinum, anthracycline, and other chemotherapy agents",treatment_name (94); treatment_type (30); treatment_reason (9); treatment_notes (8); treatment_status (5); treatment_duration (1); treatment_number (1); treatment_start (1)
2,329,Treatment History & Demographics,"Mixed category including gender, treatment details, chemotherapy history, therapy types, and drug formulations",treatment_type (108); treatment_reason (55); treatment_name (52); treatment_status (52); treatment_notes (18); treatment_number (14); treatment_dose (11); treatment_group (6); treatment_duration (4); sex (2); treatment_end (2); treatment_frequency (2); disease (1); treatment_start (1); vital_status (1)
3,21,Diagnosis Characteristics,"Diagnosis-related fields including metastatic status, disease multifocality, specific diagnoses, and metastasis sites",disease (7); sex (5); cancer_type (3); body_site (2); cancer_type_details (2); treatment_duration (1); vital_status (1)
4,74,Radiation Therapy,"Radiation and brachytherapy details including type, dose, site, and surgical radiation combinations",treatment_type (32); treatment_notes (15); treatment_dose (8); treatment_status (8); treatment_reason (4); treatment_name (3); treatment_number (2); treatment_end (1); treatment_start (1)
5,145,Demographics & Tumor Characteristics,"Race, ethnicity, ancestry, tumor type, subtype, and tumor-related anatomical information",body_site (33); cancer_subtype (32); ancestry (11); ancestry_details (11); disease (11); cancer_type (8); cancer_type_details (6); country (6); location (6); treatment_type (5); treatment_name (4); sample_type (3); specimen_type (3); sex (2); treatment_notes (2); age_at_diagnosis (1); cancer_status (1)
6,16,2-Year Treatment Indicators,"Binary indicators for various treatments within 2 years (e.g., fulvestrant, capecitabine, anti-HER2, tamoxifen)",treatment_duration (8); treatment_name (7); treatment_type (1)
7,48,Age Variables,"Age at various timepoints: death, diagnosis, metastasis, procurement, sequencing, and sampling",age_at_procurement (19); age_at_diagnosis (9); treatment_end (4); treatment_notes (4); treatment_start (4); treatment_type (4); age_at_metastasis (3); age_at_death (1)
8,52,Treatment Lines,"Line-by-line treatment information (first-line, second-line, etc.) for different therapy types",treatment_number (15); treatment_type (14); treatment_name (8); treatment_reason (8); treatment_status (3); treatment_notes (2); treatment_dose (1); treatment_group (1)
9,4,Breast Cancer Specific,"Breast cancer location, subtype, and breast surgery information",body_site (1); cancer_subtype (1); treatment_name (1); treatment_type (1)
10,14,Survival Status,"Overall survival, disease-free survival, vital status, and progression-free survival indicators",vital_status (14)
11,4,Testicular Cancer Specific,"Testicular involvement, relapse sites, undescended testis history, and family history",sex (4)
12,3,Catecholamines,"Biochemical markers: epinephrine, norepinephrine, and dopamine",treatment_name (3)
13,17,Surgical Procedures (Gynecologic & Other),"Hysterectomy types, hepatectomy, immunosuppressive history, and reflux disease treatment",treatment_type (7); treatment_name (5); treatment_status (3); treatment_notes (2)
14,8,Drug Dosing (Targeted Therapy),Specific dosing information for alpelisib and pembrolizumab,treatment_name (4); treatment_dose (2); treatment_frequency (1); treatment_number (1)
15,22,Recent Treatment & Duration,"Most recent treatment type, duration, and MAPK inhibitor treatment history",treatment_duration (8); treatment_status (5); treatment_type (4); treatment_reason (2); treatment_end (1); treatment_start (1); vital_status (1)
16,59,Surgical Procedures (Prostate & General),"Prostatectomy, general surgery types, procedures at diagnosis, and surgical margins",treatment_type (24); treatment_name (14); treatment_status (6); treatment_notes (5); treatment_reason (4); sex (2); cancer_type (1); treatment_duration (1); treatment_number (1); treatment_start (1)
17,13,Cancer Metastasis Locations,"Cancer locations in lung, bone, liver, brain, ovary, lymph nodes, and other sites",body_site (11); sex (2)
18,21,Treatment Regimen & Cycles,"Current regimen, number of cycles for various drugs, oral contraception, and HER2 status",treatment_number (6); treatment_name (4); treatment_status (4); treatment_type (3); treatment_duration (1); treatment_notes (1); treatment_reason (1); vital_status (1)
19,1,R-CHOP Chemotherapy,R-CHOP or R-CHOP-like chemotherapy regimen,treatment_type (1)
20,4,Alkylating Agent Therapy,Alkylating agent chemotherapy indicators including 2-year treatment flags,treatment_type (3); treatment_duration (1)
21,3,Bladder Cancer Treatment,Noninvasive bladder cancer treatment types and intravesical treatment,treatment_name (1); treatment_notes (1); treatment_type (1)
22,7,Targeted Therapy (Kinase Inhibitors),"Sorafenib, eribulin, lapatinib, and ruxolitinib treatment with associated survival outcomes",treatment_name (5); vital_status (2)
23,44,Immunotherapy (PD-1 Inhibitors),"PD-1 inhibitor details including drug type, concurrent treatments, and steroid use during immunotherapy",treatment_type (14); treatment_status (12); treatment_name (11); treatment_dose (3); treatment_frequency (3); treatment_number (1)
24,2,Liver Disease & Gastric Classification,Fatty liver disease and Lauren classification for gastric cancer,cancer_subtype (1); disease (1)
25,1,Salicylates,Salicylate medication,treatment_type (1)
26,1,Chronic Hepatitis,Chronic hepatitis of any type,cancer_subtype (1)
27,1,Interferon Alpha,Interferon alpha treatment,treatment_name (1)
28,4,Timing Notes,Free text timing notes (other/miscellaneous),treatment_end (1); treatment_frequency (1); treatment_name (1); treatment_notes (1)
29,3,Imaging Metrics,Cervix SUV results and UV rate measurements,sex (1); treatment_dose (1); treatment_type (1)
30,1,Residual Disease,Residual nodal disease after treatment,disease (1)
