original_value,top1_match,top2_match,top3_match,top4_match,top5_match,top1_confidence,top1_quality,top1_rationale,top2_confidence,top2_quality,top2_rationale,top3_confidence,top3_quality,top3_rationale,top4_confidence,top4_quality,top4_rationale,top5_confidence,top5_quality,top5_rationale,best_match_rank,best_match_confidence,overall_assessment
25-30% DUCTAL COMPONENT,Ductal Eccrine Adenocarcinoma,Oligometastatic Pancreatic Ductal Adenocarcinoma,Ductal Eccrine Carcinoma with Abundant Fibromyxoid Stroma,Diffuse Intraductal Papillomatosis,Intraductal Papilloma,0.55,moderate,1/2 key terms matched; 40.0% term overlap,0.3,fair,1/2 key terms matched; 38.0% term overlap,0.25,poor,1/2 key terms matched; 35.7% term overlap,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.55,moderate_confidence
82463 NEUROENDOCRINE CARCINOMA NOS,Neuroendocrine Carcinoma,Cervical Neuroendocrine Carcinoma,Advanced Neuroendocrine Carcinoma,Grade III Neuroendocrine Carcinoma,Gastric Neuroendocrine Carcinoma,0.7,good,2/3 key terms matched; 66.7% term overlap,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.6,moderate,2/3 key terms matched; 60.0% term overlap,0.4,fair,2/3 key terms matched; 56.0% term overlap,0.5,fair,2/3 key terms matched; 60.0% term overlap,1,0.7,good_confidence
AB,Branchioma,Blastoma,Adult Acute Basophilic Leukemia,Acute Basophilic Leukemia,Barrett Adenocarcinoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
ACANTHOLYTIC,Acantholytic Acanthoma,Acanthoma,Epidermolytic Acanthoma,Clear Cell Acanthoma,Large Cell Acanthoma,0.95,excellent,All key terms present (1/1 terms matched),0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.95,high_confidence
ACC,Adenoma,Adult Cholangiocarcinoma,Advanced Cholangiocarcinoma,Cholangiocarcinoma,Ciliary Body Adenoma,0.2,poor,No key term overlap - likely poor match,0.15,poor,No key term overlap - likely poor match,0.1,poor,No key term overlap - likely poor match,0.05,poor,No key term overlap - likely poor match,0.0,poor,No key term overlap - likely poor match,1,0.2,low_confidence
ACINAR ADENOCARCINOMA 85513,Prostate Acinar Adenocarcinoma,Lung Acinar Adenocarcinoma,Pancreatic Adenocarcinoma,Adenocarcinoma,Acinar Cell Carcinoma,0.7,good,2/3 key terms matched; 60.0% term overlap,0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.25,poor,1/3 key terms matched; 30.0% term overlap,0.2,poor,1/3 key terms matched; 33.3% term overlap,0.15,poor,1/3 key terms matched; 28.0% term overlap,1,0.7,good_confidence
ACINAR CELL CARCINOMA,Acinar Cell Carcinoma,Pancreatic Acinar Cell Carcinoma,Acinar Cell Neoplasm,Acinar Cell Adenoma,Breast Acinic Cell Carcinoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (3/3 terms matched),0.6,moderate,2/3 key terms matched; 60.0% term overlap,0.55,moderate,2/3 key terms matched; 60.0% term overlap,0.35,fair,2/3 key terms matched; 56.0% term overlap,1,1.0,high_confidence
ACINAR CELL CARCINOMA OF THE PANCREAS,Pancreatic Acinar Cell Carcinoma,Acinar Cell Carcinoma,Pancreatic Acinar Cell Neoplasm,Childhood Pancreatic Acinar Cell Carcinoma,Pancreatic Acinar Cell Cystadenocarcinoma,0.7,good,3/4 key terms matched; 69.0% term overlap,0.65,moderate,3/4 key terms matched; 75.0% term overlap,0.45,fair,2/4 key terms matched; 43.3% term overlap,0.55,moderate,3/4 key terms matched; 65.0% term overlap,0.35,fair,2/4 key terms matched; 43.3% term overlap,1,0.7,good_confidence
"ACINAR CELL CARCINOMA, NOS",Acinar Cell Carcinoma,Pancreatic Acinar Cell Carcinoma,Acinar Cell Neoplasm,Acinar Cell Adenoma,Salivary Gland Acinic Cell Carcinoma,0.95,excellent,All key terms present (3/3 terms matched),0.9,excellent,All key terms present (3/3 terms matched),0.6,moderate,2/3 key terms matched; 60.0% term overlap,0.55,moderate,2/3 key terms matched; 60.0% term overlap,0.35,fair,2/3 key terms matched; 53.3% term overlap,1,0.95,high_confidence
ACINIC CELL CARCINOMA,Breast Acinic Cell Carcinoma,Acinar Cell Carcinoma,Salivary Gland Acinic Cell Carcinoma,Lacrimal Gland Acinic Cell Carcinoma,Major Salivary Gland Acinic Cell Carcinoma,0.95,excellent,All key terms present (3/3 terms matched),0.65,moderate,2/3 key terms matched; 60.0% term overlap,0.85,excellent,All key terms present (3/3 terms matched),0.8,good,All key terms present (3/3 terms matched),0.75,good,All key terms present (3/3 terms matched),1,0.95,high_confidence
ACRAL,Acral Nevus,Acral Melanoma,Acral Fibromyxoma,Acral Lentiginous Melanoma,Astrocytoma,0.95,excellent,All key terms present (1/1 terms matched),0.9,excellent,All key terms present (1/1 terms matched),0.85,excellent,All key terms present (1/1 terms matched),0.8,good,All key terms present (1/1 terms matched),0.0,poor,No key term overlap - likely poor match,1,0.95,high_confidence
ACRAL LENTIGINOUS,Acral Lentiginous Melanoma,Acral Nevus,Metastatic Acral Lentiginous Melanoma,Lentigo Maligna,Acral Melanoma,0.95,excellent,All key terms present (2/2 terms matched),0.5,moderate,1/2 key terms matched; 43.3% term overlap,0.85,excellent,All key terms present (2/2 terms matched),0.05,poor,No key term overlap - likely poor match,0.35,fair,1/2 key terms matched; 43.3% term overlap,1,0.95,high_confidence
ACRAL MELANOMA,Acral Melanoma,Acral Lentiginous Melanoma,Acral Nevus,Cutaneous Melanoma,Metastatic Acral Lentiginous Melanoma,1.0,excellent,Exact match,0.9,excellent,All key terms present (2/2 terms matched),0.45,fair,1/2 key terms matched; 43.3% term overlap,0.4,fair,1/2 key terms matched; 43.3% term overlap,0.75,good,All key terms present (2/2 terms matched),1,1.0,high_confidence
ACTIVATED B-CELL TYPE,Diffuse Large B-Cell Lymphoma Activated B-Cell Type,Advanced B-Cell Malignant Neoplasm,Mature B-Cell Neoplasm,Centroblastic Lymphoma,B-Cell Neoplasm,0.95,excellent,All key terms present (3/3 terms matched),0.3,fair,1/3 key terms matched; 26.7% term overlap,0.25,poor,1/3 key terms matched; 28.0% term overlap,0.05,poor,No key term overlap - likely poor match,0.15,poor,1/3 key terms matched; 30.0% term overlap,1,0.95,high_confidence
ACUTE BIPHENOTYPIC LEUKEMIA,Acute Biphenotypic Leukemia,Infant Acute Biphenotypic Leukemia,Recurrent Acute Biphenotypic Leukemia,Acute Bilineal Leukemia,Acute Basophilic Leukemia,1.0,excellent,Exact match,0.9,excellent,All key terms present (3/3 terms matched),0.85,excellent,All key terms present (3/3 terms matched),0.55,moderate,2/3 key terms matched; 60.0% term overlap,0.5,fair,2/3 key terms matched; 60.0% term overlap,1,1.0,high_confidence
ACUTE ERYTHROID LEUKAEMIA,Acute Erythroid Leukemia,Pure Erythroid Leukemia,Childhood Acute Erythroid Leukemia,Adult Acute Erythroid Leukemia,Adult Pure Erythroid Leukemia,0.7,good,2/3 key terms matched; 60.0% term overlap,0.3,fair,1/3 key terms matched; 28.0% term overlap,0.45,fair,2/3 key terms matched; 56.0% term overlap,0.4,fair,2/3 key terms matched; 56.0% term overlap,0.15,poor,1/3 key terms matched; 26.7% term overlap,1,0.7,good_confidence
