ColName,ColClass,Description,original_field,original_field_num
patient_id,string,Unique patient identifier,PATIENT_ID,1
age_at_diagnosis,numeric,Patient age at initial cancer diagnosis,"AGE_AT_DIAGNOSIS;AGE_AT_INITIAL_DIAGNOSIS;AGE_AT_INITIAL_PATHOLOGIC_DIAGNOSIS;PATIENT_AGE_AT_DIAGNOSIS;DIAGNOSIS AGE;AGE_AT_DX;AGE;AGE_YRS;AGE_D;AGE_IN_DAYS",10
age_at_sampling,numeric,Patient age when biological sample was collected,"AGE_AT_SAMPLING;AGE_AT_SAMPLE_COLLECTION;AGE_AT_SPECIMEN_ACQUISITION;AGE_AT_PROCUREMENT;AGE_AT_DERIVATION;AGE_AT_SEQUENCING;AGE_AT_SEQ_REPORTED_YEARS;AGE_AT_SEQ_REPORT;AGE_TESTING_YEARS",9
age_at_metastasis,numeric,Patient age at metastatic disease diagnosis,"AGE_AT_METS;AGE_AT_MET;AGE_AT_EVIDENCE_OF_METS",3
age_at_treatment_start,numeric,Patient age when specific treatment began,"AGE_AT_RADIATION_START;AGE_AT_CHEMOTHERAPY_START;AGE_START_IO;AGE_AT_PD1",4
age_at_treatment_stop,numeric,Patient age when specific treatment ended,"AGE_AT_RADIATION_STOP;AGE_AT_CHEMOTHERAPY_STOP",2
age_at_death,numeric,Patient age at time of death,AGE_AT_DEATH,1
age_at_resection,numeric,Patient age at surgical resection,AGE_AT_RESECTION;AGE_RESECTED,2
age_group,string,Categorical age grouping,"AGE_AT_DIAGNOSIS_GROUP;AGE_GROUP",2
sex,string,Biological sex of patient,SEX;GENDER,2
race,string,Patient race or racial category,"RACE;RACE_CATEGORY;RACE_CATEGORIZED;PRD_RACE",4
ethnicity,string,Patient ethnicity,"ETHNICITY;ETHNICITY_SELF_IDENTIFY;REPORTED_ETHNICITY;HISPANIC;PRD_HISPANIC;INFERRED_ETHNICITY",6
ancestry,string,Patient ancestry or genetic background,ANCESTRY_PRIMARY,1
country,string,Country of patient origin or residence,"COUNTRY;COUNTRY_OF_ORIGIN;PARTICIPANT_COUNTRY;BIRTH_COUNTRY;TUMOR_SAMPLE_PROCUREMENT_COUNTRY;COUNTRY_OF_PROCUREMENT",6
primary_diagnosis,string,Primary cancer diagnosis,"PRIMARY_DIAGNOSIS;DIAGNOSIS;PATHOLOGICAL_DIAGNOSIS;HISTOLOGY_DIAGNOSIS;HISTOLOGICAL_DIAGNOSIS;SPECIFIC_DIAGNOSIS_AT_ACQUISITION;SPECIFIC_DIAGNOSIS_AT_INCLUSION;DIAGNOSIS_AT_INCLUSION;DX_AT_INCLUSION;SPECIFIC_DX_AT_ACQUISITION;SPECIFIC_DX_AT_INCLUSION;ORIGINAL_DIAGNOSIS_AT_IMPLANT",12
cancer_type,string,General cancer type classification,"CANCER_TYPE;CANCER.TYPE;CANCER_TYPE_DETAILED;DETAILED_CANCER_TYPE;curated_cancer_type",5
