"ColName","ColClass","Description","original_field","original_field_num"
"age_at_death","Numeric","The age at which death occurred. Unit is a year.","AGE_AT_DEATH",1
"age_at_diagnosis","Numeric","The age of an individual at the time of initial pathologic diagnosis.","AGE_AT_DIAGNOSIS;AGE_AT_DIAGNOSIS_GROUP;AGE_AT_INITIAL_DIAGNOSIS;INVASIVE_CARCINOMA_DX_AGE;AGE_AT_DX;AGE_AT_PD1;AGE_D;DIAGNOSIS AGE;AGE_AT_INITIAL_PATHOLOGIC_DIAGNOSIS;PATIENT_AGE_AT_DIAGNOSIS",10
"age_at_metastasis","Numeric","Subject's age in years at initial metastasis of cancer","AGE_AT_MET;AGE_AT_EVIDENCE_OF_METS;AGE_AT_METS",3
"age_at_procurement","Numeric","Subject's age in years at initial procurement of the sample","AGE;AGE_IN_DAYS;AGE_AT_PROCUREMENT;AGE_RESECTED;AGE_AT_SEQ_REPORT;AGE_AT_SEQ_REPORTED_YEARS;AGE_AT_SAMPLING;AGE_AT_SCC;AGE_AT_RESECTION;AGE_GROUP;AGE_TESTING_YEARS;AGE_START_IO;AGE_YRS;AGE_AT_SAMPLE_COLLECTION;AGE_AT_DERIVATION;AGE_AT_SEQUENCING;AGE_AT_TCGA_SPECIMEN;AGE_AT_DOS_BX;AGE_AT_SPECIMEN_ACQUISITION",19
"age_group","String","Subgroups of populations based on age.",NA,NA
"ancestry","String","A person's descent or lineage. Patient's population ancestry information, inclusive of values relating to racial and ethnic groups","RACE;ETHNICITY;PRD_HISPANIC;PRD_RACE;HISPANIC;RACE_CATEGORIZED;ETHNICITY_SELF_IDENTIFY;INFERRED_ETHNICITY;REPORTED_ETHNICITY;ANCESTRY_PRIMARY;RACE_CATEGORY",11
"ancestry_details","String","A person's descent or lineage (more specific than 'ancestry'). Patient's population ancestry information, inclusive of values relating to racial and ethnic groups","RACE;ETHNICITY;PRD_HISPANIC;PRD_RACE;HISPANIC;RACE_CATEGORIZED;ETHNICITY_SELF_IDENTIFY;INFERRED_ETHNICITY;REPORTED_ETHNICITY;ANCESTRY_PRIMARY;RACE_CATEGORY",11
"body_site","String","Named locations of or within the body. The anatomical location(s) affected by the patient's disease/condition/cancer, often the site from which the sample was derived","PRIMARY_SITE;METASTATIC_SITE;TUMOR_TISSUE_SITE;PRIMARY_SITE_PATIENT;TUMOR_TISSUE_SITE_PATIENT;TUMOR_LOCATION_CONDENSED;MULTIPLE_TUMOR_LOCATIONS;TUMOR_SITE;ANATOMICAL_SUBTYPE;TUMOR_TISSUE_ORIGIN;ESOPHAGEAL_TUMOR_LOCATION_INVOLVED;ESOPHAGEAL_TUMOR_LOCATION_CENTERED;LOCALIZED_VS_METS_AT_DX;LOCATION;TISSUE_SITE;TUMOR_LOCATION;TUMOR_LATERALITY;TUMOR_SITE_CURATED;LOCATION_LUNG_PARENCHYMA;BIOPSY_SITE;SOURCE_TYPE;TUMOR_LEVEL;SPECIFIC_TUMOR_LOCATION;DISEASE_EXTENT;TISSUE_TYPE;DISEASE_MULTIFOCAL_INDICATOR;PRIMARY_TUMOR_LOCATION;LOCALIZED_TUMOR;DETAILED_PRIMARY_SITE;TISSUE_SITE_OF_DERIVATION;DIAGNOSIS_CANCER_BONE;DIAGNOSIS_CANCER_LOC_AXILLARY_LN;DIAGNOSIS_CANCER_LOC_BREAST;DIAGNOSIS_CANCER_LOC_LIVER;DIAGNOSIS_CANCER_LOC_OTHER_LN;DIAGNOSIS_CANCER_LOC_SKIN;DIAGNOSIS_CANCER_LOC_LUNG;DIAGNOSIS_CANCER_LOC_PLEURAL_EFFUSION;DIAGNOSIS_CANCER_LOC_BRAIN;DIAGNOSIS_CANCER_LOC_OVARY;DIAGNOSIS_CANCER_LOC_CHEST_WALL;TUMOR_MEGASITE;TUMOR_SUBSITE;TUMOR_SUPERSITE;TUMOR_SITE_SAMPLE;TUMOR_SITE_DETAIL;LOCATION_RECURRED",47
"cancer_status","String","Tumor status","PERSON_NEOPLASM_CANCER_STATUS",1
"cancer_subtype","String","A specifc subtype(s) of the cancer (relevant to the sample) which the patient has been diagnosed with","SUBTYPE;HISTOLOGICAL_SUBTYPE;IHC_SUBTYPE;MORPHOLOGY_SUBTYPE;PAM50_SUBTYPE;LINEAGE_SUBTYPE;TYPE_REFINED;HIST_SUBTYPE1;HIST_SUBTYPE2;LINEAGE_SUB_SUBTYPE;INTEGRATED_PHENOTYPE;MUTATION_PHENOTYPE;BREAST_CANCER_SUBTYPE;SUBTYPE_CONSENSUS;HISTOLOGY_SUBTYPE;CHRONIC_HEPATITIS_ANY_TYPE;PREDOMINANT_HISTOLOGIC_SUBTYPE;SUBTYPE_GROUP;DOMINANT_HISTOLOGICAL_SUBTYPE;ADENOCARCINOMA_SUBTYPE_WHO2015;PRIMARY_TYPE;PATHOLOGY_CLASSIFICATION;SUBTYPE_DETAILS;CANCER_SUBTYPE_CURATED;PRIMARY_MELANOMA_SKIN_TYPE;PRIMARY_TUMOR_LOCALIZATION_TYPE;TYPE;LAUREN_CLASS;INTESTINAL_TYPE_SUBCLASS;GASTRIC_CLASSIFICATION;CYTOLOGICAL_PHENOTYPE;SUBTYPE_ABBREVIATION;MCRC_TYPE;CLAUDIN_SUBTYPE;PREDOM_HISTO_SUBTYPE",35
