field_name,source,is_numeric_field
age_at_death,age_at_death,yes
age_at_death,death_age,yes
age_at_death,age_death,yes
age_at_death,ageAtDeath,yes
age_at_death,AGE_AT_DEATH,yes
age_at_death,age_of_death,yes
age_at_death,deathagetotal,yes
age_at_death,death_age_years,yes
age_at_death,pt_age_at_death,yes
age_at_death,patient_age_at_death,yes
age_at_diagnosis,age_at_diagnosis,yes
age_at_diagnosis,age_at_dx,yes
age_at_diagnosis,diagnosis_age,yes
age_at_diagnosis,age_dx,yes
age_at_diagnosis,ageAtDiagnosis,yes
age_at_diagnosis,AGE_AT_DIAGNOSIS,yes
age_at_diagnosis,age_of_diagnosis,yes
age_at_diagnosis,age_at_initial_diagnosis,yes
age_at_diagnosis,pt_age_at_dx,yes
age_at_diagnosis,patient_age_at_diagnosis,yes
age_at_diagnosis,age_at_first_diagnosis,yes
age_at_diagnosis,initial_diagnosis_age,yes
age_at_diagnosis,agediag,yes
age_at_diagnosis,diag_age,yes
age_at_diagnosis,age_at_cancer_diagnosis,yes
age_at_metastasis,age_at_metastasis,yes
age_at_metastasis,age_at_met,yes
age_at_metastasis,metastasis_age,yes
age_at_metastasis,age_mets,yes
age_at_metastasis,ageAtMetastasis,yes
age_at_metastasis,AGE_AT_METASTASIS,yes
age_at_metastasis,age_of_metastasis,yes
age_at_metastasis,age_at_first_metastasis,yes
age_at_metastasis,pt_age_at_metastasis,yes
age_at_metastasis,patient_age_at_metastasis,yes
age_at_metastasis,age_at_initial_metastasis,yes
age_at_metastasis,age_at_distant_metastasis,yes
age_at_procurement,age_at_procurement,yes
age_at_procurement,age_at_collection,yes
age_at_procurement,procurement_age,yes
age_at_procurement,collection_age,yes
age_at_procurement,ageAtProcurement,yes
age_at_procurement,AGE_AT_PROCUREMENT,yes
age_at_procurement,age_of_procurement,yes
age_at_procurement,age_at_sample_procurement,yes
age_at_procurement,pt_age_at_procurement,yes
age_at_procurement,patient_age_at_procurement,yes
age_at_procurement,age_at_sample_collection,yes
age_at_procurement,age_at_biopsy,yes
age_at_procurement,age_at_sampling,yes
age_at_procurement,sample_age,yes
age_at_procurement,age_at_resection,yes
age_group,age_group,
age_group,ageGroup,
age_group,AGE_GROUP,
age_group,age_category,
age_group,age_range,
age_group,age_strata,
age_group,age_class,
age_group,patient_age_group,
age_group,pt_age_group,
age_group,age_bracket,
age_group,age_cohort,
ancestry,ancestry,
ancestry,race,
ancestry,ethnicity,
ancestry,race_ethnicity,
ancestry,ethnic_group,
ancestry,racial_background,
ancestry,patient_race,
ancestry,pt_race,
ancestry,patient_ethnicity,
ancestry,pt_ethnicity,
ancestry,ethnic_category,
ancestry,racial_category,
ancestry,population_ancestry,
ancestry,ancestral_background,
ancestry,genetic_ancestry,
ancestry,self_reported_race,
ancestry,self_reported_ethnicity,
ancestry,race_category,
ancestry_details,ancestry_details,
ancestry_details,detailed_ancestry,
ancestry_details,race_details,
ancestry_details,ethnicity_details,
ancestry_details,detailed_ethnicity,
ancestry_details,specific_ancestry,
ancestry_details,subcategory_ancestry,
ancestry_details,race_subcategory,
ancestry_details,ethnicity_subcategory,
ancestry_details,detailed_race,
ancestry_details,specific_ethnicity,
ancestry_details,refined_ancestry,
body_site,body_site,
body_site,anatomic_site,
body_site,site,
body_site,anatomical_site,
body_site,tumor_site,
body_site,primary_site,
body_site,disease_site,
body_site,location,
body_site,anatomical_location,
body_site,tumor_location,
body_site,primary_tumor_site,
body_site,organ_site,
body_site,tissue_site,
body_site,topography,
body_site,icd_o_site,
body_site,primary_diagnosis_site,
body_site,affected_site,
body_site,lesion_site,
body_site,cancer_site,
body_site,disease_location,
cancer_status,cancer_status,
cancer_status,tumor_status,
cancer_status,disease_status,
cancer_status,tumorStatus,
cancer_status,CANCER_STATUS,
cancer_status,current_cancer_status,
cancer_status,current_tumor_status,
cancer_status,cancer_free_status,
cancer_status,tumor_free_status,
cancer_status,disease_free_status,
cancer_status,remission_status,
cancer_status,cancer_presence,
cancer_status,residual_tumor,
cancer_status,residual_disease,
cancer_subtype,cancer_subtype,
cancer_subtype,cancer_sub_type,
cancer_subtype,tumor_subtype,
