original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score,top1_accuracy,top3_accuracy,top5_accuracy
25-30% DUCTAL COMPONENT,Prostate Ductal Adenocarcinoma,99,2,Ductal Eccrine Adenocarcinoma,0.6203,Oligometastatic Pancreatic Ductal Adenocarcinoma,0.6008,Ductal Eccrine Carcinoma with Abundant Fibromyxoid Stroma,0.5990,Diffuse Intraductal Papillomatosis,0.5958,Intraductal Papilloma,0.5946,False,False,False
82463 NEUROENDOCRINE CARCINOMA NOS,Neuroendocrine Carcinoma,1,2,Neuroendocrine Carcinoma,0.7585,Cervical Neuroendocrine Carcinoma,0.7151,Advanced Neuroendocrine Carcinoma,0.7141,Grade III Neuroendocrine Carcinoma,0.7064,Gastric Neuroendocrine Carcinoma,0.7034,True,True,True
AB,Thymoma Type AB,99,2,Branchioma,0.6178,Blastoma,0.6003,Adult Acute Basophilic Leukemia,0.5979,Acute Basophilic Leukemia,0.5913,Barrett Adenocarcinoma,0.5850,False,False,False
ACANTHOLYTIC,Skin Acantholytic Squamous Cell Carcinoma,99,2,Acantholytic Acanthoma,0.8033,Acanthoma,0.7408,Epidermolytic Acanthoma,0.7229,Clear Cell Acanthoma,0.6689,Large Cell Acanthoma,0.6590,False,False,False
ACC,Adrenal Cortical Carcinoma,99,2,Adenoma,0.6409,Adult Cholangiocarcinoma,0.6319,Advanced Cholangiocarcinoma,0.6314,Cholangiocarcinoma,0.6301,Ciliary Body Adenoma,0.6295,False,False,False
ACINAR ADENOCARCINOMA 85513,Lung Acinar Adenocarcinoma,2,2,Prostate Acinar Adenocarcinoma,0.6614,Lung Acinar Adenocarcinoma,0.6432,Pancreatic Adenocarcinoma,0.6395,Adenocarcinoma,0.6316,Acinar Cell Carcinoma,0.6309,False,True,True
ACINAR CELL CARCINOMA,Acinar Cell Carcinoma,1,2,Acinar Cell Carcinoma,1.0000,Pancreatic Acinar Cell Carcinoma,0.9034,Acinar Cell Neoplasm,0.8874,Acinar Cell Adenoma,0.8750,Breast Acinic Cell Carcinoma,0.8287,True,True,True
ACINAR CELL CARCINOMA OF THE PANCREAS,Pancreatic Acinar Cell Carcinoma,1,2,Pancreatic Acinar Cell Carcinoma,0.9614,Acinar Cell Carcinoma,0.9023,Pancreatic Acinar Cell Neoplasm,0.8340,Childhood Pancreatic Acinar Cell Carcinoma,0.8240,Pancreatic Acinar Cell Cystadenocarcinoma,0.8187,True,True,True
"ACINAR CELL CARCINOMA, NOS",Acinar Cell Carcinoma,1,2,Acinar Cell Carcinoma,0.9626,Pancreatic Acinar Cell Carcinoma,0.8781,Acinar Cell Neoplasm,0.8388,Acinar Cell Adenoma,0.8293,Salivary Gland Acinic Cell Carcinoma,0.8056,True,True,True
ACINIC CELL CARCINOMA,Acinar Cell Carcinoma,2,2,Breast Acinic Cell Carcinoma,0.9182,Acinar Cell Carcinoma,0.9055,Salivary Gland Acinic Cell Carcinoma,0.8879,Lacrimal Gland Acinic Cell Carcinoma,0.8509,Major Salivary Gland Acinic Cell Carcinoma,0.8498,False,True,True
ACRAL,Acral Lentiginous Melanoma,4,2,Acral Nevus,0.7317,Acral Melanoma,0.7245,Acral Fibromyxoma,0.6101,Acral Lentiginous Melanoma,0.5861,Astrocytoma,0.5796,False,False,True
ACRAL LENTIGINOUS,Acral Lentiginous Melanoma,1,2,Acral Lentiginous Melanoma,0.8197,Acral Nevus,0.7096,Metastatic Acral Lentiginous Melanoma,0.6915,Lentigo Maligna,0.6867,Acral Melanoma,0.6746,True,True,True
ACRAL MELANOMA,Acral Lentiginous Melanoma,2,2,Acral Melanoma,1.0000,Acral Lentiginous Melanoma,0.8424,Acral Nevus,0.7821,Cutaneous Melanoma,0.7765,Metastatic Acral Lentiginous Melanoma,0.7363,False,True,True
ACTIVATED B-CELL TYPE,Diffuse Large B-Cell Lymphoma Activated B-Cell Type,1,2,Diffuse Large B-Cell Lymphoma Activated B-Cell Type,0.6586,Advanced B-Cell Malignant Neoplasm,0.6495,Mature B-Cell Neoplasm,0.6196,Centroblastic Lymphoma,0.6177,B-Cell Neoplasm,0.6165,True,True,True
ACUTE BIPHENOTYPIC LEUKEMIA,Acute Biphenotypic Leukemia,1,2,Acute Biphenotypic Leukemia,1.0000,Infant Acute Biphenotypic Leukemia,0.8567,Recurrent Acute Biphenotypic Leukemia,0.7899,Acute Bilineal Leukemia,0.7685,Acute Basophilic Leukemia,0.7415,True,True,True
ACUTE ERYTHROID LEUKAEMIA,Acute Erythroid Leukemia,1,2,Acute Erythroid Leukemia,0.9836,Pure Erythroid Leukemia,0.8704,Childhood Acute Erythroid Leukemia,0.8681,Adult Acute Erythroid Leukemia,0.8618,Adult Pure Erythroid Leukemia,0.8164,True,True,True
