query,stage,method,match1,match1_score,match1_source,match2,match2_score,match2_source,match3,match3_score,match3_source,match4,match4_score,match4_source,match5,match5_score,match5_source
source_file,stage2,semantic,studyId,0.4625,project code,specimen_type,0.4386,specimen source,body_site,0.4013,tissue source site,sampleId,0.4013,sample code,location,0.3029,
studyId,invalid,id_column,,,,,,,,,,,,,,,
patientId,invalid,id_column,,,,,,,,,,,,,,,
SAMPLE_COUNT,stage1,std_exact,sample_count,1.0,,,,,,,,,,,,,
sampleId,invalid,id_column,,,,,,,,,,,,,,,
MUTATION_COUNT,stage2,semantic,sample_count,0.4508,specimen count,treatment_number,0.4388,treatment count,cancer_type,0.3891,disease code,disease,0.3891,disease code,oncotree_code,0.3891,disease code
CANCER_TYPE,stage1,std_exact,cancer_type,1.0,,,,,,,,,,,,,
CANCER_TYPE_DETAILED,stage1,std_exact,cancer_type_detailed,1.0,,,,,,,,,,,,,
ONCOTREE_CODE,stage1,std_exact,oncotree_code,1.0,,,,,,,,,,,,,
SAMPLE_TYPE,stage1,std_exact,sample_type,1.0,,,,,,,,,,,,,
SEX,stage1,std_exact,sex,1.0,,,,,,,,,,,,,
OS_STATUS,stage2,semantic,treatment_status,0.6302,status,cancer_status,0.6302,status,vital_status,0.5757,current status,sample_type,0.4356,disease status,body_site,0.1989,
OS_MONTHS,stage2,numeric,treatment_duration,0.4887,duration,age_at_death,0.3227,years_to_death,treatment_number,0.3191,cycle,,,,,,
RACE,stage1,alias_exact,ancestry,1.0,race,,,,,,,,,,,,
ETHNICITY,stage1,alias_exact,ancestry,1.0,ethnicity,,,,,,,,,,,,
FRACTION_GENOME_ALTERED,stage2,semantic,molecular_subtype,0.3823,,cancer_subtype,0.3823,molecular subtype,ancestry,0.3319,genetic ancestry,sex,0.3226,chromosomal sex,target_condition,0.2786,phenotype
AGE,stage2,numeric,age_at_death,0.8149,age_when_died,age_at_procurement,0.758,sample_age,,,,,,,,,
DISEASE_TYPE,stage1,std_exact,disease_type,1.0,,,,,,,,,,,,,
MORPHOLOGY,stage1,alias_exact,cancer_type,1.0,morphology,,,,,,,,,,,,
OTHER_PATIENT_ID,invalid,id_column,,,,,,,,,,,,,,,
OTHER_SAMPLE_ID,invalid,id_column,,,,,,,,,,,,,,,
PRIMARY_DIAGNOSIS,stage1,alias_exact,cancer_type,1.0,primary_diagnosis,,,,,,,,,,,,
PRIMARY_SITE_PATIENT,stage3,ontology,body_site,1.0,PRIMARY_SITE_PATIENT,,,,,,,,,,,,
PROJECT_ID,invalid,id_column,,,,,,,,,,,,,,,
PROJECT_NAME,stage1,alias_exact,studyId,1.0,project_name,,,,,,,,,,,,
PROJECT_STATE,stage2,semantic,studyId,0.6769,project name,location,0.5969,state,cancer_status,0.4758,cancer state,treatment_status,0.4525,treatment state,country,0.3326,
BIOPSY_SITE,stage1,alias_exact,body_site,1.0,biopsy_site,,,,,,,,,,,,
VITAL_STATUS,stage1,std_exact,vital_status,1.0,,,,,,,,,,,,,
YEAR_OF_DEATH,stage2,numeric,age_at_death,0.8229,years_to_death,,,,,,,,,,,,
YEAR_OF_DIAGNOSIS,stage2,numeric,age_at_diagnosis,0.7126,years_to_birth_diagnosis,,,,,,,,,,,,
PRIOR_MALIGNANCY,stage2,semantic,cancer_type,0.7112,malignancy type,cancer_status,0.6205,tumor presence,cancer_type_details,0.6117,tumor description,sample_type,0.6009,tumor status,cancer_type_detailed,0.5846,
IS_FFPE,stage2,semantic,treatment_name,0.2696,drug,smoker,0.2538,,treatment_group,0.2537,therapy group,treatment_frequency,0.2444,frequency,sample_type,0.2379,metastatic status
PRIOR_TREATMENT,stage1,alias_fuzzy,treatment_duration,0.9032,treatment_period,,,,,,,,,,,,
SOMATIC_STATUS,stage2,semantic,treatment_status,0.5975,status,cancer_status,0.5975,status,vital_status,0.4912,current status,sample_type,0.3856,metastatic status,oncotree_code,0.3112,
SAMPLE_CLASS,stage3,value_std,specimen_type,1.0,Resection,,,,,,,,,,,,
TMB_NONSYNONYMOUS,stage2,semantic,cancer_type,0.3524,histological type,histological_subtype,0.3353,,cancer_subtype,0.3353,histological subtype,treatment_notes,0.3273,miscellaneous,specimen_type,0.3243,tissue type
GENE_PANEL,stage2,semantic,sampleId,0.4698,biospecimen id,ancestry,0.387,genetic ancestry,specimen_type,0.382,biospecimen type,molecular_subtype,0.3622,,cancer_subtype,0.3622,molecular subtype
SMOKING_STATUS,stage2,semantic,smoker,0.5981,,cancer_status,0.5532,cancer status,vital_status,0.4931,patient status,sample_type,0.4566,disease status,treatment_status,0.451,status
TISSUE_SITE,stage1,alias_exact,body_site,1.0,tissue_site,,,,,,,,,,,,
TUMOR_STAGE,invalid,stage_column,,,,,,,,,,,,,,,
SPECIMEN_PRESERVATION_TYPE,stage2,semantic,specimen_type,0.8071,,sample_type,0.6904,specimen category,sampleId,0.6576,specimen identifier,sample_count,0.6254,specimen count,treatment_type,0.3435,
ETHINICITY,stage1,alias_fuzzy,ancestry,0.9474,ethnicity,,,,,,,,,,,,
ORTHOTOPIC_XENOGRAFT_INFORMATION,stage2,semantic,body_site,0.2558,anatomical site,specimen_type,0.2296,specimen source,target_condition,0.2261,phenotype,treatment_dose,0.2212,dose level,ancestry_details,0.2184,ancestral details
PATHOLOGICAL_CLASSIFICATION_OF_PARENTAL_TUMOR_SAMPLE,stage3,ontology,cancer_type,1.0,PATHOLOGICAL_CLASSIFICATION_OF_PARENTAL_TUMOR_SAMPLE,disease,1.0,PATHOLOGICAL_CLASSIFICATION_OF_PARENTAL_TUMOR_SAMPLE,cancer_type_details,1.0,PATHOLOGICAL_CLASSIFICATION_OF_PARENTAL_TUMOR_SAMPLE,,,,,,
