query,stage,method,match1,match1_score,match1_source,match2,match2_score,match2_source,match3,match3_score,match3_source,match4,match4_score,match4_source,match5,match5_score,match5_source
2L_TREATMENT,stage1,alias_exact,treatment_name,1.0,2L_TREATMENT,treatment_reason,1.0,2L_TREATMENT,,,,,,,,,
3L_TREATMENT,stage1,alias_exact,treatment_name,1.0,3L_TREATMENT,treatment_reason,1.0,3L_TREATMENT,,,,,,,,,
ABLATION_EMBOLIZATION_TX_ADJUVANT,stage1,alias_exact,treatment_reason,1.0,ABLATION_EMBOLIZATION_TX_ADJUVANT,treatment_type,1.0,ABLATION_EMBOLIZATION_TX_ADJUVANT,,,,,,,,,
ADC+IMMUNOTHERAPY,stage1,alias_exact,treatment_type,1.0,ADC+IMMUNOTHERAPY,,,,,,,,,,,,
ADC_THERAPY,stage1,alias_exact,treatment_type,1.0,ADC_THERAPY,,,,,,,,,,,,
ADENOCARCINOMA_SUBTYPE_WHO2015,stage1,alias_exact,cancer_subtype,1.0,ADENOCARCINOMA_SUBTYPE_WHO2015,,,,,,,,,,,,
ADJ_XRT,stage1,alias_exact,treatment_reason,1.0,ADJ_XRT,treatment_type,1.0,ADJ_XRT,,,,,,,,,
ADJUVANT,stage1,alias_exact,treatment_reason,1.0,ADJUVANT,,,,,,,,,,,,
ADJUVANT_CHEMO,stage1,alias_exact,treatment_name,1.0,ADJUVANT_CHEMO,treatment_reason,1.0,ADJUVANT_CHEMO,treatment_type,1.0,ADJUVANT_CHEMO,,,,,,
ADJUVANT_CHEMO_REGIMEN,stage1,alias_exact,treatment_name,1.0,ADJUVANT_CHEMO_REGIMEN,treatment_reason,1.0,ADJUVANT_CHEMO_REGIMEN,treatment_type,1.0,ADJUVANT_CHEMO_REGIMEN,,,,,,
ADJUVANT_CHEMOTHERAPY,stage1,alias_exact,treatment_reason,1.0,ADJUVANT_CHEMOTHERAPY,treatment_type,1.0,ADJUVANT_CHEMOTHERAPY,,,,,,,,,
ADJUVANT_CT,stage1,alias_exact,treatment_reason,1.0,ADJUVANT_CT,treatment_type,1.0,ADJUVANT_CT,,,,,,,,,
ADJUVANT_CYCLES_NUM,stage1,alias_exact,treatment_number,1.0,ADJUVANT_CYCLES_NUM,,,,,,,,,,,,
ADJUVANT_HORMONE_THERAPY,stage1,alias_exact,treatment_name,1.0,ADJUVANT_HORMONE_THERAPY,treatment_reason,1.0,ADJUVANT_HORMONE_THERAPY,treatment_type,1.0,ADJUVANT_HORMONE_THERAPY,,,,,,
ADJUVANT_IMMUNOTHERAPY,stage1,alias_exact,treatment_reason,1.0,ADJUVANT_IMMUNOTHERAPY,treatment_type,1.0,ADJUVANT_IMMUNOTHERAPY,,,,,,,,,
ADJUVANT_RADIATION_THERAPY,stage1,alias_exact,treatment_reason,1.0,ADJUVANT_RADIATION_THERAPY,treatment_type,1.0,ADJUVANT_RADIATION_THERAPY,,,,,,,,,
ADJUVANT_TARGETED,stage1,alias_exact,treatment_reason,1.0,ADJUVANT_TARGETED,treatment_type,1.0,ADJUVANT_TARGETED,,,,,,,,,
ADJUVANT_THERAPY,stage1,alias_exact,treatment_reason,1.0,ADJUVANT_THERAPY,,,,,,,,,,,,
ADJUVANT_TX,stage1,alias_exact,treatment_reason,1.0,ADJUVANT_TX,treatment_type,1.0,ADJUVANT_TX,,,,,,,,,
ADJUVANT_XRT,stage1,alias_exact,treatment_reason,1.0,ADJUVANT_XRT,treatment_type,1.0,ADJUVANT_XRT,,,,,,,,,
ADMINISTRATION_OF_DRUG_WEEKS,stage1,alias_exact,treatment_duration,1.0,ADMINISTRATION_OF_DRUG_WEEKS,,,,,,,,,,,,
AGE,stage1,alias_exact,age_at_procurement,1.0,AGE,,,,,,,,,,,,
AGE_AT_CHEMOTHERAPY_START,stage1,alias_exact,treatment_end,1.0,AGE_AT_CHEMOTHERAPY_START,treatment_notes,1.0,AGE_AT_CHEMOTHERAPY_START,treatment_start,1.0,AGE_AT_CHEMOTHERAPY_START,treatment_type,1.0,AGE_AT_CHEMOTHERAPY_START,,,
AGE_AT_CHEMOTHERAPY_STOP,stage1,alias_exact,treatment_end,1.0,AGE_AT_CHEMOTHERAPY_STOP,treatment_notes,1.0,AGE_AT_CHEMOTHERAPY_STOP,treatment_start,1.0,AGE_AT_CHEMOTHERAPY_STOP,treatment_type,1.0,AGE_AT_CHEMOTHERAPY_STOP,,,
AGE_AT_DEATH,stage1,std_exact,age_at_death,1.0,,,,,,,,,,,,,
AGE_AT_DERIVATION,stage1,alias_exact,age_at_procurement,1.0,AGE_AT_DERIVATION,,,,,,,,,,,,
AGE_AT_DIAGNOSIS,stage1,std_exact,age_at_diagnosis,1.0,,,,,,,,,,,,,
AGE_AT_DOS_BX,stage1,alias_exact,age_at_procurement,1.0,AGE_AT_DOS_BX,,,,,,,,,,,,
AGE_AT_DX,stage1,alias_exact,age_at_diagnosis,1.0,AGE_AT_DX,,,,,,,,,,,,
AGE_AT_EVIDENCE_OF_METS,stage1,alias_exact,age_at_metastasis,1.0,AGE_AT_EVIDENCE_OF_METS,,,,,,,,,,,,
AGE_AT_INITIAL_DIAGNOSIS,stage1,alias_exact,age_at_diagnosis,1.0,AGE_AT_INITIAL_DIAGNOSIS,,,,,,,,,,,,
AGE_AT_INITIAL_PATHOLOGIC_DIAGNOSIS,stage1,alias_exact,age_at_diagnosis,1.0,AGE_AT_INITIAL_PATHOLOGIC_DIAGNOSIS,,,,,,,,,,,,
AGE_AT_MET,stage1,alias_exact,age_at_metastasis,1.0,AGE_AT_MET,,,,,,,,,,,,
AGE_AT_METS,stage1,alias_exact,age_at_metastasis,1.0,AGE_AT_METS,,,,,,,,,,,,
AGE_AT_PD1,stage1,alias_exact,age_at_diagnosis,1.0,AGE_AT_PD1,,,,,,,,,,,,
AGE_AT_PROCUREMENT,stage1,std_exact,age_at_procurement,1.0,,,,,,,,,,,,,
AGE_AT_RADIATION_START,stage1,alias_exact,treatment_end,1.0,AGE_AT_RADIATION_START,treatment_notes,1.0,AGE_AT_RADIATION_START,treatment_start,1.0,AGE_AT_RADIATION_START,treatment_type,1.0,AGE_AT_RADIATION_START,,,
AGE_AT_RADIATION_STOP,stage1,alias_exact,treatment_end,1.0,AGE_AT_RADIATION_STOP,treatment_notes,1.0,AGE_AT_RADIATION_STOP,treatment_start,1.0,AGE_AT_RADIATION_STOP,treatment_type,1.0,AGE_AT_RADIATION_STOP,,,
AGE_AT_RESECTION,stage1,alias_exact,age_at_procurement,1.0,AGE_AT_RESECTION,,,,,,,,,,,,
AGE_AT_SAMPLE_COLLECTION,stage1,alias_exact,age_at_procurement,1.0,AGE_AT_SAMPLE_COLLECTION,,,,,,,,,,,,
AGE_AT_SAMPLING,stage1,alias_exact,age_at_procurement,1.0,AGE_AT_SAMPLING,,,,,,,,,,,,
AGE_AT_SCC,stage1,alias_exact,age_at_procurement,1.0,AGE_AT_SCC,,,,,,,,,,,,
AGE_AT_SEQ_REPORT,stage1,alias_exact,age_at_procurement,1.0,AGE_AT_SEQ_REPORT,,,,,,,,,,,,
AGE_AT_SEQ_REPORTED_YEARS,stage1,alias_exact,age_at_procurement,1.0,AGE_AT_SEQ_REPORTED_YEARS,,,,,,,,,,,,
AGE_AT_SEQUENCING,stage1,alias_exact,age_at_procurement,1.0,AGE_AT_SEQUENCING,,,,,,,,,,,,
AGE_AT_SPECIMEN_ACQUISITION,stage1,alias_exact,age_at_procurement,1.0,AGE_AT_SPECIMEN_ACQUISITION,,,,,,,,,,,,
AGE_AT_TCGA_SPECIMEN,stage1,alias_exact,age_at_procurement,1.0,AGE_AT_TCGA_SPECIMEN,,,,,,,,,,,,
AGE_D,stage1,alias_exact,age_at_diagnosis,1.0,AGE_D,,,,,,,,,,,,
AGE_IN_DAYS,stage1,alias_exact,age_at_procurement,1.0,AGE_IN_DAYS,,,,,,,,,,,,
AGE_RESECTED,stage1,alias_exact,age_at_procurement,1.0,AGE_RESECTED,,,,,,,,,,,,
AGE_START_IO,stage1,alias_exact,age_at_procurement,1.0,AGE_START_IO,,,,,,,,,,,,
AGE_TESTING_YEARS,stage1,alias_exact,age_at_procurement,1.0,AGE_TESTING_YEARS,,,,,,,,,,,,
AGE_YRS,stage1,alias_exact,age_at_procurement,1.0,AGE_YRS,,,,,,,,,,,,
AGENT,stage1,alias_exact,treatment_dose,1.0,AGENT,treatment_name,1.0,AGENT,,,,,,,,,
ALKYLATING_AGENT,stage1,alias_exact,treatment_type,1.0,ALKYLATING_AGENT,,,,,,,,,,,,
ALKYLATING_CHEMOTHERAPY,stage1,alias_exact,treatment_type,1.0,ALKYLATING_CHEMOTHERAPY,,,,,,,,,,,,
ALKYLATING_TX,stage1,alias_exact,treatment_type,1.0,ALKYLATING_TX,,,,,,,,,,,,
ALL_TX_AT_MSK,stage1,alias_exact,treatment_notes,1.0,ALL_TX_AT_MSK,,,,,,,,,,,,
ALPELISIB_DOSE,stage1,alias_exact,treatment_dose,1.0,ALPELISIB_DOSE,treatment_name,1.0,ALPELISIB_DOSE,,,,,,,,,
ALPELISIB_SCHEDULING,stage1,alias_exact,treatment_frequency,1.0,ALPELISIB_SCHEDULING,treatment_name,1.0,ALPELISIB_SCHEDULING,,,,,,,,,
ALTERNATE_THERAPY,stage1,alias_exact,treatment_status,1.0,ALTERNATE_THERAPY,treatment_type,1.0,ALTERNATE_THERAPY,,,,,,,,,
ALTERNATE_THERAPY_OTHER,stage1,alias_exact,treatment_name,1.0,ALTERNATE_THERAPY_OTHER,treatment_notes,1.0,ALTERNATE_THERAPY_OTHER,treatment_reason,1.0,ALTERNATE_THERAPY_OTHER,treatment_status,1.0,ALTERNATE_THERAPY_OTHER,treatment_type,1.0,ALTERNATE_THERAPY_OTHER
ANATOMICAL_SUBTYPE,stage1,alias_exact,body_site,1.0,ANATOMICAL_SUBTYPE,,,,,,,,,,,,
ANCESTRY_PRIMARY,stage1,alias_exact,ancestry,1.0,ANCESTRY_PRIMARY,ancestry_details,1.0,ANCESTRY_PRIMARY,,,,,,,,,
ANDROGEN_DEPRIVATION_THERAPY,stage1,alias_exact,treatment_name,1.0,ANDROGEN_DEPRIVATION_THERAPY,treatment_type,1.0,ANDROGEN_DEPRIVATION_THERAPY,,,,,,,,,
ANTHRACYCLINE_TX,stage1,alias_exact,treatment_name,1.0,ANTHRACYCLINE_TX,,,,,,,,,,,,
ANTIMETABOLITE_TX,stage1,alias_exact,treatment_type,1.0,ANTIMETABOLITE_TX,,,,,,,,,,,,
ANY_LINE_CHEMO,stage1,alias_exact,treatment_type,1.0,ANY_LINE_CHEMO,,,,,,,,,,,,
ANY_LINE_HORMONE,stage1,alias_exact,treatment_type,1.0,ANY_LINE_HORMONE,,,,,,,,,,,,
ANY_LINE_IMMUNO,stage1,alias_exact,treatment_type,1.0,ANY_LINE_IMMUNO,,,,,,,,,,,,
ANY_LINE_IODINE,stage1,alias_exact,treatment_name,1.0,ANY_LINE_IODINE,,,,,,,,,,,,
ANY_LINE_NTRK,stage1,alias_exact,treatment_type,1.0,ANY_LINE_NTRK,,,,,,,,,,,,
ANY_LINE_TARGETED,stage1,alias_exact,treatment_type,1.0,ANY_LINE_TARGETED,,,,,,,,,,,,
ANY_THERAPY_2YRS,stage1,alias_exact,treatment_duration,1.0,ANY_THERAPY_2YRS,,,,,,,,,,,,
ANYTIME_CANCER_LOC_OVARY,stage1,alias_exact,sex,1.0,ANYTIME_CANCER_LOC_OVARY,,,,,,,,,,,,
BIOPSY_SITE,stage1,alias_exact,body_site,1.0,BIOPSY_SITE,,,,,,,,,,,,
BIRTH_COUNTRY,stage1,alias_exact,country,1.0,BIRTH_COUNTRY,location,1.0,BIRTH_COUNTRY,,,,,,,,,
BRACHYTHERAPY_TOTAL_DOSE_POINT_A,stage1,alias_exact,treatment_dose,1.0,BRACHYTHERAPY_TOTAL_DOSE_POINT_A,treatment_notes,1.0,BRACHYTHERAPY_TOTAL_DOSE_POINT_A,treatment_type,1.0,BRACHYTHERAPY_TOTAL_DOSE_POINT_A,,,,,,
BRACHYTHERAPY_TYPE,stage1,alias_exact,treatment_name,1.0,BRACHYTHERAPY_TYPE,treatment_type,1.0,BRACHYTHERAPY_TYPE,,,,,,,,,
BRACHYTHERAPY_TYPE_OTHER,stage1,alias_exact,treatment_name,1.0,BRACHYTHERAPY_TYPE_OTHER,treatment_type,1.0,BRACHYTHERAPY_TYPE_OTHER,,,,,,,,,
BREAST_SURGERY,stage1,alias_exact,treatment_name,1.0,BREAST_SURGERY,treatment_type,1.0,BREAST_SURGERY,,,,,,,,,
CALC_TREATMENT_NAIVE,stage1,alias_exact,treatment_notes,1.0,CALC_TREATMENT_NAIVE,treatment_status,1.0,CALC_TREATMENT_NAIVE,,,,,,,,,
CANCER.TYPE,stage1,std_exact,cancer_type,1.0,,,,,,,,,,,,,
CANCER_SUBTYPE_CURATED,stage1,alias_exact,cancer_subtype,1.0,CANCER_SUBTYPE_CURATED,,,,,,,,,,,,
CANCER_TYPE,stage1,std_exact,cancer_type,1.0,,,,,,,,,,,,,
CANCER_TYPE_DETAILED,stage1,alias_exact,cancer_type_details,1.0,CANCER_TYPE_DETAILED,,,,,,,,,,,,
CARBOPLATIN_TX,stage1,alias_exact,treatment_name,1.0,CARBOPLATIN_TX,,,,,,,,,,,,
CERVIX_SUV_RESULTS,stage1,alias_exact,sex,1.0,CERVIX_SUV_RESULTS,,,,,,,,,,,,
CHEMO_CONCURRENT_COURSE,stage1,alias_exact,treatment_frequency,1.0,CHEMO_CONCURRENT_COURSE,treatment_status,1.0,CHEMO_CONCURRENT_COURSE,treatment_type,1.0,CHEMO_CONCURRENT_COURSE,,,,,,
CHEMO_CONCURRENT_DOSE,stage1,alias_exact,treatment_dose,1.0,CHEMO_CONCURRENT_DOSE,treatment_number,1.0,CHEMO_CONCURRENT_DOSE,treatment_status,1.0,CHEMO_CONCURRENT_DOSE,treatment_type,1.0,CHEMO_CONCURRENT_DOSE,,,
CHEMO_CONCURRENT_FRACTIONS_TOTAL,stage1,alias_exact,treatment_dose,1.0,CHEMO_CONCURRENT_FRACTIONS_TOTAL,treatment_number,1.0,CHEMO_CONCURRENT_FRACTIONS_TOTAL,treatment_status,1.0,CHEMO_CONCURRENT_FRACTIONS_TOTAL,treatment_type,1.0,CHEMO_CONCURRENT_FRACTIONS_TOTAL,,,
CHEMO_CONCURRENT_REASON_NOT_GIVEN,stage1,alias_exact,treatment_notes,1.0,CHEMO_CONCURRENT_REASON_NOT_GIVEN,treatment_type,1.0,CHEMO_CONCURRENT_REASON_NOT_GIVEN,,,,,,,,,
CHEMO_CONCURRENT_REASON_NOT_OTHER,stage1,alias_exact,treatment_notes,1.0,CHEMO_CONCURRENT_REASON_NOT_OTHER,treatment_type,1.0,CHEMO_CONCURRENT_REASON_NOT_OTHER,,,,,,,,,
CHEMO_CONCURRENT_TYPE,stage1,alias_exact,treatment_name,1.0,CHEMO_CONCURRENT_TYPE,treatment_status,1.0,CHEMO_CONCURRENT_TYPE,treatment_type,1.0,CHEMO_CONCURRENT_TYPE,,,,,,
CHEMO_CONCURRENT_TYPE_OTHER,stage1,alias_exact,treatment_name,1.0,CHEMO_CONCURRENT_TYPE_OTHER,treatment_status,1.0,CHEMO_CONCURRENT_TYPE_OTHER,treatment_type,1.0,CHEMO_CONCURRENT_TYPE_OTHER,,,,,,
CHEMO_CYCLES,stage1,alias_exact,treatment_number,1.0,CHEMO_CYCLES,treatment_type,1.0,CHEMO_CYCLES,,,,,,,,,
CHEMO_DETAILS,stage1,alias_exact,treatment_name,1.0,CHEMO_DETAILS,treatment_type,1.0,CHEMO_DETAILS,,,,,,,,,
CHEMO_FIRST_LINE,stage1,alias_exact,treatment_name,1.0,CHEMO_FIRST_LINE,treatment_reason,1.0,CHEMO_FIRST_LINE,treatment_status,1.0,CHEMO_FIRST_LINE,treatment_type,1.0,CHEMO_FIRST_LINE,,,
CHEMO_OTHER,stage1,alias_exact,treatment_name,1.0,CHEMO_OTHER,treatment_type,1.0,CHEMO_OTHER,,,,,,,,,
CHEMO_OTHER_CYCLES,stage1,alias_exact,treatment_dose,1.0,CHEMO_OTHER_CYCLES,treatment_duration,1.0,CHEMO_OTHER_CYCLES,treatment_notes,1.0,CHEMO_OTHER_CYCLES,treatment_number,1.0,CHEMO_OTHER_CYCLES,treatment_type,1.0,CHEMO_OTHER_CYCLES
CHEMO_REGIMEN_CATEGORY,stage1,alias_exact,treatment_group,1.0,CHEMO_REGIMEN_CATEGORY,treatment_name,1.0,CHEMO_REGIMEN_CATEGORY,treatment_notes,1.0,CHEMO_REGIMEN_CATEGORY,treatment_reason,1.0,CHEMO_REGIMEN_CATEGORY,treatment_type,1.0,CHEMO_REGIMEN_CATEGORY
CHEMO_TX,stage1,alias_exact,treatment_type,1.0,CHEMO_TX,,,,,,,,,,,,
CHEMOTHERAPY,stage1,alias_exact,treatment_name,1.0,CHEMOTHERAPY,treatment_type,1.0,CHEMOTHERAPY,,,,,,,,,
CHEMOTHERAPY+IMMUNOTHERAPY,stage1,alias_exact,treatment_type,1.0,CHEMOTHERAPY+IMMUNOTHERAPY,,,,,,,,,,,,
CHEMOTHERAPY_AGENTS,stage1,alias_exact,treatment_name,1.0,CHEMOTHERAPY_AGENTS,treatment_type,1.0,CHEMOTHERAPY_AGENTS,,,,,,,,,
CHEMOTHERAPY_PRIOR_SAMPLE_ACQUIRED,stage1,alias_exact,treatment_name,1.0,CHEMOTHERAPY_PRIOR_SAMPLE_ACQUIRED,treatment_type,1.0,CHEMOTHERAPY_PRIOR_SAMPLE_ACQUIRED,,,,,,,,,
CHEMOTHERAPY_TYPE,stage1,alias_exact,treatment_notes,1.0,CHEMOTHERAPY_TYPE,treatment_type,1.0,CHEMOTHERAPY_TYPE,,,,,,,,,
CHRONIC_HEPATITIS_ANY_TYPE,stage1,alias_exact,cancer_subtype,1.0,CHRONIC_HEPATITIS_ANY_TYPE,,,,,,,,,,,,
CISPLATIN_TX,stage1,alias_exact,treatment_name,1.0,CISPLATIN_TX,,,,,,,,,,,,
CLAUDIN_SUBTYPE,stage1,alias_exact,cancer_subtype,1.0,CLAUDIN_SUBTYPE,,,,,,,,,,,,
CLINICAL_STATUS_AT_COLLECTION_EVENT,stage1,alias_exact,vital_status,1.0,CLINICAL_STATUS_AT_COLLECTION_EVENT,,,,,,,,,,,,
CNS_DISEASE,stage1,alias_exact,disease,1.0,CNS_DISEASE,,,,,,,,,,,,
COMPLETED_RADIATION_DOSE,stage1,alias_exact,treatment_dose,1.0,COMPLETED_RADIATION_DOSE,treatment_status,1.0,COMPLETED_RADIATION_DOSE,,,,,,,,,
COMPLETED_TOTAL_RADIATION_DOSE,stage1,alias_exact,treatment_dose,1.0,COMPLETED_TOTAL_RADIATION_DOSE,treatment_status,1.0,COMPLETED_TOTAL_RADIATION_DOSE,treatment_type,1.0,COMPLETED_TOTAL_RADIATION_DOSE,,,,,,
CONCURRENT_CHEMOTHERAPY,stage1,alias_exact,treatment_status,1.0,CONCURRENT_CHEMOTHERAPY,treatment_type,1.0,CONCURRENT_CHEMOTHERAPY,,,,,,,,,
COUNTRY,stage1,std_exact,country,1.0,,,,,,,,,,,,,
COUNTRY_OF_ORIGIN,stage1,alias_exact,country,1.0,COUNTRY_OF_ORIGIN,location,1.0,COUNTRY_OF_ORIGIN,,,,,,,,,
COUNTRY_OF_PROCUREMENT,stage1,alias_exact,country,1.0,COUNTRY_OF_PROCUREMENT,location,1.0,COUNTRY_OF_PROCUREMENT,,,,,,,,,
CRDB_PRIOR_RX,stage1,alias_exact,treatment_notes,1.0,CRDB_PRIOR_RX,treatment_status,1.0,CRDB_PRIOR_RX,,,,,,,,,
CRDB_SURVIVAL_STATUS,stage1,alias_exact,vital_status,1.0,CRDB_SURVIVAL_STATUS,,,,,,,,,,,,
CRDB_TREATMENT_END_DAYS,stage1,alias_exact,treatment_end,1.0,CRDB_TREATMENT_END_DAYS,treatment_notes,1.0,CRDB_TREATMENT_END_DAYS,,,,,,,,,
CRT_CHEMOAGENT,stage1,alias_exact,treatment_name,1.0,CRT_CHEMOAGENT,treatment_type,1.0,CRT_CHEMOAGENT,,,,,,,,,
CUMULATIVE_CHEMO,stage1,alias_exact,treatment_notes,1.0,CUMULATIVE_CHEMO,treatment_type,1.0,CUMULATIVE_CHEMO,,,,,,,,,
CUMULATIVE_TREATMENT_REGIMEN_COUNT,stage1,alias_exact,treatment_notes,1.0,CUMULATIVE_TREATMENT_REGIMEN_COUNT,treatment_number,1.0,CUMULATIVE_TREATMENT_REGIMEN_COUNT,,,,,,,,,
CUMULATIVE_TREATMENT_REGIMENS,stage1,alias_exact,treatment_dose,1.0,CUMULATIVE_TREATMENT_REGIMENS,treatment_name,1.0,CUMULATIVE_TREATMENT_REGIMENS,,,,,,,,,
CUMULATIVE_TREATMENT_STAGE_COUNT,invalid,stage_column,,,,,,,,,,,,,,,
CUMULATIVE_TREATMENT_STAGES,invalid,stage_column,,,,,,,,,,,,,,,
CUMULATIVE_TREATMENT_TYPE_COUNT,stage1,alias_exact,treatment_notes,1.0,CUMULATIVE_TREATMENT_TYPE_COUNT,treatment_number,1.0,CUMULATIVE_TREATMENT_TYPE_COUNT,,,,,,,,,
CUMULATIVE_TREATMENT_TYPES,stage1,alias_exact,treatment_type,1.0,CUMULATIVE_TREATMENT_TYPES,,,,,,,,,,,,
curated_cancer_type,stage1,alias_exact,sex,1.0,curated_cancer_type,,,,,,,,,,,,
CURRENT_CYCLE,stage1,alias_exact,treatment_status,1.0,CURRENT_CYCLE,,,,,,,,,,,,
CURRENT_REGIMEN,stage1,alias_exact,treatment_name,1.0,CURRENT_REGIMEN,treatment_reason,1.0,CURRENT_REGIMEN,treatment_status,1.0,CURRENT_REGIMEN,,,,,,
CYCLES_COMPLETED,stage1,alias_exact,treatment_number,1.0,CYCLES_COMPLETED,treatment_status,1.0,CYCLES_COMPLETED,,,,,,,,,
CYCLES_ON_THERAPY,stage1,alias_exact,treatment_notes,1.0,CYCLES_ON_THERAPY,treatment_number,1.0,CYCLES_ON_THERAPY,,,,,,,,,
CYTOLOGICAL_PHENOTYPE,stage1,alias_exact,cancer_subtype,1.0,CYTOLOGICAL_PHENOTYPE,,,,,,,,,,,,
CYTOTOXIC_TREATMENT,stage1,alias_exact,treatment_type,1.0,CYTOTOXIC_TREATMENT,,,,,,,,,,,,
CYTOTOXIC_TX,stage1,alias_exact,treatment_type,1.0,CYTOTOXIC_TX,,,,,,,,,,,,
DEFINITIVE_SURGICAL_PROCEDURE,stage1,alias_exact,treatment_name,1.0,DEFINITIVE_SURGICAL_PROCEDURE,treatment_type,1.0,DEFINITIVE_SURGICAL_PROCEDURE,,,,,,,,,
DETAILED_CANCER_TYPE,stage1,alias_exact,cancer_type_details,1.0,DETAILED_CANCER_TYPE,,,,,,,,,,,,
DETAILED_PRIMARY_SITE,stage1,alias_exact,body_site,1.0,DETAILED_PRIMARY_SITE,,,,,,,,,,,,
DETAILS_FIRST_LINE_COMMENTS,stage1,alias_exact,treatment_group,1.0,DETAILS_FIRST_LINE_COMMENTS,treatment_name,1.0,DETAILS_FIRST_LINE_COMMENTS,treatment_notes,1.0,DETAILS_FIRST_LINE_COMMENTS,treatment_reason,1.0,DETAILS_FIRST_LINE_COMMENTS,,,
DFS_STATUS,stage1,alias_exact,vital_status,1.0,DFS_STATUS,,,,,,,,,,,,
DIABETES_DIAGNOSIS_INDICATOR,stage1,alias_exact,disease,1.0,DIABETES_DIAGNOSIS_INDICATOR,,,,,,,,,,,,
DIAGNOSIS,stage1,alias_exact,disease,1.0,DIAGNOSIS,,,,,,,,,,,,
DIAGNOSIS.AGE,stage1,alias_exact,age_at_diagnosis,1.0,DIAGNOSIS.AGE,,,,,,,,,,,,
DIAGNOSIS_CANCER_BONE,stage1,alias_exact,body_site,1.0,DIAGNOSIS_CANCER_BONE,,,,,,,,,,,,
DIAGNOSIS_CANCER_LOC_AXILLARY_LN,stage1,alias_exact,body_site,1.0,DIAGNOSIS_CANCER_LOC_AXILLARY_LN,,,,,,,,,,,,
DIAGNOSIS_CANCER_LOC_BRAIN,stage1,alias_exact,body_site,1.0,DIAGNOSIS_CANCER_LOC_BRAIN,,,,,,,,,,,,
DIAGNOSIS_CANCER_LOC_BREAST,stage1,alias_exact,body_site,1.0,DIAGNOSIS_CANCER_LOC_BREAST,,,,,,,,,,,,
DIAGNOSIS_CANCER_LOC_CHEST_WALL,stage1,alias_exact,body_site,1.0,DIAGNOSIS_CANCER_LOC_CHEST_WALL,,,,,,,,,,,,
DIAGNOSIS_CANCER_LOC_LIVER,stage1,alias_exact,body_site,1.0,DIAGNOSIS_CANCER_LOC_LIVER,,,,,,,,,,,,
DIAGNOSIS_CANCER_LOC_LUNG,stage1,alias_exact,body_site,1.0,DIAGNOSIS_CANCER_LOC_LUNG,,,,,,,,,,,,
DIAGNOSIS_CANCER_LOC_OTHER_LN,stage1,alias_exact,body_site,1.0,DIAGNOSIS_CANCER_LOC_OTHER_LN,,,,,,,,,,,,
DIAGNOSIS_CANCER_LOC_OVARY,stage1,alias_exact,body_site,1.0,DIAGNOSIS_CANCER_LOC_OVARY,sex,1.0,DIAGNOSIS_CANCER_LOC_OVARY,,,,,,,,,
DIAGNOSIS_CANCER_LOC_PLEURAL_EFFUSION,stage1,alias_exact,body_site,1.0,DIAGNOSIS_CANCER_LOC_PLEURAL_EFFUSION,,,,,,,,,,,,
DIAGNOSIS_CANCER_LOC_SKIN,stage1,alias_exact,body_site,1.0,DIAGNOSIS_CANCER_LOC_SKIN,,,,,,,,,,,,
DISEASE,stage1,std_exact,disease,1.0,,,,,,,,,,,,,
DISEASE_CODE,stage1,alias_exact,disease,1.0,DISEASE_CODE,,,,,,,,,,,,
DISEASE_EXTENT,stage1,alias_exact,body_site,1.0,DISEASE_EXTENT,disease,1.0,DISEASE_EXTENT,,,,,,,,,
DISEASE_MULTIFOCAL_INDICATOR,stage1,alias_exact,body_site,1.0,DISEASE_MULTIFOCAL_INDICATOR,,,,,,,,,,,,
DISEASE_ONTOLOGY,stage1,alias_exact,disease,1.0,DISEASE_ONTOLOGY,,,,,,,,,,,,
DMETS_DX_FEMALE_GENITAL,stage1,alias_exact,sex,1.0,DMETS_DX_FEMALE_GENITAL,,,,,,,,,,,,
DMETS_DX_MALE_GENITAL,stage1,alias_exact,sex,1.0,DMETS_DX_MALE_GENITAL,,,,,,,,,,,,
DMETS_DX_OVARY,stage1,alias_exact,sex,1.0,DMETS_DX_OVARY,,,,,,,,,,,,
DOMINANT_HISTOLOGICAL_SUBTYPE,stage1,alias_exact,cancer_subtype,1.0,DOMINANT_HISTOLOGICAL_SUBTYPE,,,,,,,,,,,,
DOPAMINE,stage1,alias_exact,treatment_name,1.0,DOPAMINE,,,,,,,,,,,,
DOSE_MG_DAY_STEROID_DURING_PD1,stage1,alias_exact,treatment_dose,1.0,DOSE_MG_DAY_STEROID_DURING_PD1,treatment_frequency,1.0,DOSE_MG_DAY_STEROID_DURING_PD1,treatment_status,1.0,DOSE_MG_DAY_STEROID_DURING_PD1,treatment_type,1.0,DOSE_MG_DAY_STEROID_DURING_PD1,,,
DOSE_MG_DAY_STEROID_PD1_START,stage1,alias_exact,treatment_dose,1.0,DOSE_MG_DAY_STEROID_PD1_START,treatment_frequency,1.0,DOSE_MG_DAY_STEROID_PD1_START,treatment_type,1.0,DOSE_MG_DAY_STEROID_PD1_START,,,,,,
