query,stage,method,match1,match1_score,match1_source,match2,match2_score,match2_source,match3,match3_score,match3_source,match4,match4_score,match4_source,match5,match5_score,match5_source
2L_TREATMENT,stage3,ontology,treatment_name,1.0,2L_TREATMENT,,,,,,,,,,,,
3L_TREATMENT,stage3,ontology,treatment_name,1.0,3L_TREATMENT,,,,,,,,,,,,
ABLATION_EMBOLIZATION_TX_ADJUVANT,stage2,semantic,treatment_group,0.3432,treatment arm,target_condition,0.3261,clinical indication,sample_type,0.3259,lesion type,cancer_type,0.3159,oncologic diagnosis,treatment_number,0.3086,treatment line
ADC+IMMUNOTHERAPY,stage2,semantic,treatment_name,0.7331,immunotherapy,target_condition,0.3236,target disease,treatment_group,0.3138,treatment arm,treatment_reason,0.3117,therapy phase,treatment_type,0.2647,
ADC_THERAPY,stage2,semantic,treatment_name,0.5382,drug therapy,treatment_reason,0.4899,therapy phase,treatment_number,0.4884,line of therapy,treatment_type,0.4866,therapy type,treatment_no,0.4013,
ADENOCARCINOMA_SUBTYPE_WHO2015,stage2,semantic,cancer_subtype,0.6935,tumor subtype,cancer_type_details,0.5778,,cancer_type,0.5736,tumor type,sample_type,0.5736,tumor type,cancer_subtype_ontology_term_id,0.5479,
ADJ_XRT,stage2,semantic,disease,0.2854,icd9,ancestry,0.2741,descent,studyId,0.2658,study abbreviation,target_condition,0.2573,indication,treatment_reason,0.2573,indication
ADJUVANT,stage2,semantic,treatment_name,0.3503,drug,treatment_group,0.3318,therapy arm,study_design,0.3273,trial type,age_at_death,0.3088,ageatdeath,treatment_type,0.2684,
ADJUVANT_CHEMO,stage2,semantic,treatment_name,0.6086,chemotherapy,cancer_type,0.3996,,cancer_status,0.353,,cancer_type_details,0.3525,,treatment_group,0.3506,
ADJUVANT_CHEMO_REGIMEN,stage3,ontology,treatment_name,1.0,ADJUVANT_CHEMO_REGIMEN,,,,,,,,,,,,
ADJUVANT_CHEMOTHERAPY,stage2,semantic,treatment_name,0.727,chemotherapy,cancer_type,0.4215,cancer,cancer_subtype,0.4188,cancer type detailed,cancer_status,0.4171,tumor status,sample_type,0.4171,tumor status
ADJUVANT_CT,stage2,semantic,treatment_name,0.3705,immunotherapy,cancer_type,0.3609,tumor type,sample_type,0.3609,tumor type,treatment_dose,0.332,therapy dose,disease,0.3288,clinical condition
ADJUVANT_CYCLES_NUM,stage2,numeric,treatment_number,0.4927,number_of_cycles,treatment_dose,0.2559,,treatment_frequency,0.2477,,treatment_duration,0.1864,,treatment_end,0.1851,
ADJUVANT_HORMONE_THERAPY,stage2,semantic,treatment_name,0.4767,therapeutic agent,treatment_dose,0.4273,therapy dose,treatment_reason,0.419,therapy phase,treatment_group,0.3797,treatment cohort,treatment_type,0.3717,
ADJUVANT_IMMUNOTHERAPY,stage2,semantic,treatment_name,0.7842,immunotherapy,treatment_group,0.3662,treatment arm,target_condition,0.3494,target disease,treatment_dose,0.3301,therapy dose,treatment_type,0.3275,
ADJUVANT_RADIATION_THERAPY,stage2,semantic,treatment_dose,0.4898,therapy dose,treatment_name,0.4888,radiation,treatment_status,0.42,therapy status,treatment_reason,0.4079,therapy phase,treatment_dose_unit,0.403,
ADJUVANT_TARGETED,stage2,semantic,treatment_name,0.5521,targeted therapy,target_condition,0.5347,target disease,treatment_reason,0.3609,treatment intent,study_design,0.3382,trial type,treatment_group,0.3354,treatment arm
ADJUVANT_THERAPY,stage2,semantic,treatment_name,0.5426,targeted therapy,treatment_dose,0.4759,therapy dose,treatment_type,0.4714,therapy type,treatment_reason,0.4701,therapy phase,treatment_status,0.4665,therapy status
ADJUVANT_TX,stage3,value_std,treatment_type,1.0,Radiation Therapy,,,,,,,,,,,,
ADJUVANT_XRT,stage2,semantic,target_condition,0.2848,target condition,study_design,0.2792,trial type,treatment_number,0.275,dose number,cancer_type,0.2642,neoplasm type,sample_type,0.2642,neoplasm type
ADMINISTRATION_OF_DRUG_WEEKS,stage2,semantic,treatment_frequency,0.5992,doses per week,treatment_duration,0.5823,days to treatment,treatment_start,0.5823,days to treatment,treatment_dose,0.5461,drug dose,treatment_name,0.522,drug name
AGE,stage2,numeric,age_at_death,0.8149,age_when_died,age_at_procurement,0.758,sample_age,age_at_diagnosis,0.7209,,age_at_death_min,0.6761,,age_at_procurement_min,0.6587,
AGE_AT_CHEMOTHERAPY_START,stage2,numeric,age_at_diagnosis,0.8762,age_at_cancer_diagnosis,age_at_metastasis,0.8377,age_at_first_metastasis,age_at_metastasis_min,0.8242,,age_at_metastasis_max,0.8205,,age_at_death_min,0.684,
AGE_AT_CHEMOTHERAPY_STOP,stage2,numeric,age_at_diagnosis,0.8192,age_at_cancer_diagnosis,age_at_metastasis_max,0.7972,,age_at_metastasis,0.783,patient_age_at_metastasis,age_at_metastasis_min,0.7573,,age_at_death,0.6568,
AGE_AT_DEATH,stage1,std_exact,age_at_death,1.0,,,,,,,,,,,,,
AGE_AT_DERIVATION,stage2,numeric,age_at_death,0.7472,age_at_time_of_death,age_at_procurement,0.7158,ageatprocurement,age_at_diagnosis,0.6929,,age_at_death_min,0.6619,,age_at_death_max,0.6506,
AGE_AT_DIAGNOSIS,stage1,std_exact,age_at_diagnosis,1.0,,,,,,,,,,,,,
AGE_AT_DOS_BX,stage2,numeric,age_at_diagnosis,0.6261,baseline_age,age_at_metastasis,0.6107,age_at_progression_metastatic,age_at_procurement,0.6064,sample_age,age_at_diagnosis_max,0.5932,,age_at_diagnosis_min,0.5929,
AGE_AT_DX,stage2,numeric,age_at_diagnosis,0.6661,baseline_age,age_at_metastasis,0.6557,age_at_met,age_at_procurement,0.6278,,age_at_procurement_max,0.6264,,age_at_diagnosis_min,0.6259,
AGE_AT_EVIDENCE_OF_METS,stage2,numeric,age_at_metastasis,1.0398,age_at_mets,age_at_diagnosis,0.6237,baseline_age,age_at_procurement,0.6027,age_at_sample_collection,age_at_death,0.5406,,age_at_metastasis_max,0.5406,
AGE_AT_INITIAL_DIAGNOSIS,stage1,alias_fuzzy,age_at_diagnosis,0.9333,initial_diagnosis_age,,,,,,,,,,,,
AGE_AT_INITIAL_PATHOLOGIC_DIAGNOSIS,stage1,alias_exact,age_at_diagnosis,1.0,age_at_initial_pathologic_diagnosis,,,,,,,,,,,,
AGE_AT_MET,stage1,alias_exact,age_at_metastasis,1.0,age_at_met,,,,,,,,,,,,
AGE_AT_METS,stage1,alias_exact,age_at_metastasis,1.0,age_at_mets,,,,,,,,,,,,
AGE_AT_PD1,stage2,numeric,age_at_diagnosis,0.6955,age_at_first_diagnosis,age_at_diagnosis_min,0.639,,age_at_diagnosis_max,0.608,,age_at_death_min,0.6025,,age_at_procurement_min,0.6023,
AGE_AT_PROCUREMENT,stage1,std_exact,age_at_procurement,1.0,,,,,,,,,,,,,
AGE_AT_RADIATION_START,stage2,numeric,age_at_diagnosis,0.743,age_at_cancer_diagnosis,age_at_metastasis,0.7219,age_at_first_metastasis,age_at_metastasis_min,0.6933,,age_at_metastasis_max,0.6897,,age_at_diagnosis_min,0.6737,
AGE_AT_RADIATION_STOP,stage2,numeric,age_at_diagnosis,0.6919,age_at_cancer_diagnosis,age_at_metastasis_max,0.6842,,age_at_death,0.6783,age_at_mortality,age_at_metastasis,0.6699,age_at_progression_metastatic,age_at_diagnosis_max,0.6683,
AGE_AT_RESECTION,stage1,alias_exact,age_at_procurement,1.0,age_at_resection,,,,,,,,,,,,
AGE_AT_SAMPLE_COLLECTION,stage1,alias_exact,age_at_procurement,1.0,age_at_sample_collection,,,,,,,,,,,,
AGE_AT_SAMPLING,stage1,alias_exact,age_at_procurement,1.0,age_at_sampling,,,,,,,,,,,,
AGE_AT_SCC,stage2,numeric,age_at_diagnosis,0.66,baseline_age,age_at_procurement_min,0.6386,,age_at_metastasis,0.6337,age_at_met,age_at_procurement,0.6336,,age_at_death_min,0.619,
AGE_AT_SEQ_REPORT,stage2,numeric,age_at_diagnosis,0.7726,age_at_index,age_at_procurement,0.7412,age_at_sample_collection,age_at_diagnosis_max,0.6582,,age_at_diagnosis_min,0.6446,,age_at_metastasis_max,0.6066,
