query,stage,method,match1,match1_score,match1_source,match2,match2_score,match2_source,match3,match3_score,match3_source,match4,match4_score,match4_source,match5,match5_score,match5_source
2L_TREATMENT,stage3,ontology,treatment_name,1.0,2L_TREATMENT,,,,,,,,,,,,
3L_TREATMENT,stage3,ontology,treatment_name,1.0,3L_TREATMENT,,,,,,,,,,,,
ABLATION_EMBOLIZATION_TX_ADJUVANT,stage2,semantic,treatment_end,0.2758,,treatment_name,0.2697,,cancer_status,0.256,,treatment_notes,0.2506,,cancer_type_details,0.2359,
ADC+IMMUNOTHERAPY,stage2,semantic,treatment_name,0.2859,,treatment_type,0.2647,,treatment_not_collected,0.2646,,treatment_no,0.2636,,treatment_dose,0.2591,
ADC_THERAPY,stage2,semantic,treatment_name,0.434,,treatment_type,0.4223,,treatment_no,0.4013,,treatment_end,0.3888,,treatment_dose,0.3864,
ADENOCARCINOMA_SUBTYPE_WHO2015,stage2,semantic,cancer_subtype,0.6926,,cancer_type_details,0.5778,,cancer_type,0.5719,,cancer_subtype_ontology_term_id,0.5479,,cancer_type_details_ontology_term_id,0.4626,
ADJ_XRT,stage2,semantic,sex_ontology_term_id,0.2345,,sample_type,0.225,,treatment_dose_unit_ontology_term_id,0.216,,sample_type_ontology_term_id,0.2147,,cancer_type_ontology_term_id,0.2113,
ADJUVANT,stage2,semantic,treatment_name,0.2953,,treatment_group,0.2905,,treatment_type,0.2684,,target_condition,0.2411,,treatment_reason,0.2401,
ADJUVANT_CHEMO,stage2,semantic,cancer_type,0.3996,,treatment_name,0.3809,,cancer_status,0.353,,cancer_type_details,0.3525,,treatment_group,0.3506,
ADJUVANT_CHEMO_REGIMEN,stage3,ontology,treatment_name,1.0,ADJUVANT_CHEMO_REGIMEN,,,,,,,,,,,,
ADJUVANT_CHEMOTHERAPY,stage2,semantic,cancer_status,0.4138,,cancer_type,0.4128,,treatment_dose,0.3899,,cancer_type_details,0.3891,,treatment_name,0.3761,
ADJUVANT_CT,stage2,semantic,cancer_type,0.3263,,treatment_name,0.3087,,treatment_type,0.2954,,cancer_status,0.2951,,cancer_type_details,0.2839,
ADJUVANT_CYCLES_NUM,stage2,semantic,treatment_number_unit,0.2755,,treatment_number,0.2721,,treatment_dose_unit,0.2717,,treatment_dose,0.2559,,treatment_frequency,0.2477,
ADJUVANT_HORMONE_THERAPY,stage2,semantic,treatment_dose,0.4053,,treatment_name,0.3838,,treatment_type,0.3717,,treatment_no,0.3596,,treatment_status,0.3429,
ADJUVANT_IMMUNOTHERAPY,stage2,semantic,treatment_name,0.3319,,treatment_type,0.3275,,treatment_dose,0.3052,,treatment_no,0.2993,,treatment_not_applicable,0.2861,
ADJUVANT_RADIATION_THERAPY,stage2,semantic,treatment_dose,0.4502,,treatment_dose_unit,0.403,,treatment_name,0.3784,,treatment_type,0.3775,,treatment_status,0.3492,
ADJUVANT_TARGETED,stage2,semantic,target_condition,0.4474,,target_condition_ontology_term_id,0.2994,,treatment_name,0.2871,,treatment_type,0.2706,,treatment_dose,0.2703,
ADJUVANT_THERAPY,stage2,semantic,treatment_name,0.4453,,treatment_type,0.4368,,treatment_dose,0.4267,,treatment_no,0.3983,,treatment_status,0.397,
ADJUVANT_TX,stage3,value_std,treatment_type,1.0,Radiation Therapy,,,,,,,,,,,,
ADJUVANT_XRT,stage2,semantic,target_condition,0.2848,,cancer_type,0.2535,,treatment_dose_unit,0.2417,,treatment_name,0.2326,,treatment_group,0.2284,
ADMINISTRATION_OF_DRUG_WEEKS,stage2,numeric,treatment_duration,0.4676,,treatment_dose,0.3877,,treatment_frequency,0.3705,,treatment_start,0.3607,,treatment_end,0.3203,
AGE,stage2,numeric,age_at_death,0.725,,age_at_diagnosis,0.7209,,age_at_procurement,0.6882,,age_at_death_min,0.6761,,age_at_procurement_min,0.6587,
AGE_AT_CHEMOTHERAPY_START,stage2,numeric,age_at_metastasis,0.8272,,age_at_metastasis_min,0.8242,,age_at_metastasis_max,0.8205,,age_at_diagnosis,0.6924,,age_at_death_min,0.684,
AGE_AT_CHEMOTHERAPY_STOP,stage2,numeric,age_at_metastasis_max,0.7972,,age_at_metastasis,0.7779,,age_at_metastasis_min,0.7573,,age_at_death,0.6568,,age_at_death_max,0.6419,
AGE_AT_DEATH,stage1,std_exact,age_at_death,1.0,,,,,,,,,,,,,
AGE_AT_DERIVATION,stage2,numeric,age_at_death,0.7318,,age_at_diagnosis,0.6929,,age_at_death_min,0.6619,,age_at_death_max,0.6506,,age_at_procurement,0.6306,
AGE_AT_DIAGNOSIS,stage1,std_exact,age_at_diagnosis,1.0,,,,,,,,,,,,,
AGE_AT_DOS_BX,stage2,numeric,age_at_diagnosis,0.6203,,age_at_diagnosis_max,0.5932,,age_at_diagnosis_min,0.5929,,age_at_death_max,0.5802,,age_at_death_min,0.5785,
AGE_AT_DX,stage2,numeric,age_at_diagnosis,0.6575,,age_at_procurement,0.6278,,age_at_procurement_max,0.6264,,age_at_diagnosis_min,0.6259,,age_at_death_max,0.6244,
AGE_AT_EVIDENCE_OF_METS,stage2,numeric,age_at_diagnosis,0.5688,,age_at_metastasis,0.555,,age_at_death,0.5406,,age_at_metastasis_max,0.5406,,age_at_metastasis_min,0.5375,
AGE_AT_INITIAL_DIAGNOSIS,stage2,numeric,age_at_diagnosis,1.1092,,age_at_diagnosis_min,1.0007,,age_at_diagnosis_max,0.99,,age_at_metastasis_min,0.7317,,age_at_metastasis,0.7255,
AGE_AT_INITIAL_PATHOLOGIC_DIAGNOSIS,stage2,numeric,age_at_diagnosis,0.9776,,age_at_diagnosis_min,0.8714,,age_at_diagnosis_max,0.8409,,age_at_metastasis,0.7084,,age_at_metastasis_min,0.6989,
AGE_AT_MET,stage2,numeric,age_at_death,0.6591,,age_at_death_min,0.6475,,age_at_procurement,0.6295,,age_at_death_max,0.6096,,age_at_procurement_min,0.601,
AGE_AT_METS,stage2,numeric,age_at_death_min,0.5549,,age_at_death,0.549,,age_at_death_max,0.5386,,age_at_metastasis,0.5267,,age_at_diagnosis,0.525,
AGE_AT_PD1,stage2,numeric,age_at_diagnosis,0.6705,,age_at_diagnosis_min,0.639,,age_at_diagnosis_max,0.608,,age_at_death_min,0.6025,,age_at_procurement_min,0.6023,
AGE_AT_PROCUREMENT,stage1,std_exact,age_at_procurement,1.0,,,,,,,,,,,,,
AGE_AT_RADIATION_START,stage2,numeric,age_at_diagnosis,0.7111,,age_at_metastasis,0.6937,,age_at_metastasis_min,0.6933,,age_at_metastasis_max,0.6897,,age_at_diagnosis_min,0.6737,
AGE_AT_RADIATION_STOP,stage2,numeric,age_at_metastasis_max,0.6842,,age_at_diagnosis_max,0.6683,,age_at_diagnosis,0.6589,,age_at_death,0.6541,,age_at_metastasis,0.6495,
AGE_AT_RESECTION,stage2,numeric,age_at_diagnosis,0.7704,,age_at_metastasis,0.7508,,age_at_metastasis_min,0.7361,,age_at_metastasis_max,0.7248,,age_at_death,0.7194,
AGE_AT_SAMPLE_COLLECTION,stage2,numeric,age_at_procurement,0.7127,,age_at_procurement_min,0.691,,age_at_procurement_max,0.6629,,age_at_diagnosis,0.63,,age_at_diagnosis_min,0.5988,
AGE_AT_SAMPLING,stage2,numeric,age_at_diagnosis,0.6305,,age_at_death,0.6293,,age_at_death_min,0.6286,,age_at_procurement,0.6103,,age_at_diagnosis_min,0.6077,
AGE_AT_SCC,stage2,numeric,age_at_procurement_min,0.6386,,age_at_procurement,0.6336,,age_at_diagnosis,0.6191,,age_at_death_min,0.619,,age_at_procurement_max,0.6116,
AGE_AT_SEQ_REPORT,stage2,numeric,age_at_diagnosis,0.6999,,age_at_diagnosis_max,0.6582,,age_at_diagnosis_min,0.6446,,age_at_metastasis_max,0.6066,,age_at_procurement,0.5957,
AGE_AT_SEQ_REPORTED_YEARS,stage2,numeric,age_at_diagnosis,0.6851,,age_at_diagnosis_max,0.6537,,age_at_diagnosis_min,0.6209,,age_at_metastasis_max,0.6065,,age_at_metastasis,0.5898,
AGE_AT_SEQUENCING,stage2,numeric,age_at_diagnosis,0.6938,,age_at_diagnosis_min,0.671,,age_at_diagnosis_max,0.6506,,age_at_metastasis_min,0.6391,,age_at_metastasis_max,0.6389,
