original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score
"""BRAIN, CEREBELLUM""",Cerebellum,1,2,Cerebellum,0.9658,Brain,0.9596,Cerebellum<;>Posterior Cranial Fossa<;>Meninges<;>Dura Mater<;>Cervical Spinal Cord<;>Thoracic Spine<;>Brain Ventricle,0.9492,Cerebellum<;>Posterior Cranial Fossa<;>Hippocampus<;>Thoracic Spine<;>Temporal Lobe<;>Thalamus,0.9477,Cerebellum<;>Posterior Cranial Fossa<;>Frontal Lobe,0.9477
"""BRAIN, LEFT FRONTAL""",Left<;>Frontal Lobe,1,2,Left<;>Frontal Lobe,0.9772,Right<;>Frontal Lobe,0.9726,Left<;>Frontal Lobe<;>Temporal Lobe,0.9682,Right<;>Frontal Lobe<;>Temporal Lobe,0.9632,Frontal Lobe,0.9615
"""BRAIN, PARIETAL""",Parietal Lobe,2,2,Parietal,0.9634,Parietal Lobe,0.9629,Parietal Lobe<;>Temporal Lobe,0.9607,Frontal Lobe<;>Parietal Lobe,0.9550,Right<;>Parietal Lobe,0.9500
"""BRAIN, RIGHT FRONTAL""",Right<;>Frontal Lobe,1,2,Right<;>Frontal Lobe,0.9786,Right<;>Frontal Lobe<;>Temporal Lobe,0.9702,Left<;>Frontal Lobe,0.9653,Left<;>Frontal Lobe<;>Temporal Lobe,0.9594,Frontal Lobe,0.9580
"""BRAIN, RIGHT TEMPORAL""",Right<;>Temporal Lobe,1,2,Right<;>Temporal Lobe,0.9789,Right<;>Frontal Lobe<;>Temporal Lobe,0.9699,Right<;>Temporal Lobe<;>Occipital Lobe,0.9644,Right<;>Parietal Lobe<;>Temporal Lobe,0.9626,Left<;>Temporal Lobe,0.9608
3RD VENTRICLE,Third Ventricle,1,2,Third Ventricle,0.9804,Fourth Ventricle,0.9298,T3 Vertebra,0.9227,Brain Ventricle,0.9188,Cerebellum<;>Posterior Cranial Fossa<;>Brain Ventricle,0.9068
4TH VENTRICLE,Fourth Ventricle,1,2,Fourth Ventricle,0.9812,C4 Vertebra,0.9354,Third Ventricle,0.9347,Brain Ventricle,0.9298,Temporal Lobe<;>Thalamus<;>Brain Ventricle,0.9201
ABDOMEN,Abdomen,1,2,Abdomen,1.0000,Left<;>Abdomen,0.9669,Left<;>Abdomen<;>Diaphragm,0.9558,Abdominal Wall,0.9500,Right<;>Abdominal Wall,0.9478
"ABDOMEN, LEFT",Left<;>Abdomen,1,2,Left<;>Abdomen,0.9880,Abdomen,0.9706,Left<;>Abdomen<;>Diaphragm,0.9686,Right<;>Abdominal Wall,0.9638,Left Upper Quadrant of Abdomen,0.9628
"ABDOMEN, PELVIS",Pelvis,4,2,Lower<;>Abdomen<;>Pelvis,0.9698,Abdomen,0.9675,Lower<;>Abdomen<;>Pelvis<;>Uterus,0.9661,Pelvis,0.9639,Pelvis<;>Retroperitoneum,0.9628
ABDOMEN/DIAPHRAGM,Diaphragm,3,2,Left<;>Abdomen<;>Diaphragm,0.9793,Abdomen,0.9711,Diaphragm,0.9661,Left<;>Chest<;>Diaphragm,0.9574,Right<;>Diaphragm,0.9566
ABDOMEN/DIAPHRAM,Diaphragm,99,2,Abdomen,0.9514,Left<;>Abdomen<;>Diaphragm,0.9428,Left<;>Abdomen,0.9379,Kidney<;>Liver<;>Retroperitoneum<;>Upper<;>Abdominal,0.9308,Lower<;>Abdomen<;>Pelvis,0.9286
ABDOMENDIAPHRAGM,Diaphragm,4,2,Left<;>Abdomen<;>Diaphragm,0.9605,Abdomen,0.9573,Left<;>Abdomen,0.9468,Diaphragm,0.9426,Left<;>Chest<;>Diaphragm,0.9407
ABDOMINAL,Abdomen,2,2,Abdominal Wall,0.9673,Abdomen,0.9659,Right<;>Abdominal Wall,0.9517,Left<;>Abdomen,0.9495,Intra-abdominal,0.9463
ABDOMINAL TUMOR NODULES,Abdomen,99,2,Peritoneal<;>Nodule,0.9452,Skin Nodule,0.9265,Metastatic Malignant Neoplasm in the Adrenal Gland,0.9248,Small Intestine<;>Metastasis,0.9246,Spleen<;>Metastasis,0.9221
ABDOMINAL WAL,Abdominal Wall,1,2,Abdominal Wall,0.9455,Abdomen,0.9348,Right<;>Abdominal Wall,0.9317,Left<;>Abdomen,0.9291,Skin of the Trunk<;>Abdominal Wall,0.9279
ABDOMINAL WALL,Abdominal Wall,1,2,Abdominal Wall,1.0000,Right<;>Abdominal Wall,0.9682,Anterior Abdominal Wall Muscle,0.9635,Skin of the Trunk<;>Abdominal Wall,0.9549,Abdomen,0.9500
ABDOMINAL WALL MASS,Abdominal Wall,1,2,Abdominal Wall,0.9684,Right<;>Abdominal Wall,0.9497,Anterior Abdominal Wall Muscle,0.9448,Skin of the Trunk<;>Abdominal Wall,0.9339,Pelvic Mass,0.9334
"ABDOMINAL WALL, RIGHT",Right<;>Abdominal Wall,2,2,Abdominal Wall,0.9926,Right<;>Abdominal Wall,0.9725,Anterior Abdominal Wall Muscle,0.9612,Skin of the Trunk<;>Abdominal Wall,0.9603,Abdomen,0.9544
ABDONIMAL NODULE,Abdomen,99,2,Peritoneal<;>Nodule,0.9171,Skin Nodule,0.9075,Aortocaval Lymph Node<;>Pancreatic Lymph Node<;>Presacral<;>Extra-Adrenal,0.9057,Aortocaval Lymph Node<;>Retroperitoneal<;>Extra-Adrenal,0.9017,Portacaval Lymph Node<;>Extra-Adrenal,0.8982
ACETABULUM,Acetabulum,1,2,Acetabulum,1.0000,Pelvis<;>Buttock,0.9204,Pelvis,0.9198,Renal Pelvis,0.9109,Ilium,0.9107
ADNEXA,Adnexa,1,2,Adnexa,1.0000,Right<;>Adnexa,0.9816,Left<;>Adnexa,0.9702,Left<;>Adnexa<;>Pelvic Peritoneum,0.9444,Extra-Adrenal<;>Abdomen<;>Pelvis,0.9018
ADRENAL,Adrenal Gland,1,2,Adrenal Gland,0.9870,Right<;>Adrenal Gland,0.9546,Left<;>Adrenal Gland,0.9536,Left<;>Adrenal Gland<;>Kidney,0.9515,Extra-Adrenal<;>Renal,0.9422
ADRENAL GLAND,Adrenal Gland,1,2,Adrenal Gland,1.0000,Left<;>Adrenal Gland,0.9602,Right<;>Adrenal Gland,0.9596,Left<;>Adrenal Gland<;>Kidney,0.9583,Parotid Gland,0.9405
"ADRENAL GLAND, LEFT",Left<;>Adrenal Gland,1,2,Left<;>Adrenal Gland,0.9921,Right<;>Adrenal Gland,0.9800,Left<;>Adrenal Gland<;>Kidney,0.9796,Adrenal Gland,0.9616,Left,0.9452
ALVEOLAR,Alveolar,1,2,Alveolar,1.0000,Lung,0.9116,Peritoneal,0.9027,Lobe of the Left Lung,0.9011,Subsegmental Bronchus of Right Lung,0.8971
ANTERIOR ABDOMINAL WALL,Anterior Abdominal Wall Muscle,1,2,Anterior Abdominal Wall Muscle,0.9877,Abdominal Wall,0.9712,Right<;>Abdominal Wall,0.9529,Anterior Mediastinum,0.9365,Skin of the Trunk<;>Abdominal Wall,0.9335
"ANTERIOR CHEST, SKIN METASTASIS",Metastatic Malignant Neoplasm in the Skin,99,2,Skin<;>Chest Wall<;>Metastasis,0.9732,Chest Wall<;>Metastasis,0.9598,Skin<;>Breast<;>Metastasis,0.9546,Skin<;>Metastasis,0.9513,Right<;>Chest Wall<;>Metastasis,0.9504
ANTERIOR ENDOMETRIUM,Anterior Endometrium,1,2,Anterior Endometrium,1.0000,Posterior Endometrium,0.9508,Anterior Mediastinum,0.9350,Temporal Lobe<;>Anterior,0.9248,Anterior Abdominal Wall Muscle,0.9212
ANTERIOR MEDIASTINUM,Anterior Mediastinum,1,2,Anterior Mediastinum,1.0000,Left<;>Posterior Mediastinum,0.9591,Right<;>Posterior Mediastinum,0.9568,Mediastinum,0.9523,Left<;>Mediastinum,0.9452
ANTRUM,Antrum Pylori,1,2,Antrum Pylori,0.9714,Acetabulum,0.9072,Fundus of the Stomach<;>Body of Stomach,0.9057,Stomach,0.9018,Right<;>Femur,0.9009
