original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score
nan,nan,1,1,nan,1.0,nan,1.0,nan,1.0,nan,1.0,nan,1.0
1-ERG,ERG Gene,1,2,ERG Gene,0.9439,Ewing Sarcoma<;>ERG Gene Rearrangement,0.9174,AML1-ETO Fusion Protein Expression,0.9069,Ewing Sarcoma<;>EWSR1/FLI1 Fusion Protein,0.9040,ETV1 Gene,0.9019
2-ETV1,ETV1 Gene,1,2,ETV1 Gene,0.9570,ETV4 Gene,0.9398,AML1-ETO Fusion Protein Expression,0.9265,Estrogen Receptor Positive<;>HER2/Neu Positive,0.9139,Estrogen Receptor Negative<;>HER2/Neu Positive,0.9134
20% DYSGERMINOMA AND 80% YOLK SAC TUMOR,Ovarian Dysgerminoma<;>Yolk Sac Tumor,1,2,Ovarian Dysgerminoma<;>Yolk Sac Tumor,0.9738,Ovarian Dysgerminoma,0.9435,Yolk Sac Tumor<;>Seminoma,0.9429,Nongerminomatous Germ Cell Tumor<;>Yolk Sac Tumor,0.9408,Embryonal Carcinoma<;>Nonseminomatous<;>Yolk Sac Tumor,0.9363
25-30% DUCTAL COMPONENT,Prostate Ductal Adenocarcinoma,99,2,Ductal,0.9479,Breast Ductal Carcinoma,0.9336,Breast Mixed Ductal and Lobular Carcinoma,0.9332,Pancreatic Ductal Adenocarcinoma<;>Exocrine Gland,0.9316,Pancreatic Ductal Adenocarcinoma,0.9302
3-ETV4,ETV4 Gene,1,2,ETV4 Gene,0.9477,ETV1 Gene,0.9399,Extraventricular Neurocytoma,0.9127,AML1-ETO Fusion Protein Expression,0.9126,Supratentorial Ependymoma<;>Subependymoma,0.9085
4-FLI1,FLI1 Gene,1,2,FLI1 Gene,0.9538,Ewing Sarcoma<;>EWSR1/FLI1 Fusion Protein,0.9286,Myelodysplastic Syndrome with Isolated del(5q),0.9074,"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2) or t(3;3) (q21.3;q26.2); GATA2, MECOM",0.9055,"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM",0.9055
5-SPOP,SPOP Gene,1,2,SPOP Gene,0.9337,Myelodysplastic Syndrome with Isolated del(5q),0.9122,Myelodysplastic Syndrome with del(5q),0.9108,"Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted",0.8901,"Astrocytoma, IDH-Mutant, Grade 4",0.8878
6-FOXA1,FOXA1 Gene,1,2,FOXA1 Gene,0.9409,PAX3/FOXO1 Fusion Gene,0.9178,"Astrocytoma, IDH-Mutant, Grade 4",0.9078,CBFB-MYH11 Fusion Protein Expression,0.9071,"Astrocytoma, IDH-Mutant, Grade 3",0.9048
7-IDH1,IDH1 Gene,4,2,"Astrocytoma, IDH-Mutant, Grade 4",0.9296,"Astrocytoma, IDH-Mutant, Grade 3",0.9281,"Astrocytoma, IDH-Mutant, Grade 2",0.9265,IDH1 Gene,0.9227,"Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted",0.9226
82463 NEUROENDOCRINE CARCINOMA NOS,Neuroendocrine Carcinoma,1,2,Neuroendocrine Carcinoma,0.9564,Esophageal Neuroendocrine Carcinoma<;>Adenocarcinoma,0.9537,Neuroendocrine Carcinoma<;>Poorly Differentiated,0.9521,High Grade<;>Small Cell Neuroendocrine Carcinoma<;>Small Cell Adenocarcinoma,0.9519,Head and Neck Neuroendocrine Carcinoma,0.9493
AB,Thymoma Type AB,1,2,Thymoma Type AB,0.9123,B-Lymphocyte,0.9051,Thymoma Type A<;>Thymoma Type AB,0.9014,"B Lymphoblastic Leukemia/Lymphoma, BCR-ABL1-Like",0.8973,Activated B-Cell Positive,0.8967
ABC,Activated B-Cell Positive,2,2,Diffuse Large B-Cell Lymphoma Activated B-Cell Type,0.9047,Activated B-Cell Positive,0.9037,"Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative",0.8999,"B Lymphoblastic Leukemia/Lymphoma, BCR-ABL1-Like",0.8997,Chondroblastoma,0.8980
ABDOMEN,Abdomen,1,2,Abdomen,1.0000,Abdominal Wall,0.9500,Stomach,0.9233,Peritoneum,0.9208,Intestine,0.9163
ABDOMINAL WALL,Abdominal Wall,1,2,Abdominal Wall,1.0000,Abdomen,0.9500,Peritoneum,0.9210,Omentum,0.9054,Peritoneal Mesothelioma,0.9025
ACANTHOLYTIC,Skin Acantholytic Squamous Cell Carcinoma,1,2,Skin Acantholytic Squamous Cell Carcinoma,0.9402,Desmoplastic,0.9171,Skin Sclerosing/Morphoeic Basal Cell Carcinoma,0.9020,Anaplastic Pleomorphic Xanthoastrocytoma,0.8995,Neoplastic Fibroblast-Like Cell,0.8989
