original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score
Abiraterone,Abiraterone,1,1,Abiraterone,1.0,Abiraterone,1.0,Abiraterone,1.0,Abiraterone,1.0,Abiraterone,1.0
Adalimumab,Adalimumab,1,1,Adalimumab,1.0,Adalimumab,1.0,Adalimumab,1.0,Adalimumab,1.0,Adalimumab,1.0
Afatinib,Afatinib,1,1,Afatinib,1.0,Afatinib,1.0,Afatinib,1.0,Afatinib,1.0,Afatinib,1.0
Alisertib,Alisertib,1,1,Alisertib,1.0,Alisertib,1.0,Alisertib,1.0,Alisertib,1.0,Alisertib,1.0
Alpelisib,Alpelisib,1,1,Alpelisib,1.0,Alpelisib,1.0,Alpelisib,1.0,Alpelisib,1.0,Alpelisib,1.0
Anastomosis,Anastomosis,1,1,Anastomosis,1.0,Anastomosis,1.0,Anastomosis,1.0,Anastomosis,1.0,Anastomosis,1.0
Anterior Pelvic Exenteration,Anterior Pelvic Exenteration,1,1,Anterior Pelvic Exenteration,1.0,Anterior Pelvic Exenteration,1.0,Anterior Pelvic Exenteration,1.0,Anterior Pelvic Exenteration,1.0,Anterior Pelvic Exenteration,1.0
Arsenic Trioxide,Arsenic Trioxide,1,1,Arsenic Trioxide,1.0,Arsenic Trioxide,1.0,Arsenic Trioxide,1.0,Arsenic Trioxide,1.0,Arsenic Trioxide,1.0
Aspiration,Aspiration,1,1,Aspiration,1.0,Aspiration,1.0,Aspiration,1.0,Aspiration,1.0,Aspiration,1.0
Atezolizumab,Atezolizumab,1,1,Atezolizumab,1.0,Atezolizumab,1.0,Atezolizumab,1.0,Atezolizumab,1.0,Atezolizumab,1.0
Autopsy,Autopsy,1,1,Autopsy,1.0,Autopsy,1.0,Autopsy,1.0,Autopsy,1.0,Autopsy,1.0
Axitinib,Axitinib,1,1,Axitinib,1.0,Axitinib,1.0,Axitinib,1.0,Axitinib,1.0,Axitinib,1.0
Azacitidine,Azacitidine,1,1,Azacitidine,1.0,Azacitidine,1.0,Azacitidine,1.0,Azacitidine,1.0,Azacitidine,1.0
Azathioprine,Azathioprine,1,1,Azathioprine,1.0,Azathioprine,1.0,Azathioprine,1.0,Azathioprine,1.0,Azathioprine,1.0
Bevacizumab,Bevacizumab,1,1,Bevacizumab,1.0,Bevacizumab,1.0,Bevacizumab,1.0,Bevacizumab,1.0,Bevacizumab,1.0
Bicalutamide,Bicalutamide,1,1,Bicalutamide,1.0,Bicalutamide,1.0,Bicalutamide,1.0,Bicalutamide,1.0,Bicalutamide,1.0
Bilateral Mastectomy,Bilateral Mastectomy,1,1,Bilateral Mastectomy,1.0,Bilateral Mastectomy,1.0,Bilateral Mastectomy,1.0,Bilateral Mastectomy,1.0,Bilateral Mastectomy,1.0
Bilateral Salpingectomy,Bilateral Salpingectomy,1,1,Bilateral Salpingectomy,1.0,Bilateral Salpingectomy,1.0,Bilateral Salpingectomy,1.0,Bilateral Salpingectomy,1.0,Bilateral Salpingectomy,1.0
Biochemotherapy,Biochemotherapy,1,1,Biochemotherapy,1.0,Biochemotherapy,1.0,Biochemotherapy,1.0,Biochemotherapy,1.0,Biochemotherapy,1.0
Biopsy,Biopsy,1,1,Biopsy,1.0,Biopsy,1.0,Biopsy,1.0,Biopsy,1.0,Biopsy,1.0
Bleomycin,Bleomycin,1,1,Bleomycin,1.0,Bleomycin,1.0,Bleomycin,1.0,Bleomycin,1.0,Bleomycin,1.0
Bortezomib,Bortezomib,1,1,Bortezomib,1.0,Bortezomib,1.0,Bortezomib,1.0,Bortezomib,1.0,Bortezomib,1.0
Buparlisib,Buparlisib,1,1,Buparlisib,1.0,Buparlisib,1.0,Buparlisib,1.0,Buparlisib,1.0,Buparlisib,1.0
Busulfan,Busulfan,1,1,Busulfan,1.0,Busulfan,1.0,Busulfan,1.0,Busulfan,1.0,Busulfan,1.0
Cabazitaxel,Cabazitaxel,1,1,Cabazitaxel,1.0,Cabazitaxel,1.0,Cabazitaxel,1.0,Cabazitaxel,1.0,Cabazitaxel,1.0
Cabozantinib,Cabozantinib,1,1,Cabozantinib,1.0,Cabozantinib,1.0,Cabozantinib,1.0,Cabozantinib,1.0,Cabozantinib,1.0
Capecitabine,Capecitabine,1,1,Capecitabine,1.0,Capecitabine,1.0,Capecitabine,1.0,Capecitabine,1.0,Capecitabine,1.0
Carboplatin,Carboplatin,1,1,Carboplatin,1.0,Carboplatin,1.0,Carboplatin,1.0,Carboplatin,1.0,Carboplatin,1.0
Carmustine,Carmustine,1,1,Carmustine,1.0,Carmustine,1.0,Carmustine,1.0,Carmustine,1.0,Carmustine,1.0
Cediranib,Cediranib,1,1,Cediranib,1.0,Cediranib,1.0,Cediranib,1.0,Cediranib,1.0,Cediranib,1.0
Cetuximab,Cetuximab,1,1,Cetuximab,1.0,Cetuximab,1.0,Cetuximab,1.0,Cetuximab,1.0,Cetuximab,1.0
Cilengitide,Cilengitide,1,1,Cilengitide,1.0,Cilengitide,1.0,Cilengitide,1.0,Cilengitide,1.0,Cilengitide,1.0
Cisplatin,Cisplatin,1,1,Cisplatin,1.0,Cisplatin,1.0,Cisplatin,1.0,Cisplatin,1.0,Cisplatin,1.0
Cladribine,Cladribine,1,1,Cladribine,1.0,Cladribine,1.0,Cladribine,1.0,Cladribine,1.0,Cladribine,1.0
Clofarabine,Clofarabine,1,1,Clofarabine,1.0,Clofarabine,1.0,Clofarabine,1.0,Clofarabine,1.0,Clofarabine,1.0
Cobimetinib,Cobimetinib,1,1,Cobimetinib,1.0,Cobimetinib,1.0,Cobimetinib,1.0,Cobimetinib,1.0,Cobimetinib,1.0
Craniotomy,Craniotomy,1,1,Craniotomy,1.0,Craniotomy,1.0,Craniotomy,1.0,Craniotomy,1.0,Craniotomy,1.0
Crenolanib,Crenolanib,1,1,Crenolanib,1.0,Crenolanib,1.0,Crenolanib,1.0,Crenolanib,1.0,Crenolanib,1.0
Cyclophosphamide,Cyclophosphamide,1,1,Cyclophosphamide,1.0,Cyclophosphamide,1.0,Cyclophosphamide,1.0,Cyclophosphamide,1.0,Cyclophosphamide,1.0
Cystectomy,Cystectomy,1,1,Cystectomy,1.0,Cystectomy,1.0,Cystectomy,1.0,Cystectomy,1.0,Cystectomy,1.0
Cytarabine,Cytarabine,1,1,Cytarabine,1.0,Cytarabine,1.0,Cytarabine,1.0,Cytarabine,1.0,Cytarabine,1.0
Cytosine,Cytosine,1,1,Cytosine,1.0,Cytosine,1.0,Cytosine,1.0,Cytosine,1.0,Cytosine,1.0
Dabrafenib,Dabrafenib,1,1,Dabrafenib,1.0,Dabrafenib,1.0,Dabrafenib,1.0,Dabrafenib,1.0,Dabrafenib,1.0
Dacomitinib,Dacomitinib,1,1,Dacomitinib,1.0,Dacomitinib,1.0,Dacomitinib,1.0,Dacomitinib,1.0,Dacomitinib,1.0
Daratumumab,Daratumumab,1,1,Daratumumab,1.0,Daratumumab,1.0,Daratumumab,1.0,Daratumumab,1.0,Daratumumab,1.0
Dasatinib,Dasatinib,1,1,Dasatinib,1.0,Dasatinib,1.0,Dasatinib,1.0,Dasatinib,1.0,Dasatinib,1.0
Daunorubicin,Daunorubicin,1,1,Daunorubicin,1.0,Daunorubicin,1.0,Daunorubicin,1.0,Daunorubicin,1.0,Daunorubicin,1.0
Decitabine,Decitabine,1,1,Decitabine,1.0,Decitabine,1.0,Decitabine,1.0,Decitabine,1.0,Decitabine,1.0
