original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score
"""BRAIN, CEREBELLUM""",Cerebellum,1,2,Cerebellum,0.9504,Cerebellum<;>Posterior Cranial Fossa,0.7169,Brain,0.7141,Central Lobe,0.6609,Cerebellum<;>Posterior Cranial Fossa<;>Brain Ventricle,0.6523
"""BRAIN, LEFT FRONTAL""",Left<;>Frontal Lobe,1,2,Left<;>Frontal Lobe,0.9043,Left<;>Frontal Lobe<;>Temporal Lobe,0.8142,Right<;>Frontal Lobe,0.7282,Left<;>Parietal Lobe,0.7146,Left<;>Parietal Lobe<;>Occipital Lobe,0.7042
"""BRAIN, PARIETAL""",Parietal Lobe,1,2,Parietal Lobe,0.9447,Parietal,0.9303,Parietal Lobe<;>Temporal Lobe,0.8099,Supratentorial<;>Parietal Lobe,0.8018,Frontal Lobe<;>Parietal Lobe,0.7983
"""BRAIN, RIGHT FRONTAL""",Right<;>Frontal Lobe,1,2,Right<;>Frontal Lobe,0.9035,Right<;>Frontal Lobe<;>Temporal Lobe,0.7945,Frontal,0.6977,Frontal Lobe,0.6667,Right<;>Parietal Lobe,0.6569
"""BRAIN, RIGHT TEMPORAL""",Right<;>Temporal Lobe,1,2,Right<;>Temporal Lobe,0.8662,Right<;>Temporal Lobe<;>Occipital Lobe,0.8138,Right<;>Parietal Lobe<;>Temporal Lobe,0.8029,Right<;>Frontal Lobe<;>Temporal Lobe,0.7800,Right<;>Occipital Lobe,0.6695
3RD VENTRICLE,Third Ventricle,1,2,Third Ventricle,0.9633,Fourth Ventricle,0.7468,Medulla Oblongata<;>Brain Ventricle,0.7035,Brain Ventricle,0.6858,Tectum Mesencephali<;>Brain Ventricle,0.6615
4TH VENTRICLE,Fourth Ventricle,1,2,Fourth Ventricle,0.9703,Third Ventricle,0.7788,Brain Ventricle,0.7468,Medulla Oblongata<;>Brain Ventricle,0.7253,Temporal Lobe<;>Thalamus<;>Brain Ventricle,0.6980
ABDOMEN,Abdomen,1,2,Abdomen,1.0000,Abdominal Wall,0.8532,Intra-abdominal,0.8291,Lower<;>Abdomen<;>Pelvis,0.7387,Retroperitoneum<;>Upper<;>Abdominal,0.7322
"ABDOMEN, LEFT",Left<;>Abdomen,1,2,Left<;>Abdomen,0.9761,Left<;>Pelvis,0.7890,Left<;>Retroperitoneum,0.7712,Left<;>Retroperitoneal,0.7448,Left Leg,0.7159
"ABDOMEN, PELVIS",Pelvis,2,2,Lower<;>Abdomen<;>Pelvis,0.9358,Pelvis,0.8852,Pelvis<;>Retroperitoneum,0.8454,Abdomen,0.8336,Extra-Adrenal<;>Abdomen<;>Pelvis,0.7925
