original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score
nan,nan,1,1,nan,1.0,nan,1.0,nan,1.0,nan,1.0,nan,1.0
1-ERG,ERG Gene,1,2,ERG Gene,0.6789,Ewing Sarcoma<;>ERG Gene Rearrangement,0.4684,immortal epithelial cell line cell,0.4488,First Relapse,0.4485,Retinoblastoma,0.4274
2-ETV1,ETV1 Gene,1,2,ETV1 Gene,0.6251,ETV4 Gene,0.5729,"Embryonal Tumor with Multilayered Rosettes, C19MC-Altered",0.5249,immortal epithelial cell line cell,0.4821,immortal embryo-derived fibroblast cell line cell,0.4759
20% DYSGERMINOMA AND 80% YOLK SAC TUMOR,Ovarian Dysgerminoma<;>Yolk Sac Tumor,1,2,Ovarian Dysgerminoma<;>Yolk Sac Tumor,0.8746,Yolk Sac Tumor,0.7987,Nongerminomatous Germ Cell Tumor<;>Yolk Sac Tumor,0.7546,Nonseminomatous<;>Yolk Sac Tumor,0.7484,Yolk Sac Tumor<;>Seminoma,0.7273
25-30% DUCTAL COMPONENT,Prostate Ductal Adenocarcinoma,99,2,Ductal,0.6075,Breast Ductal Carcinoma In Situ,0.5760,Ductal<;>Micropapillary Growth Pattern,0.5648,Proximal Bile Duct,0.5614,Breast Ductal Carcinoma,0.5519
3-ETV4,ETV4 Gene,1,2,ETV4 Gene,0.6574,ETV1 Gene,0.5452,"Embryonal Tumor with Multilayered Rosettes, C19MC-Altered",0.5104,Anaplastic Ependymoma,0.4549,Embryonal Tumor with Multilayered Rosettes,0.4487
4-FLI1,FLI1 Gene,1,2,FLI1 Gene,0.7913,Ewing Sarcoma<;>EWSR1/FLI1 Fusion Protein,0.5458,immortal embryo-derived fibroblast cell line cell,0.4765,Myelodysplastic Syndrome with Single Lineage Dysplasia,0.4458,"Supratentorial Ependymoma, ZFTA-RELA Fusion-Positive",0.4427
5-SPOP,SPOP Gene,1,2,SPOP Gene,0.5884,Myelodysplastic Syndrome with Isolated del(5q),0.4376,Myelodysplastic Syndrome with del(5q),0.4331,Serous,0.4203,Papillary Serous Cystadenocarcinoma,0.4132
6-FOXA1,FOXA1 Gene,1,2,FOXA1 Gene,0.6999,PAX3/FOXO1 Fusion Gene,0.6231,Thyroid Gland Follicular Carcinoma<;>Thyroid Gland Oncocytic Carcinoma,0.4422,Thyroid Gland Oncocytic Adenoma,0.4018,Follicular Variant Thyroid Gland Papillary Carcinoma,0.3935
7-IDH1,IDH1 Gene,1,2,IDH1 Gene,0.8017,"Astrocytoma, IDH-Mutant, Grade 2",0.5215,"Astrocytoma, IDH-Mutant, Grade 3",0.5024,Glioblastoma<;>IDH Family Wildtype,0.4948,Gliosarcoma<;>IDH Family Wildtype,0.4940
82463 NEUROENDOCRINE CARCINOMA NOS,Neuroendocrine Carcinoma,2,2,Adenocarcinoma with Neuroendocrine Differentiation,0.7027,Neuroendocrine Carcinoma,0.6599,Neuroendocrine Carcinoma<;>Poorly Differentiated,0.6372,Endometrial Neuroendocrine Carcinoma,0.6234,Cervical Neuroendocrine Tumor,0.6153
AB,Thymoma Type AB,4,2,Bilateral,0.5363,Basal,0.5219,Activated B-Cell Positive,0.5066,Thymoma Type AB,0.4841,Alveolar,0.4694
ABC,Activated B-Cell Positive,99,2,Basal,0.4837,Diffuse Large B-Cell Lymphoma Activated B-Cell Type,0.4759,Arm,0.4702,B-Cell Non-Hodgkin Lymphoma<;>Burkitt Lymphoma,0.4500,Castleman Disease,0.4498
ABDOMEN,Abdomen,1,2,Abdomen,1.0000,Abdominal Wall,0.8532,Extrahepatic,0.6136,Peritoneum,0.5974,Stomach,0.5795
ABDOMINAL WALL,Abdominal Wall,1,2,Abdominal Wall,1.0000,Abdomen,0.8532,Peritoneum,0.6958,Omentum,0.5422,Malignant Peritoneal Neoplasm,0.5321
ACANTHOLYTIC,Skin Acantholytic Squamous Cell Carcinoma,1,2,Skin Acantholytic Squamous Cell Carcinoma,0.5446,Histiocytosis,0.5205,Basal,0.5134,Leukapheresis,0.5002,Kataegis,0.4981
ACC,Adrenal Cortical Carcinoma,99,2,Acinar Cell Carcinoma,0.5359,Astrocytoma,0.5207,Pancreatic Acinar Cell Carcinoma,0.5130,Adenosquamous Carcinoma,0.4953,Adenocarcinoma with Neuroendocrine Differentiation,0.4951
ACINAR,Acinar Cell,1,2,Acinar Cell,0.8248,Acinar Cell Carcinoma,0.6832,Lobular,0.6727,Alveolar,0.6511,Ductal,0.6367
ACINAR ADENOCARCINOMA 85513,Lung Acinar Adenocarcinoma,3,2,Prostate Acinar Adenocarcinoma,0.6841,Prostate Acinar Adenocarcinoma<;>Prostate Ductal Adenocarcinoma,0.6800,Lung Acinar Adenocarcinoma,0.6632,Acinar Cell Carcinoma,0.6321,Pancreatic Mixed Acinar-Ductal Carcinoma,0.6188
ACINAR AND CRIBRIFORM,Prostate Acinar Adenocarcinoma<;>Cribriform,1,2,Prostate Acinar Adenocarcinoma<;>Cribriform,0.7128,Acinar Cell,0.6694,Cribriform,0.6446,Acinar Cell Carcinoma,0.6326,Acinar Cell Carcinoma<;>Papillary,0.6156
ACINAR AND DUCTAL,Prostate Acinar Adenocarcinoma<;>Prostate Ductal Adenocarcinoma,99,2,Ductal,0.7579,Acinar Cell,0.7300,Duct,0.6682,Pancreatic Mixed Acinar-Ductal Carcinoma,0.6496,Pancreatic Ductal Adenocarcinoma,0.6412
