"iri","ontology_name","ontology_prefix","short_form","description","label","obo_id","type"
"http://purl.obolibrary.org/obo/NCIT_C13020","ncit","NCIT","NCIT_C13020","Any anatomic component of one or both breasts.","Breast Part","NCIT:C13020","class"
"http://purl.obolibrary.org/obo/NCIT_C12369","ncit","NCIT","NCIT_C12369","A mass of adipose tissue in the breast that is surrounded by fibrous tissue.","Breast Fat Pad","NCIT:C12369","class"
"http://purl.obolibrary.org/obo/NCIT_C12305","ncit","NCIT","NCIT_C12305","The superolateral extension of the mammary gland into the axilla that consists of fibroadipose tissue, lymph nodes, and lymphatics.","Axillary Tail of the Breast","NCIT:C12305","class"
"http://purl.obolibrary.org/obo/NCIT_C12299","ncit","NCIT","NCIT_C12299","The pigmented protuberance on the surface of the breast through which milk is drawn from the breast.","Nipple","NCIT:C12299","class"
"http://purl.obolibrary.org/obo/NCIT_C12300","ncit","NCIT","NCIT_C12300","The part of the breast which is in the center.","Central Portion of the Breast","NCIT:C12300","class"
"http://purl.obolibrary.org/obo/NCIT_C12301","ncit","NCIT","NCIT_C12301","The quarter of the breast which is superior and medial.","Upper-Inner Quadrant of the Breast","NCIT:C12301","class"
"http://purl.obolibrary.org/obo/NCIT_C12302","ncit","NCIT","NCIT_C12302","The quarter of the breast which is inferior and medial.","Lower-Inner Quadrant of the Breast","NCIT:C12302","class"
"http://purl.obolibrary.org/obo/NCIT_C12303","ncit","NCIT","NCIT_C12303","The quarter of the breast which is superior and lateral.","Upper-Outer Quadrant of the Breast","NCIT:C12303","class"
"http://purl.obolibrary.org/obo/NCIT_C12304","ncit","NCIT","NCIT_C12304","The quarter of the breast which is inferior and lateral.","Lower-Outer Quadrant of the Breast","NCIT:C12304","class"
"http://purl.obolibrary.org/obo/NCIT_C12367","ncit","NCIT","NCIT_C12367","In humans, the glands of the breast, consisting of fibrous tissue connecting the lobes and fatty tissue in between the lobes.","Mammary Gland","NCIT:C12367","class"
"http://purl.obolibrary.org/obo/NCIT_C12368","ncit","NCIT","NCIT_C12368","The pigmented circle or ring of skin that surrounds the nipple.","Areola","NCIT:C12368","class"
"http://purl.obolibrary.org/obo/NCIT_C93291","ncit","NCIT","NCIT_C93291","A branched system of tubules that connect the lobules of the mammary gland to the tip of the nipple.","Breast Duct","NCIT:C93291","class"
"http://purl.obolibrary.org/obo/NCIT_C93232","ncit","NCIT","NCIT_C93232","A unit of the female breast made up of a group of terminal secretory lobules. On average there are 15-20 lobes in each breast.","Breast Lobe","NCIT:C93232","class"
"http://purl.obolibrary.org/obo/NCIT_C93241","ncit","NCIT","NCIT_C93241","Milk-producing glands found in the breasts. They are grouped together into larger units called lobes.","Breast Lobule","NCIT:C93241","class"
"http://purl.obolibrary.org/obo/NCIT_C13033","ncit","NCIT","NCIT_C13033","Any component of the complex group of organs including the thymus, spleen, tonsils, lymphatic system, hematopoietic system and cells like lymphocytes, granulocytes, monocytes and macrophages that defends the body against infection or disease.","Immune System Part","NCIT:C13033","class"
"http://purl.obolibrary.org/obo/NCIT_C38466","ncit","NCIT","NCIT_C38466","Any component of the bean-shaped organ that is part of the lymphatic system found throughout the body which is composed predominantly of lymphocytes and is involved in immune protection.","Lymph Node Part","NCIT:C38466","class"
"http://purl.obolibrary.org/obo/NCIT_C33026","ncit","NCIT","NCIT_C33026","Lymphatic vessels that transport unfiltered lymph to the lymph nodes.","Lymph Node Afferent Vessel","NCIT:C33026","class"
"http://purl.obolibrary.org/obo/NCIT_C33028","ncit","NCIT","NCIT_C33028","The dense connective tissue that surrounds a lymph node.","Lymph Node Capsule","NCIT:C33028","class"
"http://purl.obolibrary.org/obo/NCIT_C33030","ncit","NCIT","NCIT_C33030","Lymphatic vessels that transport filtered lymph out of lymph nodes.","Lymph Node Efferent Vessel","NCIT:C33030","class"
"http://purl.obolibrary.org/obo/NCIT_C33031","ncit","NCIT","NCIT_C33031","The concave side of the lymph node.","Lymph Node Hilum","NCIT:C33031","class"
"http://purl.obolibrary.org/obo/NCIT_C33034","ncit","NCIT","NCIT_C33034","Tissue composed of specialized cells that are organized as a definite organ, situated along the course of lymphatic vessels, and consisting of an outer cortical and an inner medullary part. The lymph nodes are the main source of lymphocytes of the peripheral blood and serve as a defense mechanism by removing noxious agents, such as bacteria and toxins, and probably play a role in antibody production.","Lymph Node Tissue","NCIT:C33034","class"
"http://purl.obolibrary.org/obo/NCIT_C33029","ncit","NCIT","NCIT_C33029","The portion of the lymph node that contains nodules with germinal centers where B lymphocyte mature into plasma cells after activation. The nodules are separated by diffuse lymphatic tissue, lymph sinuses and trabeculae.","Lymph Node Cortex","NCIT:C33029","class"
"http://purl.obolibrary.org/obo/NCIT_C33032","ncit","NCIT","NCIT_C33032","The central portion of the lymph node. It is divided into sections by tracts of lymphatic tissue called medullary cords. Between the medullary cords are the medullary sinuses, which consist mainly of macrophages that engulf microorganisms as part of the lymph node's filtering function. Lymphocytes and plasma cells are also found in the medullary portion.","Lymph Node Medullary Portion","NCIT:C33032","class"
"http://purl.obolibrary.org/obo/NCIT_C33033","ncit","NCIT","NCIT_C33033","An irregular tortuous space within lymph nodes through which a continuous stream of lymph passes entering into the efferent lymphatic vessels.","Lymph Node Sinus","NCIT:C33033","class"
"http://purl.obolibrary.org/obo/NCIT_C33642","ncit","NCIT","NCIT_C33642","The portion of the lymph node between the capsule and cortex. The subcapsular sinus receives lymph from the afferent lymph vessels and passes it to the cortical sinus.","Lymph Node Subcapsular Sinus","NCIT:C33642","class"
