"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db"
"ABDOMENDIAPHRAGM","Diaphragm","NCIT:C12702","NCIT"
"ABDOMEN/DIAPHRAGM","Diaphragm","NCIT:C12702","NCIT"
"ABDOMEN/DIAPHRAM","Diaphragm","NCIT:C12702","NCIT"
"ABDOMINAL WALL","Abdominal Wall","NCIT:C77608","NCIT"
"ABDOMINAL WALL MASS","Abdominal Wall","NCIT:C77608","NCIT"
"ABDOMINAL WAL","Abdominal Wall","NCIT:C77608","NCIT"
"ACETABULUM","Acetabulum","NCIT:C32042","NCIT"
"ANTERIOR ABDOMINAL WALL","Anterior Abdominal Wall Muscle","NCIT:C52890","NCIT"
"ANTERIOR ENDOMETRIUM","Anterior Endometrium","NCIT:C156431","NCIT"
"ANTERIOR MEDIASTINUM","Anterior Mediastinum","NCIT:C32098","NCIT"
"ANTRUM","Antrum Pylori","NCIT:C12259","NCIT"
"APEX","Apex of the Prostate","NCIT:C13087","NCIT"
"APEXBASE","Apex of the Prostate","NCIT:C13087","NCIT"
"APEXBASE","Base of the Prostate","NCIT:C13088","NCIT"
"APPENDIX","Appendix","NCIT:C12380","NCIT"
"ASCENDING COLON","Ascending Colon","NCIT:C12265","NCIT"
"ASCENDING TO TRANSVERSE COLON","Ascending Colon","NCIT:C12265","NCIT"
"ASCENDING TO TRANSVERSE COLON","Hepatic Flexure","NCIT:C12266","NCIT"
"ASCENDING TO TRANSVERSE COLON","Transverse Colon","NCIT:C12385","NCIT"
"BASAL GANGLIA","Basal Ganglia","NCIT:C12447","NCIT"
"BASAL GANGLIA,TEMPORAL LOBE","Basal Ganglia","NCIT:C12447","NCIT"
"BASAL GANGLIA,TEMPORAL LOBE","Temporal Lobe","NCIT:C12353","NCIT"
"BASAL GANGLIA,THALAMUS","Basal Ganglia","NCIT:C12447","NCIT"
"BASAL GANGLIA,THALAMUS","Thalamus","NCIT:C12459","NCIT"
"BASE","Base of the Prostate","NCIT:C13088","NCIT"
"SKULL BASE","Base of the Skull","NCIT:C12493","NCIT"
"BASE OF TONGUE","Base of the Tongue","NCIT:C12228","NCIT"
"BLADDER_NECK","Bladder Neck","NCIT:C12336","NCIT"
"URETER; RENAL PELVIS; BLADDER","Renal Pelvis","NCIT:C12887","NCIT"
"BODYSTOMACH","Body of Stomach","NCIT:C12258","NCIT"
"BODY","Body of the Pancreas","NCIT:C12270","NCIT"
"BODY-TAIL","Body of the Pancreas","NCIT:C12270","NCIT"
"BODY-TAIL","Tail of the Pancreas","NCIT:C12271","NCIT"
"BODY AND TAIL","Body of the Pancreas","NCIT:C12270","NCIT"
"BODY AND TAIL","Tail of the Pancreas","NCIT:C12271","NCIT"
"BONE","Bone","NCIT:C12366","NCIT"
"BONES","Bone","NCIT:C12366","NCIT"
"TUMOR EXTENTION INTO BONE","Bone","NCIT:C12366","NCIT"
"DIAGNOSIS CANCER BONE","Bone","NCIT:C12366","NCIT"
"BRAIN","Brain","NCIT:C12439","NCIT"
"DIAGNOSIS CANCER LOC BRAIN","Brain","NCIT:C12439","NCIT"
"HEMISPHERE","Brain","NCIT:C12439","NCIT"
"BRAIN STEM","Brain Stem","NCIT:C12441","NCIT"
"BRAINSTEM","Brain Stem","NCIT:C12441","NCIT"
"POSTERIOR FOSSA, BRAIN STEM","Brain Stem","NCIT:C12441","NCIT"
"POSTERIOR FOSSA, BRAIN STEM","Posterior Cranial Fossa","NCIT:C33361","NCIT"
"VENTRICLES","Brain Ventricle","NCIT:C12356","NCIT"
"BUCCAL","Buccal Surface","NCIT:C52589","NCIT"
"C4 EPIDURAL TUMOR","C4 Vertebra","NCIT:C32242","NCIT"
"C7-T1 SPINAL TUMOR","C7 Vertebra","NCIT:C32245","NCIT"
"C7-T1 SPINAL TUMOR","T1 Vertebra","NCIT:C33720","NCIT"
"CARDIAC ATRIUM EXTRA ADRENAL PGL","Cardiac Atrium","NCIT:C12728","NCIT"
"CECUM","Cecum","NCIT:C12381","NCIT"
"CAECUM","Cecum","NCIT:C12381","NCIT"
"CELIAC AXIS","Celiac Artery","NCIT:C52846","NCIT"
"INSULAR LOBE","Central Lobe","NCIT:C32278","NCIT"
"CNS","Central Nervous System","NCIT:C12438","NCIT"
"CNS METASTASIS","Central Nervous System","NCIT:C12438","NCIT"
"CEREBELLOPONTINE ANGLE","Cerebellopontine Angle","NCIT:C54057","NCIT"
"CEREBELLAR","Cerebellum","NCIT:C12445","NCIT"
"CEREBELLUM","Cerebellum","NCIT:C12445","NCIT"
"BRAIN, CEREBELLUM","Cerebellum","NCIT:C12445","NCIT"
"""BRAIN, CEREBELLUM""","Cerebellum","NCIT:C12445","NCIT"
