ontology_term,ontology_term_id,original_term_ontology,original_covered,num_original_covered,num_original
endocrine system disorder,MONDO:0005151,MONDO,MONDO:0004031;MONDO:0017802;MONDO:0004790;MONDO:0006467;MONDO:0019964,5,1152
neoplasm,MONDO:0005070,MONDO,MONDO:0000553;MONDO:0016267;MONDO:0004031;MONDO:0004278;MONDO:0004416;MONDO:0020659;MONDO:0006467;MONDO:0006973;MONDO:0020561;MONDO:0017802;MONDO:0700036;MONDO:0019964;MONDO:0005398,13,1152
MeSH_term,OMIT:0000110,OMIT,OMIT:0009442;OMIT:0010392,2,1152
immortal animal cell line cell,CLO:0000128,CLO,CLO:0000161;CLO:0000193;CLO:0000129,3,1152
continuant,BFO:0000002,BFO,CL:0000844;CL:0002553;CL:4006000,3,1152
testicular carcinoma,EFO:0005088,EFO,EFO:0005088,1,1152
undifferentiated sarcoma,EFO:0000730,EFO,EFO:0000730,1,1152
Nephroblastomatosis,HP:0008643,HP,HP:0008643,1,1152
Mucinous gastric carcinoma,HP:0031498,HP,HP:0031498,1,1152
Testicular mesothelioma,HP:0100005,HP,HP:0100005,1,1152
"Anatomic Structure, System, or Substance",NCIT:C12219,NCIT,NCIT:C12470;NCIT:C120321;NCIT:C12948;NCIT:C12376;NCIT:C12400;NCIT:C12666;NCIT:C12712;NCIT:C12410;NCIT:C12426;NCIT:C12404;NCIT:C12422;NCIT:C12745;NCIT:C139196;NCIT:C12389;NCIT:C12391;NCIT:C12392;NCIT:C12393;NCIT:C12414;NCIT:C12415;NCIT:C12439;NCIT:C12468;NCIT:C12678;NCIT:C12736;NCIT:C12971;NCIT:C12265;NCIT:C12266;NCIT:C12267;NCIT:C12268;NCIT:C12381;NCIT:C12382;NCIT:C12384;NCIT:C12385;NCIT:C12388;NCIT:C12390;NCIT:C12321;NCIT:C12311;NCIT:C12366;NCIT:C12998;NCIT:C13056;NCIT:C12702;NCIT:C12425;NCIT:C12443;NCIT:C12973;NCIT:C12438;NCIT:C12465;NCIT:C32141;NCIT:C33763;NCIT:C33209;NCIT:C77608;NCIT:C13166;NCIT:C12313;NCIT:C12469;NCIT:C12770;NCIT:C12471;NCIT:C32677;NCIT:C172233;NCIT:C129465;NCIT:C61362;NCIT:C12413;NCIT:C12418;NCIT:C54188;NCIT:C12535;NCIT:C12476;NCIT:C12474;NCIT:C12478;NCIT:C13077;NCIT:C13158;NCIT:C32210;NCIT:C32190;NCIT:C12482;NCIT:C12559;NCIT:C12597;NCIT:C12664,73,1152
Abnormal Cell,NCIT:C12913,NCIT,NCIT:C25288;NCIT:C36777;NCIT:C36797;NCIT:C36798;NCIT:C36815;NCIT:C36796;NCIT:C36868;NCIT:C36870;NCIT:C36959;NCIT:C37126;NCIT:C12487;NCIT:C12607,12,1152
Virus,NCIT:C14283,NCIT,NCIT:C14204;NCIT:C14215;NCIT:C14312,3,1152
