"original_value","curated_ontology","curated_ontology_term_id","curated_ontology_term_db","...5","...6","...7"
"SQUAMOUS CELL CARCINOMA, PHARYNX","Pharyngeal Squamous Cell Carcinoma","NCIT:C102872","NCIT",NA,NA,NA
"ASTROCYTOMA_GRADE_III-IV","High Grade Astrocytic Tumor","NCIT:C102897","NCIT",NA,NA,NA
"HIGH-GRADE SEROUS OVARIAN CANCER","Ovarian High Grade Serous Adenocarcinoma","NCIT:C105555","NCIT",NA,NA,NA
"OVARIAN HIGH-GRADE SEROUS","Ovarian High Grade Serous Adenocarcinoma","NCIT:C105555","NCIT",NA,NA,NA
"HIGH_GRADE_SEROUS","Ovarian High Grade Serous Adenocarcinoma","NCIT:C105555","NCIT",NA,NA,NA
"HGSOC","Ovarian High Grade Serous Adenocarcinoma","NCIT:C105555","NCIT",NA,NA,NA
"LOW-GRADE SEROUS OVARIAN CANCER","Ovarian Low Grade Serous Adenocarcinoma","NCIT:C105556","NCIT",NA,NA,NA
"ADENOCARCINOMA, LOW GRADE SEROUS","Ovarian Low Grade Serous Adenocarcinoma","NCIT:C105556","NCIT",NA,NA,NA
"LOW_GRADE_SEROUS","Ovarian Low Grade Serous Adenocarcinoma","NCIT:C105556","NCIT",NA,NA,NA
"OVARIAN LOW-GRADE SEROUS","Ovarian Low Grade Serous Adenocarcinoma","NCIT:C105556","NCIT",NA,NA,NA
"LGSOC","Ovarian Low Grade Serous Adenocarcinoma","NCIT:C105556","NCIT",NA,NA,NA
"ENDOMETRIAL ADENOSQUAMOUS CARCINOMA","Endometrial Adenosquamous Carcinoma","NCIT:C114656","NCIT",NA,NA,NA
"ENDOMETRIAL_ADENOSQUAMOUS","Endometrial Adenosquamous Carcinoma","NCIT:C114656","NCIT",NA,NA,NA
"MELANOMA MUCOSAL","Mucosal Melanoma","NCIT:C114828","NCIT",NA,NA,NA
"MUCM","Mucosal Melanoma","NCIT:C114828","NCIT",NA,NA,NA
"BLOOD CANCER","Liquid Tumor","NCIT:C116915","NCIT",NA,NA,NA
"BLOOD CANCER, NOS","Liquid Tumor","NCIT:C116915","NCIT",NA,NA,NA
"NON-SEMINOMATOUS GERM CELL TUMOR","Nongerminomatous Germ Cell Tumor","NCIT:C121619","NCIT",NA,NA,NA
"NON-GERMINOMATOUS GERM CELL TUMOR","Nongerminomatous Germ Cell Tumor","NCIT:C121619","NCIT",NA,NA,NA
"NON-SEMINOMATOUS GERM CELL TUMO","Nongerminomatous Germ Cell Tumor","NCIT:C121619","NCIT",NA,NA,NA
"NON-SEMINOMA","Nongerminomatous Germ Cell Tumor","NCIT:C121619","NCIT",NA,NA,NA
"SPINDLE CELL/SCLEROSING RHABDOMYOSARCOMA","Spindle Cell/Sclerosing Rhabdomyosarcoma","NCIT:C121654","NCIT",NA,NA,NA
"SCLEROSING RHABDOMYOSARCOMA","Sclerosing Rhabdomyosarcoma","NCIT:C121655","NCIT",NA,NA,NA
"PSEUDOMYOGENIC HEMANGIOENDOTHELIOMA","Pseudomyogenic Hemangioendothelioma","NCIT:C121668","NCIT",NA,NA,NA
"EPITHELIOID CELL TUMOR","Malignant PEComa","NCIT:C121792","NCIT",NA,NA,NA
"UNDIFFERENTIATED SARCOMA","Undifferentiated Soft Tissue Sarcoma","NCIT:C121793","NCIT",NA,NA,NA
"ROUND CELL SARCOMA, OTHER","Round Cell Sarcoma","NCIT:C121799","NCIT",NA,NA,NA
"ROUND CELL SARCOMA, NOS","Undifferentiated Round Cell Sarcoma","NCIT:C121799","NCIT",NA,NA,NA
"GIANT CELL TUMOR OF BONE","Giant Cell Tumor of Bone","NCIT:C121932","NCIT",NA,NA,NA
"CLEAR CELL PAPILLARY RENAL CELL CARCINOMA","Clear Cell Papillary Renal Neoplasm","NCIT:C121955","NCIT",NA,NA,NA
"SEROUS BORDERLINE OVARIAN TUMOR, MICROPAPILLARY","Borderline Ovarian Serous Tumor-Micropapillary Variant","NCIT:C122585","NCIT",NA,NA,NA
"LEPIDIC ADENOCARCINOMA 82503","Lepidic Adenocarcinoma","NCIT:C123160","NCIT",NA,NA,NA
"LEPIDIC","Lepidic Adenocarcinoma","NCIT:C123160","NCIT",NA,NA,NA
"MAMMARY ANALOGUE SECRETORY CARCINOMA OF SALIVARY GLAND ORIGIN","Salivary Gland Secretory Carcinoma","NCIT:C123384","NCIT",NA,NA,NA
"FUSION+ RMS","Fusion-Positive Rhabdomyosarcoma","NCIT:C123735","NCIT",NA,NA,NA
"FUSION- RMS","Fusion-Negative Rhabdomyosarcoma","NCIT:C123736","NCIT",NA,NA,NA
