official_label,clean_code
process,EFO:BFO_0000015
disposition,EFO:BFO_0000016
quality,EFO:BFO_0000019
material property,EFO:BFO_0000020
role,EFO:BFO_0000023
site,EFO:BFO_0000029
function,EFO:BFO_0000034
material entity,EFO:BFO_0000040
ciprofloxacin,EFO:CHEBI_100241
norfloxacin,EFO:CHEBI_100246
warfarin,EFO:CHEBI_10033
diltiazem,EFO:CHEBI_101278
sphingomyelin d18:1/16:0,EFO:CHEBI_106304
sphingomyelin d18:1/16:1,EFO:CHEBI_106363
sphingomyelin d18:1/24:1,EFO:CHEBI_107726
(R)-3-phenyllactate,EFO:CHEBI_11009
"2,3-dihydroxy-3-methylbutanoate",EFO:CHEBI_11424
erlotinib,EFO:CHEBI_114785
2-hydroxybutyric acid,EFO:CHEBI_1148
2-hydroxyglutarate(2-),EFO:CHEBI_11596
oleamide,EFO:CHEBI_116314
3-hydroxyisobutyrate,EFO:CHEBI_11805
3-methyl-2-oxobutanoate,EFO:CHEBI_11851
N-carbamoyl-beta-alaninate,EFO:CHEBI_11892
4-acetamidobutanoate,EFO:CHEBI_11951
2-nitrofluorene,EFO:CHEBI_1224
cefalotin,EFO:CHEBI_124991
vitamin A,EFO:CHEBI_12777
guanidinoacetate,EFO:CHEBI_131444
cholesteryl octadecadienoate,EFO:CHEBI_132002
cholesteryl octadecatrienoate,EFO:CHEBI_132004
cholesteryl icosatetraenoate,EFO:CHEBI_132006
cholesteryl icosapentaenoate,EFO:CHEBI_132007
glycoursodeoxycholate,EFO:CHEBI_132030
triacylglycerol 56:2,EFO:CHEBI_132034
N-stearoyltaurine,EFO:CHEBI_132479
triacylglycerol 58:11,EFO:CHEBI_132733
2-isopropylmalate,EFO:CHEBI_132917
3-hydroxysebacate,EFO:CHEBI_132934
ethylmalonate,EFO:CHEBI_132938
"1,3,7-trimethylurate",EFO:CHEBI_132940
pyridoxate,EFO:CHEBI_132948
maleate,EFO:CHEBI_132951
methylsuccinate,EFO:CHEBI_132961
"5alpha-pregnane-3beta,20alpha-diol disulfate",EFO:CHEBI_133119
3-hydroxyoctanoate,EFO:CHEBI_133511
3-methylglutaconate anion,EFO:CHEBI_133513
2-hydroxyoctanoate,EFO:CHEBI_133514
m-hydroxyhippurate,EFO:CHEBI_133607
p-hydroxyhippurate,EFO:CHEBI_133613
undecanedioic acid anion,EFO:CHEBI_133628
5-bromotryptophan,EFO:CHEBI_133686
1-methylurate anion,EFO:CHEBI_133725
"1,3-dimethylurate anion",EFO:CHEBI_133726
"1,7-dimethylurate anion",EFO:CHEBI_133727
"3,7-dimethylurate anion",EFO:CHEBI_133728
2-hydroxyhexanoate,EFO:CHEBI_133738
erythronate,EFO:CHEBI_133792
triacylglycerol 60:12,EFO:CHEBI_134112
tafenoquine,EFO:CHEBI_135752
teriparatide,EFO:CHEBI_135983
"3,3',4,4'-tetrachlorobiphenyl",EFO:CHEBI_1367
acetoacetate,EFO:CHEBI_13705
"(5Z,7E)-(3S)-26,26,26-trifluoro-27-nor-9,10-seco-5,7,10(19)-cholestatriene-3,25-diol",EFO:CHEBI_137137
1-(8-[3]-ladderane-octanoyl)-2-(8-[3]-ladderane-octanyl)-sn-glycerol,EFO:CHEBI_137149
CE(16:1),EFO:CHEBI_137552
methylhistidine,EFO:CHEBI_137682
cholesteryl icosatrienoate,EFO:CHEBI_138331
triacylglycerol 54:9,EFO:CHEBI_138346
His-Phe,EFO:CHEBI_141438
2-aminooctanoate,EFO:CHEBI_142420
sphingomyelin 14:0,EFO:CHEBI_143615
sphingomyelin 16:1,EFO:CHEBI_143616
sphingomyelin 18:0,EFO:CHEBI_143617
sphingomyelin 18:1,EFO:CHEBI_143618
triacylglycerol 58:12,EFO:CHEBI_143619
campesterol 3-beta-D-glucoside,EFO:CHEBI_145072
palmitoleamide,EFO:CHEBI_146162
selenate,EFO:CHEBI_15075
tartrate(2-),EFO:CHEBI_15193
threonate,EFO:CHEBI_15243
xanthine,EFO:CHEBI_15318
acetaldehyde,EFO:CHEBI_15343
acetone,EFO:CHEBI_15347
choline,EFO:CHEBI_15354
pyruvate,EFO:CHEBI_15361
acetylsalicylic acid,EFO:CHEBI_15365
acetic acid,EFO:CHEBI_15366
all-trans-retinoic acid,EFO:CHEBI_15367
"N-[(3R,4R,5S,6R)-5-[(2S,3R,4R,5S,6R)-3-Acetamido-5-[(2S,3S,4R,5R,6R)-5-[(2S,3R,4R,5S,6R)-3-acetamido-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-[(2R,3S,4S,5S,6R)-3-[(2S,3R,4R,5S,6R)-3-acetamido-4-hydroxy-6-(hydroxymethyl)-5-[(2S,3R,4S,5R,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxyoxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3-hydroxy-6-[[(2S,3S,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxymethyl]oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-2,4-dihydroxy-6-(hydroxymethyl)oxan-3-yl]acetamide",EFO:CHEBI_153671
acrolein,EFO:CHEBI_15368
"5,6,7,8-tetrahydrobiopterin",EFO:CHEBI_15372
water,EFO:CHEBI_15377
dioxygen,EFO:CHEBI_15379
S-adenosyl-L-methionine,EFO:CHEBI_15414
ATP,EFO:CHEBI_15422
glycine,EFO:CHEBI_15428
prostaglandin E2,EFO:CHEBI_15551
15-oxo-ETE,EFO:CHEBI_15559
"(15Z)-12-oxophyto-10,15-dienoic acid",EFO:CHEBI_15560
(R)-malate(2-),EFO:CHEBI_15588
(S)-malate(2-),EFO:CHEBI_15589
malate(2-),EFO:CHEBI_15595
2-methylcitrate(3-),EFO:CHEBI_15598
sarcosine,EFO:CHEBI_15611
allantoin,EFO:CHEBI_15676
(N(omega)-L-arginino)succinic acid,EFO:CHEBI_15682
trimethylamine N-oxide,EFO:CHEBI_15724
staurosporine,EFO:CHEBI_15738
hexadecanoic acid,EFO:CHEBI_15756
dichloromethane,EFO:CHEBI_15767
3-hydroxyanthranilic acid,EFO:CHEBI_15793
arachidonic acid,EFO:CHEBI_15843
quinine,EFO:CHEBI_15854
2-deoxy-D-glucose,EFO:CHEBI_15866
phenol,EFO:CHEBI_15882
sterol,EFO:CHEBI_15889
taurine,EFO:CHEBI_15891
"5,6-dihydrouracil",EFO:CHEBI_15901
(-)-methyl jasmonate,EFO:CHEBI_15929
atrazine,EFO:CHEBI_15930
nicotinic acid,EFO:CHEBI_15940
biotin,EFO:CHEBI_15956
ribitol,EFO:CHEBI_15963
sn-glycerol 3-phosphate,EFO:CHEBI_15978
5-oxoproline,EFO:CHEBI_16010
1-methyladenosine,EFO:CHEBI_16020
adenosine 5'-monophosphate,EFO:CHEBI_16027
phosphatidylethanolamine,EFO:CHEBI_16038
cholesterol,EFO:CHEBI_16113
benzoate,EFO:CHEBI_16150
sulfate,EFO:CHEBI_16189
oleic acid,EFO:CHEBI_16196
urea,EFO:CHEBI_16199
guanine,EFO:CHEBI_16235
ethanol,EFO:CHEBI_16236
hydrogen peroxide,EFO:CHEBI_16240
quercetin,EFO:CHEBI_16243
phospholipid,EFO:CHEBI_16247
chitosan,EFO:CHEBI_16261
17beta-hydroxy-5alpha-androstan-3-one,EFO:CHEBI_16330
