iri,ontology_name,ontology_prefix,short_form,description,label,obo_id,type
http://purl.obolibrary.org/obo/NCIT_C3262,ncit,NCIT,NCIT_C3262,,Neoplasm,NCIT:C3262,class
http://purl.obolibrary.org/obo/NCIT_C187447,ncit,NCIT,NCIT_C187447,,A53 Diffuse Large B-Cell Lymphoma,NCIT:C187447,class
http://purl.obolibrary.org/obo/NCIT_C3741,ncit,NCIT,NCIT_C3741,,Abdominal (Mesenteric) Fibromatosis,NCIT:C3741,class
http://purl.obolibrary.org/obo/NCIT_C126359,ncit,NCIT,NCIT_C126359,,Abdominal Inflammatory Myofibroblastic Tumor,NCIT:C126359,class
http://purl.obolibrary.org/obo/NCIT_C151982,ncit,NCIT,NCIT_C151982,,Abdominal Rhabdomyosarcoma,NCIT:C151982,class
http://purl.obolibrary.org/obo/NCIT_C210658,ncit,NCIT,NCIT_C210658,,Abdominal Sarcoma,NCIT:C210658,class
http://purl.obolibrary.org/obo/NCIT_C151985,ncit,NCIT,NCIT_C151985,,Abdominal Undifferentiated Pleomorphic Sarcoma,NCIT:C151985,class
http://purl.obolibrary.org/obo/NCIT_C5826,ncit,NCIT,NCIT_C5826,,Abducens Nerve Neoplasm,NCIT:C5826,class
http://purl.obolibrary.org/obo/NCIT_C27517,ncit,NCIT,NCIT_C27517,,Acantholytic Acanthoma,NCIT:C27517,class
http://purl.obolibrary.org/obo/NCIT_C4106,ncit,NCIT,NCIT_C4106,,Acantholytic Squamous Cell Carcinoma,NCIT:C4106,class
http://purl.obolibrary.org/obo/NCIT_C7419,ncit,NCIT,NCIT_C7419,,Acanthoma,NCIT:C7419,class
http://purl.obolibrary.org/obo/NCIT_C39754,ncit,NCIT,NCIT_C39754,,Acanthomatous Ameloblastoma,NCIT:C39754,class
http://purl.obolibrary.org/obo/NCIT_C206175,ncit,NCIT,NCIT_C206175,,Acanthotic Onychocytic Matricoma,NCIT:C206175,class
http://purl.obolibrary.org/obo/NCIT_C3173,ncit,NCIT,NCIT_C3173,,"Accelerated Phase Chronic Myeloid Leukemia, BCR-ABL1 Positive",NCIT:C3173,class
http://purl.obolibrary.org/obo/NCIT_C188315,ncit,NCIT,NCIT_C188315,,Accelerated Phase Myeloproliferative Neoplasm,NCIT:C188315,class
http://purl.obolibrary.org/obo/NCIT_C188317,ncit,NCIT,NCIT_C188317,,Accelerated Phase Primary Myelofibrosis,NCIT:C188317,class
http://purl.obolibrary.org/obo/NCIT_C5829,ncit,NCIT,NCIT_C5829,,Accessory Nerve Neoplasm,NCIT:C5829,class
http://purl.obolibrary.org/obo/NCIT_C7371,ncit,NCIT,NCIT_C7371,,Accessory Urethral Gland Adenocarcinoma,NCIT:C7371,class
http://purl.obolibrary.org/obo/NCIT_C4378,ncit,NCIT,NCIT_C4378,,Accessory Urethral Gland Neoplasm,NCIT:C4378,class
http://purl.obolibrary.org/obo/NCIT_C45929,ncit,NCIT,NCIT_C45929,,Acidophil Stem Cell Pituitary Neuroendocrine Tumor,NCIT:C45929,class
http://purl.obolibrary.org/obo/NCIT_C4196,ncit,NCIT,NCIT_C4196,,Acinar Cell Adenoma,NCIT:C4196,class
http://purl.obolibrary.org/obo/NCIT_C3768,ncit,NCIT,NCIT_C3768,,Acinar Cell Carcinoma,NCIT:C3768,class
http://purl.obolibrary.org/obo/NCIT_C4197,ncit,NCIT,NCIT_C4197,,Acinar Cell Neoplasm,NCIT:C4197,class
http://purl.obolibrary.org/obo/NCIT_C213099,ncit,NCIT,NCIT_C213099,,Acquired Benign Epithelial Melanosis of the Conjunctiva,NCIT:C213099,class
http://purl.obolibrary.org/obo/NCIT_C157718,ncit,NCIT,NCIT_C157718,,Acquired Cystic Disease-Associated Renal Cell Carcinoma,NCIT:C157718,class
http://purl.obolibrary.org/obo/NCIT_C206695,ncit,NCIT,NCIT_C206695,,Acquired Elastotic Hemangioma,NCIT:C206695,class
http://purl.obolibrary.org/obo/NCIT_C27018,ncit,NCIT,NCIT_C27018,,Acquired Hemangioma,NCIT:C27018,class
http://purl.obolibrary.org/obo/NCIT_C3203,ncit,NCIT,NCIT_C3203,,Acquired Progressive Lymphangioma,NCIT:C3203,class
http://purl.obolibrary.org/obo/NCIT_C4022,ncit,NCIT,NCIT_C4022,,Acral Lentiginous Melanoma,NCIT:C4022,class
http://purl.obolibrary.org/obo/NCIT_C204883,ncit,NCIT,NCIT_C204883,,Acral Melanoma,NCIT:C204883,class
http://purl.obolibrary.org/obo/NCIT_C54659,ncit,NCIT,NCIT_C54659,,Acral Nevus,NCIT:C54659,class
http://purl.obolibrary.org/obo/NCIT_C36265,ncit,NCIT,NCIT_C36265,,Acute Adult T-Cell Leukemia/Lymphoma,NCIT:C36265,class
http://purl.obolibrary.org/obo/NCIT_C3164,ncit,NCIT,NCIT_C3164,,Acute Basophilic Leukemia,NCIT:C3164,class
http://purl.obolibrary.org/obo/NCIT_C6923,ncit,NCIT,NCIT_C6923,,Acute Bilineal Leukemia,NCIT:C6923,class
http://purl.obolibrary.org/obo/NCIT_C4673,ncit,NCIT,NCIT_C4673,,Acute Biphenotypic Leukemia,NCIT:C4673,class
http://purl.obolibrary.org/obo/NCIT_C26813,ncit,NCIT,NCIT_C26813,,Acute Eosinophilic Leukemia,NCIT:C26813,class
http://purl.obolibrary.org/obo/NCIT_C8923,ncit,NCIT,NCIT_C8923,,Acute Erythroid Leukemia,NCIT:C8923,class
