original_value,curated_ontology,match_level,top_results
ETMR,Embryonal Tumor with Multilayered Rosettes,0,ETV4 Gene (Score: 0.9190);ETV1 Gene (Score: 0.9108);Hemangioma (Score: 0.8776);AML1-ETO Fusion Protein Expression (Score: 0.8710);Myxoma (Score: 0.8710)
AML WITH T(8;21)(Q22;Q22); RUNX1-RUNX1T1,Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1,2,Acute Myeloid Leukemia with t(8;21); (q22; q22.1); RUNX1-RUNX1T1 (Score: 0.9892);Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1 (Score: 0.9891);Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11 (Score: 0.9724);Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-MLL (Score: 0.9677);Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A (Score: 0.9621)
MESENCHYMAL CHONDROSARCOMA,Mesenchymal Chondrosarcoma,1,Mesenchymal Chondrosarcoma (Score: 1.0000);Chondrosarcoma (Score: 0.9603);Dedifferentiated Chondrosarcoma (Score: 0.9386);Chondroblastic Osteosarcoma (Score: 0.9385);Mesenchymal (Score: 0.9341)
HISTIOCYTIC AND DENDRITIC CELL NEOPLASMS,Histiocytic and Dendritic Cell Neoplasm,1,"Histiocytic and Dendritic Cell Neoplasm (Score: 0.9979);Histiocytic Sarcoma (Score: 0.9402);Malignant Lymphoma, Histiocytic, Diffuse (Score: 0.9401);Hematopoietic and Lymphoid Cell Neoplasm (Score: 0.9379);Histiocytosis (Score: 0.9371)"
YOLK SAC TUMORSEMINOMA,Yolk Sac Tumor<;>Seminoma,0,Yolk Sac Tumor (Score: 0.9768);Testicular Germ Cell Tumor (Score: 0.9150);Germ Cell Tumor (Score: 0.9083);Central Nervous System Embryonal Tumor (Score: 0.9059);Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.9047)
MUCINOUS STOMACH ADENOCARCINOMA,Gastric Mucinous Adenocarcinoma,1,Gastric Mucinous Adenocarcinoma (Score: 0.9873);Mucinous Adenocarcinoma (Score: 0.9718);Mucinous gastric carcinoma (Score: 0.9704);Colon Mucinous Adenocarcinoma (Score: 0.9632);Appendix Mucinous Adenocarcinoma (Score: 0.9577)
INVASIVE MUCINOUS ADCA,Invasive Lung Mucinous Adenocarcinoma,1,Invasive Lung Mucinous Adenocarcinoma (Score: 0.9556);Mucinous Adenocarcinoma (Score: 0.9383);Pancreatic Intraductal Papillary-Mucinous Neoplasm with an Associated Invasive Carcinoma (Score: 0.9284);Minimally Invasive Lung Non-Mucinous Adenocarcinoma (Score: 0.9264);Colon Mucinous Adenocarcinoma (Score: 0.9202)
SQUAMOUS CELL CARCINOMA,Squamous Cell Carcinoma,1,Squamous Cell Carcinoma (Score: 1.0000);Lung Squamous Cell Carcinoma (Score: 0.9852);Laryngeal Squamous Cell Carcinoma (Score: 0.9807);Cervical Squamous Cell Carcinoma (Score: 0.9787);Skin Squamous Cell Carcinoma (Score: 0.9783)
COLON CANCER,Colon Carcinoma,1,Colon Carcinoma (Score: 0.9812);Colon Adenocarcinoma (Score: 0.9688);Colon (Score: 0.9603);Colorectal Carcinoma (Score: 0.9546);Colon Mucinous Adenocarcinoma (Score: 0.9464)
TESTICULAR SEMINOMA,Testicular Seminoma,1,Testicular Seminoma (Score: 1.0000);Seminoma (Score: 0.9755);Testicular Non-Seminomatous Germ Cell Tumor (Score: 0.9438);Testicular Germ Cell Tumor (Score: 0.9408);Testicular Carcinoma (Score: 0.9364)
