original_value,curated_ontology,match_level,stage,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score,top6_match,top6_score,top7_match,top7_score,top8_match,top8_score,top9_match,top9_score,top10_match,top10_score,top11_match,top11_score,top12_match,top12_score,top13_match,top13_score,top14_match,top14_score,top15_match,top15_score,top16_match,top16_score,top17_match,top17_score,top18_match,top18_score,top19_match,top19_score,top20_match,top20_score,updated_value,top1_accuracy,top3_accuracy,top5_accuracy
25-30% DUCTAL COMPONENT,Prostate Ductal Adenocarcinoma,9,2,Ductal Eccrine Adenocarcinoma,0.6203,Oligometastatic Pancreatic Ductal Adenocarcinoma,0.6008,Ductal Eccrine Carcinoma with Abundant Fibromyxoid Stroma,0.5990,Diffuse Intraductal Papillomatosis,0.5958,Intraductal Papilloma,0.5946,Breast Ductal Adenoma,0.5910,Intraductal Papillomatosis,0.5875,Focal Intraductal Papillomatosis,0.5861,Prostate Ductal Adenocarcinoma,0.5841,Salivary Gland Intraductal Carcinoma,0.5834,Early Stage Pancreatic Ductal Adenocarcinoma,0.5831,Breast Ductal Carcinoma,0.5830,Lepidic Adenocarcinoma,0.5829,Salivary Duct Carcinoma,0.5815,Pancreatic Mixed Acinar-Ductal Carcinoma,0.5807,Lipid-Rich Carcinoma,0.5775,Dermal Duct Tumor,0.5748,Distal Cholangiocarcinoma,0.5740,Pancreatic Moderately Differentiated Ductal Adenocarcinoma,0.5728,Adenocarcinoma with Apocrine Metaplasia,0.5725,25-30% DUCTAL COMPONENT,False,False,False
82463 NEUROENDOCRINE CARCINOMA NOS,Neuroendocrine Carcinoma,1,2,Neuroendocrine Carcinoma,0.7585,Cervical Neuroendocrine Carcinoma,0.7151,Advanced Neuroendocrine Carcinoma,0.7141,Grade III Neuroendocrine Carcinoma,0.7064,Gastric Neuroendocrine Carcinoma,0.7034,Colorectal Neuroendocrine Carcinoma,0.6955,Pancreatic Neuroendocrine Carcinoma,0.6946,Adenocarcinoma with Neuroendocrine Differentiation,0.6901,Neuroendocrine Tumor G3,0.6860,Prostate Neuroendocrine Carcinoma,0.6838,Endometrial Neuroendocrine Carcinoma,0.6832,Salivary Gland Neuroendocrine Carcinoma,0.6814,Intestinal Neuroendocrine Carcinoma,0.6808,Small Cell Neuroendocrine Carcinoma,0.6802,Digestive System Neuroendocrine Carcinoma,0.6802,Colon Neuroendocrine Carcinoma,0.6756,Grade II Neuroendocrine Carcinoma,0.6752,Metastatic Neuroendocrine Carcinoma,0.6731,Gastroesophageal Junction Neuroendocrine Carcinoma,0.6725,Neuroendocrine Neoplasm,0.6670,82463 NEUROENDOCRINE CARCINOMA NOS,True,True,True
AB,Thymoma Type AB,8,2,Branchioma,0.6178,Blastoma,0.6003,Adult Acute Basophilic Leukemia,0.5979,Acute Basophilic Leukemia,0.5913,Barrett Adenocarcinoma,0.5850,Adenoma,0.5845,Breast Atypical Hyperplasia,0.5808,Thymoma Type AB,0.5753,Ciliary Body Adenocarcinoma,0.5709,Breast Adenocarcinoma,0.5699,Childhood Acute Basophilic Leukemia,0.5666,Anaplastic Medulloblastoma,0.5663,Adult Medulloblastoma,0.5650,Breast Atypical Lobular Hyperplasia,0.5604,Medulloblastoma,0.5602,Neuroblastoma,0.5599,Adenocarcinoma,0.5583,Breast Atypical Ductal Hyperplasia,0.5576,Advanced Breast Adenocarcinoma,0.5571,Atypical Adenoma,0.5567,AB,False,False,False
ACANTHOLYTIC,Skin Acantholytic Squamous Cell Carcinoma,9,2,Acantholytic Acanthoma,0.8033,Acanthoma,0.7408,Epidermolytic Acanthoma,0.7229,Clear Cell Acanthoma,0.6689,Large Cell Acanthoma,0.6590,Acantholytic Squamous Cell Carcinoma,0.6490,Acanthomatous Ameloblastoma,0.6363,Osteolytic Neoplasm,0.6258,Skin Acantholytic Squamous Cell Carcinoma,0.6183,Adenoma,0.6001,Pilar Sheath Acanthoma,0.5967,Ameloblastoma,0.5900,Breast Atypical Hyperplasia,0.5805,Benign Ameloblastoma,0.5794,Basal Cell Ameloblastoma,0.5790,Basal Cell Adenoma,0.5783,Lymphoma,0.5750,Secretory Meningioma,0.5699,AH Amyloidosis,0.5675,Inverted Follicular Keratosis,0.5675,ACANTHOLYTIC,False,False,False
ACC,Adrenal Cortical Carcinoma,1,2,Adrenal Cortical Carcinoma,0.9037,Advanced Adrenal Cortical Carcinoma,0.8379,Malignant Adrenal Cortical Neoplasm,0.8115,Metastatic Adrenal Cortical Carcinoma,0.8101,Adrenal Cortical Neoplasm,0.8089,Adrenal Cortical High Grade Carcinoma,0.7944,Adrenal Cortical Adenoma,0.7927,Adrenal Cortical Oncocytic Carcinoma,0.7924,Adrenal Cortical Low Grade Carcinoma,0.7893,Childhood Adrenal Cortical Carcinoma,0.7833,Adrenal Cortical Adenomatoid Tumor,0.7708,Locally Advanced Adrenal Cortical Carcinoma,0.7645,Metastatic Carcinoma in the Adrenal Cortex,0.7643,Adrenal Cortical Myxoid Carcinoma,0.7601,Unresectable Adrenal Cortical Carcinoma,0.7519,Adrenal Cortical Melanoma,0.7467,Adrenal Cortical Carcinoma by AJCC v8 Stage,0.7446,Adrenal Cortical Sarcomatoid Carcinoma,0.7358,Adrenal Cortical Compact Cell Adenoma,0.7350,Benign Adrenal Cortical Neoplasm,0.7345,Adrenocortical Carcinoma,True,True,True
ACINAR ADENOCARCINOMA 85513,Lung Acinar Adenocarcinoma,2,2,Prostate Acinar Adenocarcinoma,0.6614,Lung Acinar Adenocarcinoma,0.6432,Pancreatic Adenocarcinoma,0.6395,Adenocarcinoma,0.6316,Acinar Cell Carcinoma,0.6309,Anal Adenocarcinoma,0.6264,Appendix Adenocarcinoma,0.6215,Acinar Cell Adenoma,0.6208,Pancreatic Acinar Cell Cystadenocarcinoma,0.6203,Pancreatic Acinar Cell Carcinoma,0.6166,Prostate Adenocarcinoma,0.6157,Prostate Acinar Mucinous Adenocarcinoma,0.6138,Anal Canal Adenocarcinoma,0.6047,Prostate Acinar Oncocytic Adenocarcinoma,0.6026,Anal Glands Adenocarcinoma,0.6012,Pancreatic Ductal Adenocarcinoma,0.5972,Tubular Adenocarcinoma,0.5970,Papillary Adenocarcinoma,0.5958,Lung Adenocarcinoma,0.5949,Prostate Ductal Adenocarcinoma,0.5948,ACINAR ADENOCARCINOMA 85513,False,True,True
ACINAR CELL CARCINOMA,Acinar Cell Carcinoma,1,2,Acinar Cell Carcinoma,1.0000,Pancreatic Acinar Cell Carcinoma,0.9034,Acinar Cell Neoplasm,0.8874,Acinar Cell Adenoma,0.8750,Breast Acinic Cell Carcinoma,0.8287,Salivary Gland Acinic Cell Carcinoma,0.8285,Pancreatic Acinar Cell Neoplasm,0.8146,Lung Acinar Adenocarcinoma,0.8093,Pancreatic Acinar Cell Cystadenocarcinoma,0.8039,Major Salivary Gland Acinic Cell Carcinoma,0.7998,Prostate Acinar Adenocarcinoma,0.7962,Lacrimal Gland Acinic Cell Carcinoma,0.7792,Parotid Gland Acinic Cell Carcinoma,0.7788,Childhood Pancreatic Acinar Cell Carcinoma,0.7684,Minor Salivary Gland Acinic Cell Carcinoma,0.7619,Metastatic Pancreatic Acinar Cell Carcinoma,0.7583,Pancreatic Mixed Acinar-Ductal Carcinoma,0.7567,Adenocarcinoma,0.7551,Submandibular Gland Acinic Cell Carcinoma,0.7416,Lepidic Adenocarcinoma,0.7412,ACINAR CELL CARCINOMA,True,True,True
ACINAR CELL CARCINOMA OF THE PANCREAS,Pancreatic Acinar Cell Carcinoma,1,2,Pancreatic Acinar Cell Carcinoma,0.9614,Acinar Cell Carcinoma,0.9023,Pancreatic Acinar Cell Neoplasm,0.8340,Childhood Pancreatic Acinar Cell Carcinoma,0.8240,Pancreatic Acinar Cell Cystadenocarcinoma,0.8187,Pancreatic Mixed Acinar-Ductal Carcinoma,0.7916,Metastatic Pancreatic Acinar Cell Carcinoma,0.7868,Acinar Cell Adenoma,0.7848,Salivary Gland Acinic Cell Carcinoma,0.7828,Parotid Gland Acinic Cell Carcinoma,0.7818,Acinar Cell Neoplasm,0.7816,Prostate Acinar Adenocarcinoma,0.7718,Exocrine Pancreas Carcinoma,0.7665,Major Salivary Gland Acinic Cell Carcinoma,0.7642,Pancreatic Adenocarcinoma,0.7616,Pancreatic Ductal Adenocarcinoma,0.7562,Lung Acinar Adenocarcinoma,0.7443,Pancreatic Poorly Cohesive Adenocarcinoma,0.7327,Minor Salivary Gland Acinic Cell Carcinoma,0.7276,Breast Acinic Cell Carcinoma,0.7250,ACINAR CELL CARCINOMA OF THE PANCREAS,True,True,True
"ACINAR CELL CARCINOMA, NOS",Acinar Cell Carcinoma,1,2,Acinar Cell Carcinoma,0.9626,Pancreatic Acinar Cell Carcinoma,0.8781,Acinar Cell Neoplasm,0.8388,Acinar Cell Adenoma,0.8293,Salivary Gland Acinic Cell Carcinoma,0.8056,Breast Acinic Cell Carcinoma,0.7985,Pancreatic Acinar Cell Cystadenocarcinoma,0.7885,Pancreatic Acinar Cell Neoplasm,0.7782,Major Salivary Gland Acinic Cell Carcinoma,0.7772,Lung Acinar Adenocarcinoma,0.7758,Prostate Acinar Adenocarcinoma,0.7668,Parotid Gland Acinic Cell Carcinoma,0.7592,Lacrimal Gland Acinic Cell Carcinoma,0.7504,Pancreatic Mixed Acinar-Ductal Carcinoma,0.7363,Minor Salivary Gland Acinic Cell Carcinoma,0.7358,Childhood Pancreatic Acinar Cell Carcinoma,0.7294,Submandibular Gland Acinic Cell Carcinoma,0.7248,Metastatic Pancreatic Acinar Cell Carcinoma,0.7248,Prostate Acinar Microcystic Adenocarcinoma,0.7107,Lepidic Adenocarcinoma,0.7040,"ACINAR CELL CARCINOMA, NOS",True,True,True
ACINIC CELL CARCINOMA,Acinar Cell Carcinoma,2,2,Breast Acinic Cell Carcinoma,0.9182,Acinar Cell Carcinoma,0.9055,Salivary Gland Acinic Cell Carcinoma,0.8879,Lacrimal Gland Acinic Cell Carcinoma,0.8509,Major Salivary Gland Acinic Cell Carcinoma,0.8498,Parotid Gland Acinic Cell Carcinoma,0.8468,Minor Salivary Gland Acinic Cell Carcinoma,0.8100,Acinar Cell Neoplasm,0.8024,Pancreatic Acinar Cell Carcinoma,0.7995,Submandibular Gland Acinic Cell Carcinoma,0.7980,Childhood Salivary Gland Acinic Cell Carcinoma,0.7667,Acinar Cell Adenoma,0.7658,Pancreatic Acinar Cell Neoplasm,0.7191,Lung Acinar Adenocarcinoma,0.7124,Pancreatic Acinar Cell Cystadenocarcinoma,0.7089,Apocrine Carcinoma,0.7039,Oncocytic Adenocarcinoma,0.7012,Exocrine Pancreas Carcinoma,0.6972,Adenoid Cystic Carcinoma,0.6966,Adenocarcinoma,0.6965,ACINIC CELL CARCINOMA,False,True,True
