,original_value,curated_ontology,match_level,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score
0,17-DMAG,Alvespimycin,99,17-Alpha-Hydroxypregnenolone,0.9145,Anti-ENPP3/MMAF Antibody-Drug Conjugate AGS-16M8F,0.9090,SGN-17/19,0.9020,12-Allyldeoxoartemisinin,0.9014,Anti-AGS-16 Monoclonal Antibody AGS-16M18,0.8995
1,19D12,Robatumumab,99,Monoclonal Antibody 11D10,0.9070,19-Norprogesterone,0.8972,SGN-17/19,0.8920,COVID-19 Vaccine,0.8875,Monoclonal Antibody 14G2A,0.8872
2,5 fu,Fluorouracil,2,5-[18F]Fluorouracil,0.9421,Fluorouracil,0.9382,5-Fluoropyrimidinone,0.9287,Topical Fluorouracil,0.9273,Fuprazole,0.9224
3,5-FU,Fluorouracil,4,5-[18F]Fluorouracil,0.9515,5-Fluoro-2-Deoxycytidine,0.9420,5-Fluoropyrimidinone,0.9402,Fluorouracil,0.9393,5-Fluorouracil/Salicylic Acid Topical Solution,0.9341
4,5-fluorouracil,Fluorouracil,1,Fluorouracil,0.9644,5-[18F]Fluorouracil,0.9638,5-Fluoropyrimidinone,0.9496,Topical Fluorouracil,0.9477,5-Fluoro-2-Deoxycytidine,0.9473
5,5/FU,Fluorouracil,4,5-[18F]Fluorouracil,0.9308,5-Fluorouracil/Salicylic Acid Topical Solution,0.9224,5-Fluoropyrimidinone,0.9215,Fluorouracil,0.9199,2-Fluorofucose,0.9166
6,5FU,Fluorouracil,1,Fluorouracil,0.9457,5-[18F]Fluorouracil,0.9425,Topical Fluorouracil,0.9313,5-Fluoropyrimidinone,0.9283,Finafloxacin,0.9168
7,6-MP,Mercaptopurine,99,6-Azauridine,0.9243,9-Ethyl 6-Mercaptopurine,0.9119,Anti-IL-6 Monoclonal Antibody,0.9092,6 Helper Peptide,0.9091,6alpha-Methyl-11-oxoprogesterone,0.9080
8,6MP,Mercaptopurine,1,Mercaptopurine,0.8935,9-Ethyl 6-Mercaptopurine,0.8933,Mapatumumab,0.8821,Morforex,0.8818,Anti-PD-L1/TGFbetaRII Fusion Protein 6MW3511,0.8807
9,AA,Antiandrogen Therapy,99,Acavameran,0.8944,Aspirin,0.8937,Adalimumab,0.8932,Mafenide,0.8896,Mabuprofen,0.8892
10,AALL0232 therapy,AALL0232 ALL Study Identifier,99,Anti-IL-4/IL-13 Combination Agent QBX258,0.8984,Androgen Receptor Antagonist TAS3681,0.8976,AS02A,0.8920,Anti-LAG-3 Monoclonal Antibody TQB2223,0.8911,Anti-interleukin-1 Beta Monoclonal Antibody FL-101,0.8897
11,AALL0232 w/Dex,AALL0232 ALL Study Identifier;Dexamethasone,99,Dexproxibutene,0.8976,Dexloxiglumide,0.8948,Androgen Receptor/Glucocorticoid Receptor Antagonist CB-03-10,0.8932,Dexoxadrol,0.8927,Dexefaroxan,0.8925
12,AALL0331,AALL0331 ALL Study Identifier,99,AS04 Adjuvant,0.8827,AS02A,0.8791,Androgen Receptor Antagonist TAS3681,0.8762,Anbalcabtagene Autoleucel,0.8751,Albifylline,0.8736
13,ABRAXANE,Nab-paclitaxel,99,Oraxol,0.9408,Benaxibine,0.9216,Abrineurin,0.9148,Ribaxamase,0.9147,Letaxaban,0.9129
14,ABSTRACTION_PENDING,Chart Abstraction;Pending,99,Pefcalcitol,0.8716,Declopramide,0.8708,Acetosulfone,0.8705,Vapiprost,0.8698,Iproclozide,0.8697
15,ABT-199,Venetoclax,99,EGFR/HER2 Inhibitor ABT-101,0.9303,BH3 Mimetic ABT-737,0.9297,TSP-1 Mimetic ABT-510,0.9217,Anti-CTLA4 Monoclonal Antibody BMS-986218,0.9127,PARP-1/2 Inhibitor ABT-767,0.9115
16,ABT-263,Navitoclax,99,BH3 Mimetic ABT-737,0.9414,TSP-1 Mimetic ABT-510,0.9267,T-type Calcium Channel Blocker ABT-639,0.9253,PARP-1/2 Inhibitor ABT-767,0.9152,EGFR/HER2 Inhibitor ABT-101,0.9144
17,ABT888,Veliparib,99,BH3 Mimetic ABT-737,0.9001,EGFR/HER2 Inhibitor ABT-101,0.8989,BMS-188797,0.8947,Abituzumab,0.8927,Aminothiazole,0.8921
18,AC220 (Ambit),Quizartinib Dihydrochloride,99,Ambuside,0.9181,Anti-PD-L1/Anti-TIGIT Bispecific Antibody PM1022,0.9026,Ambucetamide,0.9020,Ambamustine,0.9012,Ambutonium,0.9007
19,ACTINOMYCIN D,Dactinomycin,99,Actinomycin Antineoplastic Antibiotic,0.9521,Actinomycin C2,0.9474,Actinomycin F1,0.9452,Actinomycin C3,0.9402,Anisomycin,0.9111
20,AG-120,Ivosidenib,99,gp-120 Antigen,0.9386,Tyrphostin AG 126,0.9140,Alpha-Gal AGI-134,0.9098,Anti-Progranulin Monoclonal Antibody AG01,0.8971,Tyrphostin AG 1433,0.8956
21,AG-221,Enasidenib,99,AG 1732,0.9161,Alpha-Gal AGI-134,0.8999,Tyrphostin AG 1433,0.8929,Anti-Progranulin Monoclonal Antibody AG01,0.8895,Adagrasib,0.8895
22,AIS,Aromatase Inhibitor,99,Anastrozole,0.8933,Bifarcept,0.8855,Semaxanib,0.8848,Imafen,0.8846,Idenast,0.8831
23,AKTi,AKT Inhibitor,1,AKT Inhibitor,0.9459,RCAS-Akt,0.9194,Trastuzumab,0.9077,Akt Inhibitor SR13668,0.9056,Akt-1/2 Inhibitor-treated Tumor Infiltrating Lymphocytes,0.9050
24,ALND,Axillary Lymph Node Dissection,99,Alniditan,0.9230,Alnuctamab,0.9195,Alnespirone,0.9149,Alogabat,0.9105,Alofanib,0.9081
25,ALPELISIB,Alpelisib,1,Alpelisib,1.0000,Alprafenone,0.9190,Alprenolol,0.9146,Acalisib,0.9145,Alpertine,0.9126
26,ALRN-6924,MDM2/MDMX Inhibitor ALRN-6924,1,MDM2/MDMX Inhibitor ALRN-6924,0.9344,AL721,0.9121,Alrestatin,0.8937,PR-54 (ras-13 Asp) Peptide,0.8897,Alrizomadlin,0.8893
27,AMD,Dactinomycin,99,Amdoxovir,0.9389,Darusentan,0.9277,Amdakefalin,0.9221,Amdizalisib,0.9203,Amdinocillin,0.9196
28,ANTHRACYCLINE,Anthracycline Antineoplastic Antibiotic,1,Anthracycline Antineoplastic Antibiotic,0.9571,Doxorubicin,0.9427,Anthramycin,0.9256,Amifloxacin,0.9243,Amiterol,0.9196
29,ANTIHER2,HER2-targeting Agent,99,Antihemophilic Factor Human,0.9112,Antihelminthic Agent,0.9074,2-Hydroxyestrogen,0.9025,2-Hydroxyestrone,0.9007,Cryoprecipitated Antihemophilic Factor,0.8995
30,APLIDIN,Plitidepsin,99,Aplaviroc,0.9132,Aplindore,0.9104,Glabridin,0.9053,Azaperone,0.8981,Aplaviroc Hydrochloride,0.8976
31,APR,Abdominoperineal Resection,99,Apramycin,0.9451,Apraglutide,0.9412,Apratastat,0.9397,Aprepitant,0.9366,Aprindine,0.9339
32,ARN 509,Apalutamide,99,Arnolol,0.9031,Bispecific Antibody AMG 509,0.8896,Revamilast,0.8686,Onterodrimer,0.8669,Orotirelin,0.8660
33,ARN509,Apalutamide,99,Arnolol,0.9076,Naratriptan,0.8767,Oncolytic HSV-1 rRp450,0.8724,Montanide ISA 51 VG,0.8715,50% Oxygen/50% Nitrous Oxide Premix,0.8714
34,ATG,Anti-Thymocyte Globulin,99,ATR Inhibitor ATG-018,0.9125,CD73 Inhibitor ATG-037,0.8914,Ipilimumab,0.8857,Ticagrelor,0.8847,Imatinib,0.8829
35,ATRA,Tretinoin,99,Atracurium,0.9500,Atrasentan,0.9467,Atracurium Besylate,0.9291,Atrasentan Hydrochloride,0.9210,Retinoic Acid Agent,0.9180
36,ATRA (Tretinoin),Tretinoin,1,Tretinoin,0.9648,Tretinoin Tocoferil,0.9391,Trestolone,0.9300,Tretinoin Liposome,0.9287,Trestolone Acetate,0.9252
37,ATRA started,Tretinoin,99,Atracurium,0.9190,Atrasentan,0.9113,Atracurium Besylate,0.9048,Atrasentan Hydrochloride,0.8972,Retinoic Acid Agent,0.8889
38,AZD-2171,Cediranib,99,FGFR Inhibitor AZD4547,0.9089,Anti-B7-H4/ TOP1i Antibody-drug Conjugate AZD8205,0.9080,Checkpoint Kinase Inhibitor AZD7762,0.9078,BMS-214662,0.9068,ATM Kinase Inhibitor AZD0156,0.9047
39,AZD-6244,Selumetinib,99,FGFR Inhibitor AZD4547,0.9330,mTOR Kinase Inhibitor AZD8055,0.9234,KSP Inhibitor AZD4877,0.9231,HDM2 Inhibitor MK-8242,0.9212,Androgen Receptor Downregulator AZD3514,0.9200
