,original_value,curated_ontology,match_level,top1_match,top1_score,top2_match,top2_score,top3_match,top3_score,top4_match,top4_score,top5_match,top5_score
0,17-DMAG,Alvespimycin,99,Methotrexate,0.8805,Anti-CD33 Antibody-drug Conjugate IMGN779,0.8793,Mitomycin,0.8775,Gemtuzumab Ozogamicin,0.8774,Gemtuzumab,0.8757
1,19D12,Robatumumab,99,Pracinostat,0.8616,Abiraterone,0.8523,Azacitidine,0.8520,Cetuximab,0.8494,Edicotinib,0.8493
2,5 fu,Fluorouracil,1,Fluorouracil,0.9382,Fluoropyrimidine,0.9116,Floxuridine,0.8965,Fotemustine,0.8950,Ifosfamide,0.8899
3,5-FU,Fluorouracil,1,Fluorouracil,0.9393,Fluoropyrimidine,0.9181,Fotemustine,0.9035,Floxuridine,0.9009,Fludarabine,0.8988
4,5-fluorouracil,Fluorouracil,1,Fluorouracil,0.9644,Fluoropyrimidine,0.9288,Floxuridine,0.9099,Fotemustine,0.9083,Folic Acid,0.9060
5,5/FU,Fluorouracil,1,Fluorouracil,0.9199,Fluoropyrimidine,0.8977,Fotemustine,0.8877,Floxuridine,0.8848,Ifosfamide,0.8778
6,5FU,Fluorouracil,1,Fluorouracil,0.9457,Fluoropyrimidine,0.9165,Floxuridine,0.9105,Fotemustine,0.9032,Fludarabine,0.8984
7,6-MP,Mercaptopurine,1,Mercaptopurine,0.8902,Mapatumumab,0.8895,Tamoxifen,0.8801,Folic Acid,0.8677,Mycophenolate Mofetil,0.8674
8,6MP,Mercaptopurine,1,Mercaptopurine,0.8935,Mapatumumab,0.8821,Mycophenolate Mofetil,0.8728,Tamoxifen,0.8677,Methotrexate,0.8652
9,AA,Antiandrogen Therapy,99,Adalimumab,0.8932,AALL0331 ALL Study Identifier,0.8909,Imatinib,0.8849,AALL0232 ALL Study Identifier,0.8842,AALL0232 ALL Study Identifier,0.8842
10,AALL0232 therapy,AALL0232 ALL Study Identifier,1,AALL0232 ALL Study Identifier,0.9377,AALL0232 ALL Study Identifier,0.9377,AALL0331 ALL Study Identifier,0.9307,Steroid Therapy,0.8761,Anti-CD33 Monoclonal Antibody BI 836858,0.8752
11,AALL0232 w/Dex,AALL0232 ALL Study Identifier;Dexamethasone,99,AALL0331 ALL Study Identifier,0.9088,AALL0232 ALL Study Identifier,0.9083,AALL0232 ALL Study Identifier,0.9083,Dexamethasone,0.8861,Dexamethasone,0.8861
12,AALL0331,AALL0331 ALL Study Identifier,1,AALL0331 ALL Study Identifier,0.9565,AALL0232 ALL Study Identifier,0.9375,AALL0232 ALL Study Identifier,0.9375,Apalutamide,0.8640,Ipilimumab,0.8630
13,ABRAXANE,Nab-paclitaxel,99,Pexidartinib,0.8896,Crenolanib,0.8886,Lorazepam,0.8884,Afatinib,0.8873,Abiraterone,0.8859
14,ABSTRACTION_PENDING,Chart Abstraction;Pending,99,Pending,0.9225,Chart Abstraction,0.9088,Seviteronel,0.8654,Melphalan,0.8613,Enzalutamide,0.8612
15,ABT-199,Venetoclax,99,Bevacizumab,0.8971,JAK2 Inhibitor AZD1480,0.8953,Nab-paclitaxel,0.8928,Bortezomib,0.8909,Atezolizumab,0.8870
16,ABT-263,Navitoclax,99,Erlotinib,0.8873,Ipilimumab,0.8870,Dasatinib,0.8859,Capecitabine,0.8835,Anti-CD33 Monoclonal Antibody BI 836858,0.8831
17,ABT888,Veliparib,99,Anti-CD33 Monoclonal Antibody BI 836858,0.8815,Trastuzumab,0.8772,Abiraterone,0.8768,Bevacizumab,0.8751,Cetuximab,0.8742
18,AC220 (Ambit),Quizartinib Dihydrochloride,99,Akt Inhibitor MK2206,0.8703,Bicalutamide,0.8628,Anti-CD33 Antibody-drug Conjugate IMGN779,0.8605,Anti-CD33 Monoclonal Antibody BI 836858,0.8604,Acalisib,0.8597
19,ACTINOMYCIN D,Dactinomycin,99,Anthracycline Antineoplastic Antibiotic,0.8906,Dexamethasone,0.8889,Dexamethasone,0.8889,Doxorubicin,0.8874,Azathioprine,0.8837
20,AG-120,Ivosidenib,99,Anti-ErbB3 Monoclonal Antibody REGN1400,0.8718,Graft,0.8690,Anti-CD33 Monoclonal Antibody BI 836858,0.8630,Anti-CD33 Antibody-drug Conjugate IMGN779,0.8618,Polyamine Analogue PG11047,0.8590
21,AG-221,Enasidenib,99,Imatinib,0.8676,Dexamethasone,0.8649,Dexamethasone,0.8649,Anti-CD33 Antibody-drug Conjugate IMGN779,0.8647,Gamma-Secretase Inhibitor RO4929097,0.8630
22,AIS,Aromatase Inhibitor,99,Gefitinib,0.8797,Estramustine,0.8753,Amifostine,0.8737,Letrozole,0.8692,Arsenic,0.8692
23,AKTi,AKT Inhibitor,1,AKT Inhibitor,0.9459,Trastuzumab,0.9077,Pan-AKT Kinase Inhibitor GSK690693,0.9022,Akt Inhibitor MK2206,0.9012,Gefitinib,0.8902
24,ALND,Axillary Lymph Node Dissection,99,Cediranib,0.8844,MDM2/MDMX Inhibitor ALRN-6924,0.8802,Everolimus,0.8729,Nab-paclitaxel,0.8726,Sentinel Lymph Node Biopsy,0.8714
25,ALPELISIB,Alpelisib,1,Alpelisib,1.0000,Acalisib,0.9145,Taselisib,0.9036,Pilaralisib,0.8944,Pravastatin,0.8839
26,ALRN-6924,MDM2/MDMX Inhibitor ALRN-6924,1,MDM2/MDMX Inhibitor ALRN-6924,0.9344,NAMPT Inhibitor STF-118804,0.8714,AALL0331 ALL Study Identifier,0.8657,AALL0232 ALL Study Identifier,0.8649,AALL0232 ALL Study Identifier,0.8649
27,AMD,Dactinomycin,99,Daratumumab,0.9008,Adalimumab,0.8936,Ramucirumab,0.8863,Dopamine,0.8850,Lenalidomide,0.8847
28,ANTHRACYCLINE,Anthracycline Antineoplastic Antibiotic,1,Anthracycline Antineoplastic Antibiotic,0.9571,Doxorubicin,0.9427,Doxorubicin Hydrochloride,0.9177,Imatinib,0.9143,Docetaxel,0.9075
29,ANTIHER2,HER2-targeting Agent,99,Anti-TIM-3 Monoclonal Antibody,0.8772,Anti-HGF Monoclonal Antibody TAK-701,0.8743,Peginterferon Alfa-2a,0.8725,Antiandrogen Therapy,0.8703,Adalimumab,0.8701
30,APLIDIN,Plitidepsin,2,Apalutamide,0.8820,Plitidepsin,0.8791,Pipobroman,0.8789,Paclitaxel,0.8764,Doxorubicin,0.8763
31,APR,Abdominoperineal Resection,99,Pelvis,0.8897,Pelvis,0.8897,Everolimus,0.8779,Bevacizumab,0.8739,Anterior Pelvic Exenteration,0.8734
32,ARN 509,Apalutamide,99,Dutasteride,0.8641,Anti-ErbB3 Monoclonal Antibody REGN1400,0.8549,Oblimersen Sodium,0.8505,Everolimus,0.8479,Anti-CD98 Monoclonal Antibody IGN523,0.8451
33,ARN509,Apalutamide,99,Trametinib,0.8628,Oblimersen Sodium,0.8621,Anti-CD98 Monoclonal Antibody IGN523,0.8535,Cetuximab,0.8523,Anti-ErbB3 Monoclonal Antibody REGN1400,0.8515
34,ATG,Anti-Thymocyte Globulin,99,Ipilimumab,0.8857,Imatinib,0.8829,Epinephrine,0.8793,Erlotinib,0.8779,Gastrectomy,0.8761
35,ATRA,Tretinoin,99,Tamibarotene,0.9089,Erlotinib,0.9069,Cisplatin,0.8971,Tamoxifen,0.8955,Cetuximab,0.8948
36,ATRA (Tretinoin),Tretinoin,1,Tretinoin,0.9648,Isotretinoin,0.9171,Treosulfan,0.9070,Topotecan,0.8987,Dactinomycin,0.8955
37,ATRA started,Tretinoin,99,Tamibarotene,0.8813,Erlotinib,0.8744,Cetuximab,0.8716,Abiraterone Acetate,0.8701,Steroid Therapy,0.8689
38,AZD-2171,Cediranib,99,mTOR Kinase Inhibitor AZD8055,0.8975,PIM Kinase Inhibitor SGI-1776,0.8956,HDM2 Inhibitor MK-8242,0.8943,JAK2 Inhibitor AZD1480,0.8920,Akt Inhibitor MK2206,0.8771
39,AZD-6244,Selumetinib,99,mTOR Kinase Inhibitor AZD8055,0.9234,HDM2 Inhibitor MK-8242,0.9212,JAK2 Inhibitor AZD1480,0.9049,MDM2/MDMX Inhibitor ALRN-6924,0.8958,Akt Inhibitor MK2206,0.8949
40,AZD1480,JAK2 Inhibitor AZD1480,1,JAK2 Inhibitor AZD1480,0.9627,Erlotinib,0.8980,mTOR Kinase Inhibitor AZD8055,0.8969,Everolimus,0.8905,Axitinib,0.8903
41,AZD8055,mTOR Kinase Inhibitor AZD8055,1,mTOR Kinase Inhibitor AZD8055,0.9523,JAK2 Inhibitor AZD1480,0.8958,Anti-CD33 Antibody-drug Conjugate IMGN779,0.8888,Axitinib,0.8864,HDM2 Inhibitor MK-8242,0.8793
42,AbiCabazi (abiraterone),Abiraterone,1,Abiraterone,0.9646,Abiraterone Acetate,0.9502,Dabrafenib,0.9065,Fludarabine,0.9021,Bicalutamide,0.9010
43,Abiraterone,Abiraterone,1,Abiraterone,1.0000,Abiraterone Acetate,0.9832,Dabrafenib,0.9136,Sirolimus,0.9129,Docetaxel,0.9108
44,Abiraterone acetate,Abiraterone Acetate,1,Abiraterone Acetate,1.0000,Abiraterone,0.9832,Dabrafenib,0.9098,Sirolimus,0.9096,Bicalutamide,0.9023
45,Adalimumab,Adalimumab,1,Adalimumab,1.0000,Doxorubicin,0.9186,Rituximab,0.9102,Nivolumab,0.9040,Cyclosporine,0.9039
46,Additional resection/ margins (taken after first margin positive),Resection,1,Resection,0.9115,Resection,0.9115,Resection,0.9115,Resection,0.9115,Resection,0.9115
47,Adr,Doxorubicin Hydrochloride,99,Adalimumab,0.8964,Doxorubicin,0.8889,Prednisolone,0.8830,Daratumumab,0.8768,Ramucirumab,0.8768
48,Adriamycine,Doxorubicin Hydrochloride,2,Doxorubicin,0.9548,Doxorubicin Hydrochloride,0.9269,Daunorubicin,0.9121,Adalimumab,0.9115,Anthracycline Antineoplastic Antibiotic,0.9103
49,Afatinib,Afatinib,1,Afatinib,1.0000,Ponatinib,0.9151,Zoligratinib,0.9084,Fulvestrant,0.9070,Fluorouracil,0.9035
50,Alisertib,Alisertib,1,Alisertib,1.0000,Sapanisertib,0.9228,Rigosertib,0.8981,Prexasertib,0.8877,Volasertib,0.8854
51,Alliance (enzalutamide),Enzalutamide,1,Enzalutamide,0.9585,Bicalutamide,0.9145,Abiraterone Acetate,0.8946,Antiandrogen Therapy,0.8943,Abiraterone,0.8869
52,Alpelisib,Alpelisib,1,Alpelisib,1.0000,Acalisib,0.9145,Taselisib,0.9036,Pilaralisib,0.8944,Pravastatin,0.8839
53,Anastomosis,Anastomosis,1,Anastomosis,1.0000,J-Pouch Coloanal Anastomosis,0.9245,Surgery,0.8986,Appendectomy,0.8937,Resection,0.8893
54,Anterior Pelvic Exenteration,Anterior Pelvic Exenteration,1,Anterior Pelvic Exenteration,1.0000,Anterior Pelvic Exenteration,1.0000,Pelvic Exenteration,0.9731,Pelvic Lymphadenectomy,0.9080,Pelvic Lymphadenectomy,0.9080
55,AntiEGFR,Anti-EGFR Monoclonal Antibody,1,Anti-EGFR Monoclonal Antibody,0.9303,Anti-HGF Monoclonal Antibody TAK-701,0.8889,Anti-LAG-3 Monoclonal Antibody,0.8887,Folate Receptor-Targeted Tubulysin Conjugate EC1456,0.8883,Anti-Thymocyte Globulin,0.8869
56,Ara,Cytarabine,2,Rituximab,0.8936,Cytarabine,0.8905,Pexidartinib,0.8836,Asparaginase,0.8832,Epinephrine,0.8812
57,Ara C,Cytarabine,1,Cytarabine,0.8949,Cladribine,0.8836,Cytosine,0.8776,Decitabine,0.8757,Cyclosporine,0.8746
58,Ara-C,Cytarabine,1,Cytarabine,0.9034,Cladribine,0.8904,Anti-CD33 Antibody-drug Conjugate IMGN779,0.8797,Cyclosporine,0.8794,Cetuximab,0.8793
59,Arsenic Trioxide,Arsenic Trioxide,1,Arsenic Trioxide,1.0000,Arsenic,0.9378,Tamoxifen,0.8773,Vadastuximab Talirine,0.8739,Thalidomide,0.8655
60,Arsenic.,Arsenic,1,Arsenic,0.9988,Arsenic Trioxide,0.9384,Seviteronel,0.8905,Imatinib,0.8867,Dasatinib,0.8839
61,Ascites,Ascites Drainage,1,Ascites Drainage,0.9559,Adalimumab,0.8908,Laparotomy,0.8894,Sorafenib,0.8862,Pericardial Effusion,0.8856
62,Aspiration,Aspiration,1,Aspiration,1.0000,Fine-Needle Aspiration,0.9316,Appendectomy,0.8711,Gastrectomy,0.8696,Enucleation,0.8683
63,Atezolizumab,Atezolizumab,1,Atezolizumab,1.0000,Pembrolizumab,0.9259,Anti-EGFR Monoclonal Antibody,0.8901,Navicixizumab,0.8901,Gemtuzumab Ozogamicin,0.8900
64,Auto,Autologous Hematopoietic Stem Cell Transplantation,99,Erlotinib,0.8735,Arsenic,0.8724,Ipilimumab,0.8713,Imatinib,0.8683,Asparaginase,0.8683
65,Autopsy,Autopsy,1,Autopsy,1.0000,Appendectomy,0.8792,Biopsy,0.8777,Biopsy,0.8777,Biopsy,0.8777
66,Avastin,Bevacizumab,1,Bevacizumab,0.9233,Asparaginase,0.8891,Sorafenib,0.8869,Durvalumab,0.8869,Ivosidenib,0.8856
67,Avatin,Lorazepam,99,Vinorelbine,0.8916,Vincristine,0.8912,Vinblastine,0.8848,Asparaginase,0.8821,Etoposide,0.8774
68,Axitinib,Axitinib,1,Axitinib,1.0000,Everolimus,0.9222,Selumetinib,0.9129,Cabazitaxel,0.9056,Lapatinib,0.9003
69,Aza,Azacitidine,1,Azacitidine,0.9397,Azathioprine,0.9281,Azacitidine Regimen,0.9123,Decitabine,0.8965,Azathioprine Sodium,0.8901
70,Azacitidine,Azacitidine,1,Azacitidine,1.0000,Azacitidine Regimen,0.9689,Decitabine,0.9102,Azathioprine,0.9074,Cisplatin,0.8901
71,Azathioprine,Azathioprine,1,Azathioprine,1.0000,Azathioprine Sodium,0.9645,Mercaptopurine,0.9339,Thioguanine,0.9105,Azacitidine,0.9074
72,B/L Pelvic LN dissection,Bilateral Pelvic Lymph Node Dissection,1,Bilateral Pelvic Lymph Node Dissection,0.9449,Pelvic Lymphadenectomy,0.9412,Pelvic Lymphadenectomy,0.9412,Pelvic Lymphadenectomy,0.9412,Lymphadenectomy,0.9079
73,BAL101553,Lisavanbulin,99,Bevacizumab,0.8747,Anti-CD33 Monoclonal Antibody BI 836858,0.8663,Bleomycin,0.8632,Adalimumab,0.8626,Steroid Therapy,0.8625
74,BAY1161909,Empesertib,99,Polyamine Analogue PG11047,0.8577,Glembatumumab,0.8564,Capecitabine,0.8538,Dual IGF-1R/InsR Inhibitor BMS-754807,0.8516,Trastuzumab,0.8511
75,BCG,Bacillus Calmette-Guerin Antigen,4,Bleomycin,0.9069,Bevacizumab,0.9003,Vaccine,0.8987,Bacillus Calmette-Guerin Antigen,0.8960,Ipilimumab,0.8920
76,BCNU,Carmustine,99,Navitoclax,0.8867,Neobladder,0.8853,Neobladder,0.8853,Trastuzumab,0.8722,Enucleation,0.8716
77,BEV,Bevacizumab,1,Bevacizumab,0.9032,Bortezomib,0.8913,Vinblastine,0.8854,Ispinesib,0.8817,Valproic Acid,0.8808
78,BEZ235,Dactolisib,99,Bevacizumab,0.9004,Bortezomib,0.8974,Everolimus,0.8970,Lapatinib,0.8963,Vorinostat,0.8904
79,BI 836858 (anti-CD33),Anti-CD33 Monoclonal Antibody BI 836858,1,Anti-CD33 Monoclonal Antibody BI 836858,0.9897,Anti-CD3 Monoclonal Antibody,0.9476,Anti-CD33 Antibody-drug Conjugate IMGN779,0.9370,Anti-TIM-3 Monoclonal Antibody,0.9248,Anti-CD98 Monoclonal Antibody IGN523,0.9099
80,BI6727 (VOLASERTIB),Volasertib,1,Volasertib,0.9501,Bevacizumab,0.8955,Anti-CD33 Monoclonal Antibody BI 836858,0.8913,Everolimus,0.8887,Vemurafenib,0.8870
81,BI836858 (anti-CD33),Anti-CD33 Monoclonal Antibody BI 836858,1,Anti-CD33 Monoclonal Antibody BI 836858,0.9856,Anti-CD3 Monoclonal Antibody,0.9449,Anti-CD33 Antibody-drug Conjugate IMGN779,0.9356,Anti-TIM-3 Monoclonal Antibody,0.9199,Anti-CD98 Monoclonal Antibody IGN523,0.9072
82,BKM120,Buparlisib,99,Binimetinib,0.8625,Cetuximab,0.8576,Bilateral Mastectomy,0.8563,Bevacizumab,0.8559,Monalizumab,0.8556
83,BL-8040,Motixafortide,99,Anti-PLGF Monoclonal Antibody TB-403,0.8710,Anti-HGF Monoclonal Antibody TAK-701,0.8701,Anti-CD33 Monoclonal Antibody BI 836858,0.8691,Ivosidenib,0.8651,Anti-CD33 Antibody-drug Conjugate IMGN779,0.8648
84,BMN-673,Talazoparib,99,Anti-CD33 Monoclonal Antibody BI 836858,0.8810,MDM2/MDMX Inhibitor ALRN-6924,0.8778,Anti-CD33 Antibody-drug Conjugate IMGN779,0.8713,NAMPT Inhibitor STF-118804,0.8702,Dual IGF-1R/InsR Inhibitor BMS-754807,0.8697
85,BMS-354825,Dasatinib,99,Dual IGF-1R/InsR Inhibitor BMS-754807,0.9048,NAMPT Inhibitor STF-118804,0.8860,Anti-CD33 Monoclonal Antibody BI 836858,0.8843,Purine Analogue NSC 750854,0.8840,mTOR Kinase Inhibitor AZD8055,0.8835
86,BMS-754807,Dual IGF-1R/InsR Inhibitor BMS-754807,1,Dual IGF-1R/InsR Inhibitor BMS-754807,0.9230,Glembatumumab,0.8934,NAMPT Inhibitor STF-118804,0.8860,Anti-CD33 Monoclonal Antibody BI 836858,0.8856,MDM2/MDMX Inhibitor ALRN-6924,0.8856
87,BMS-986205 (IDO inhibitor),Linrodostat,99,IDO Inhibitor,0.9399,Dual IGF-1R/InsR Inhibitor BMS-754807,0.9223,HDM2 Inhibitor MK-8242,0.9130,mTOR Kinase Inhibitor AZD8055,0.9119,NAMPT Inhibitor STF-118804,0.9116
88,BMS-986205 (P1T986205),Linrodostat,99,NAMPT Inhibitor STF-118804,0.8983,Purine Analogue NSC 750854,0.8982,Anti-CD33 Monoclonal Antibody BI 836858,0.8931,Dual IGF-1R/InsR Inhibitor BMS-754807,0.8910,mTOR Kinase Inhibitor AZD8055,0.8841
89,BORTEZOMIB,Bortezomib,1,Bortezomib,1.0000,Bevacizumab,0.9227,Vinblastine,0.9078,Nab-paclitaxel,0.9075,Paclitaxel,0.9048
90,BP1001,Prexigebersen,99,Everolimus,0.8916,JAK1 Inhibitor,0.8793,Ipilimumab,0.8728,JAK2 Inhibitor AZD1480,0.8709,Pembrolizumab,0.8700
91,BPX-501,Rivogenlecleucel,99,Bortezomib,0.8817,Nab-paclitaxel,0.8782,Binimetinib,0.8775,Anti-PLGF Monoclonal Antibody TB-403,0.8736,Plitidepsin,0.8729
92,BREAST CONSERVING,Breast Conservation Treatment,1,Breast Conservation Treatment,0.9446,Biopsy of Breast,0.9012,Left Breast,0.8993,Mastectomy,0.8981,Mammoplasty,0.8979
93,BSO,Buthionine Sulfoximine,99,Bilateral,0.8770,Bilateral,0.8770,Bilateral,0.8770,Bilateral,0.8770,Bilateral,0.8770
94,BU,Busulfan,1,Busulfan,0.8892,Bevacizumab,0.8799,Bleomycin,0.8723,Crenolanib,0.8715,Bortezomib,0.8709
95,BYL719,Alpelisib,99,Ifabotuzumab,0.8703,Lapatinib,0.8657,Imatinib,0.8655,Everolimus,0.8647,MDM2/MDMX Inhibitor ALRN-6924,0.8647
96,Bacillus Calmette-Guerin,Bacillus Calmette-Guerin Antigen,1,Bacillus Calmette-Guerin Antigen,0.9571,Vaccine,0.8695,Imatinib,0.8674,Clofarabine,0.8607,Lisavanbulin,0.8583
97,Bacillus Calmette-Guerin (BCG),Bacillus Calmette-Guerin Antigen,1,Bacillus Calmette-Guerin Antigen,0.9530,Vaccine,0.8933,Imatinib,0.8802,Bleomycin,0.8777,Glembatumumab,0.8770
