field_name,is_numeric_field
age_at_death,yes
age_at_diagnosis,yes
age_at_metastasis,yes
age_at_procurement,yes
ancestry_details,no
ancestry,no
body_site,no
country,no
cancer_status,no
disease,no
cancer_subtype,no
specimen_type,no
sample_type,no
cancer_type,no
cancer_type_details,no
location,no
sex,no
vital_status,no
treatment_name,no
treatment_type,no
treatment_dose,yes
treatment_number,yes
treatment_start,yes
treatment_end,yes
treatment_frequency,yes
treatment_duration,yes
treatment_status,no
treatment_reason,no
treatment_group,no
treatment_notes,no
