original_value,curated_ontology
sample_query_0,Neoplasm by Site
sample_query_1,Genitourinary System Neoplasm
sample_query_2,Benign Genitourinary System Neoplasm
sample_query_3,Childhood Benign Genitourinary System Neoplasm
sample_query_4,Childhood Testicular Mature Teratoma
sample_query_5,Childhood Mullerian Papilloma
sample_query_6,Childhood Benign Kidney Neoplasm
sample_query_7,Childhood Cystic Nephroma
sample_query_8,Ossifying Renal Tumor of Infancy
sample_query_9,Childhood Benign Ovarian Neoplasm
sample_query_10,Childhood Ovarian Fibroma
sample_query_11,Childhood Ovarian Sclerosing Stromal Tumor
sample_query_12,Fictitious Sample Carcinoma
sample_query_13,Example Benign Neoplasm NOS
