original_value,curated_ontology,curated_ontology_term_id,curated_ontology_term_db
"SQUAMOUS CELL CARCINOMA, PHARYNX",Pharyngeal Squamous Cell Carcinoma,NCIT:C102872,NCIT
ASTROCYTOMA_GRADE_III-IV,High Grade Astrocytic Tumor,NCIT:C102897,NCIT
HIGH-GRADE SEROUS OVARIAN CANCER,Ovarian High Grade Serous Adenocarcinoma,NCIT:C105555,NCIT
OVARIAN HIGH-GRADE SEROUS,Ovarian High Grade Serous Adenocarcinoma,NCIT:C105555,NCIT
HIGH_GRADE_SEROUS,Ovarian High Grade Serous Adenocarcinoma,NCIT:C105555,NCIT
HGSOC,Ovarian High Grade Serous Adenocarcinoma,NCIT:C105555,NCIT
LOW-GRADE SEROUS OVARIAN CANCER,Ovarian Low Grade Serous Adenocarcinoma,NCIT:C105556,NCIT
"ADENOCARCINOMA, LOW GRADE SEROUS",Ovarian Low Grade Serous Adenocarcinoma,NCIT:C105556,NCIT
LOW_GRADE_SEROUS,Ovarian Low Grade Serous Adenocarcinoma,NCIT:C105556,NCIT
OVARIAN LOW-GRADE SEROUS,Ovarian Low Grade Serous Adenocarcinoma,NCIT:C105556,NCIT
LGSOC,Ovarian Low Grade Serous Adenocarcinoma,NCIT:C105556,NCIT
ENDOMETRIAL ADENOSQUAMOUS CARCINOMA,Endometrial Adenosquamous Carcinoma,NCIT:C114656,NCIT
ENDOMETRIAL_ADENOSQUAMOUS,Endometrial Adenosquamous Carcinoma,NCIT:C114656,NCIT
MELANOMA MUCOSAL,Mucosal Melanoma,NCIT:C114828,NCIT
MUCM,Mucosal Melanoma,NCIT:C114828,NCIT
BLOOD CANCER,Liquid Tumor,NCIT:C116915,NCIT
"BLOOD CANCER, NOS",Liquid Tumor,NCIT:C116915,NCIT
NON-SEMINOMATOUS GERM CELL TUMOR,Nongerminomatous Germ Cell Tumor,NCIT:C121619,NCIT
NON-GERMINOMATOUS GERM CELL TUMOR,Nongerminomatous Germ Cell Tumor,NCIT:C121619,NCIT
NON-SEMINOMATOUS GERM CELL TUMO,Nongerminomatous Germ Cell Tumor,NCIT:C121619,NCIT
NON-SEMINOMA,Nongerminomatous Germ Cell Tumor,NCIT:C121619,NCIT
SPINDLE CELL/SCLEROSING RHABDOMYOSARCOMA,Spindle Cell/Sclerosing Rhabdomyosarcoma,NCIT:C121654,NCIT
SCLEROSING RHABDOMYOSARCOMA,Sclerosing Rhabdomyosarcoma,NCIT:C121655,NCIT
PSEUDOMYOGENIC HEMANGIOENDOTHELIOMA,Pseudomyogenic Hemangioendothelioma,NCIT:C121668,NCIT
EPITHELIOID CELL TUMOR,Malignant PEComa,NCIT:C121792,NCIT
UNDIFFERENTIATED SARCOMA,Undifferentiated Soft Tissue Sarcoma,NCIT:C121793,NCIT
"ROUND CELL SARCOMA, OTHER",Undifferentiated Round Cell Sarcoma,NCIT:C121799,NCIT
"ROUND CELL SARCOMA, NOS",Undifferentiated Round Cell Sarcoma,NCIT:C121799,NCIT
GIANT CELL TUMOR OF BONE,Giant Cell Tumor of Bone,NCIT:C121932,NCIT
CLEAR CELL PAPILLARY RENAL CELL CARCINOMA,Clear Cell Papillary Renal Tumor,NCIT:C121955,NCIT
"SEROUS BORDERLINE OVARIAN TUMOR, MICROPAPILLARY",Borderline Ovarian Serous Tumor-Micropapillary Variant/Non-Invasive Low Grade Ovarian Serous Carcinoma,NCIT:C122585,NCIT
LEPIDIC ADENOCARCINOMA 82503,Lepidic Adenocarcinoma,NCIT:C123160,NCIT
LEPIDIC,Lepidic Adenocarcinoma,NCIT:C123160,NCIT
MAMMARY ANALOGUE SECRETORY CARCINOMA OF SALIVARY GLAND ORIGIN,Salivary Gland Secretory Carcinoma,NCIT:C123384,NCIT
FUSION+ RMS,Fusion-Positive Rhabdomyosarcoma,NCIT:C123735,NCIT
FUSION- RMS,Fusion-Negative Rhabdomyosarcoma,NCIT:C123736,NCIT
"HIGH-GRADE B-CELL LYMPHOMA, WITH MYC AND BCL2 AND/OR BCL6 REARRANGEMENTS",High Grade B-Cell Lymphoma with MYC and BCL2 or BCL6 Rearrangements,NCIT:C125904,NCIT
CRIBIFORM MORULAR,Thyroid Gland Cribriform Morular Carcinoma,NCIT:C126408,NCIT
HIGH-GRADE SEROUS FALLOPIAN TUBE CANCER,Fallopian Tube High Grade Serous Adenocarcinoma,NCIT:C126456,NCIT
THYROID PAPILLARY CARCINOMA - FOLLICULAR >= 99% FOLLICULAR PATTERNED,Follicular Variant Thyroid Gland Papillary Carcinoma,NCIT:C126594,NCIT
PAPILLARY CARCINOMA: MIXED PAPILLARY AND FOLLICULAR VARIANT,Follicular Variant Thyroid Gland Papillary Carcinoma,NCIT:C126594,NCIT
UTERINE DEDIFFERENTIATED CARCINOMA,Endometrial Dedifferentiated Carcinoma,NCIT:C126769,NCIT
LUNG MICROPAPILLARY ADENOCARCINOMA,Lung Micropapillary Adenocarcinoma,NCIT:C128847,NCIT
MICROPAPILLARY ADENOCARCINOMA 82653,Lung Micropapillary Adenocarcinoma,NCIT:C128847,NCIT
"DIFFUSE ASTROCYTOMA, IDH-MUTANT","Astrocytoma, IDH-Mutant, Grade 2",NCIT:C129271,NCIT
"ANAPLASTIC ASTROCYTOMA, IDH-MUTANT","Astrocytoma, IDH-Mutant, Grade 3",NCIT:C129290,NCIT
"ANAPLASTIC ASTROCYTOMA, IDH-WILDTYPE","Anaplastic Astrocytoma, IDH-Wildtype",NCIT:C129291,NCIT
"DIFFUSE MIDLINE GLIOMA, H3K27M MUTANT","Diffuse Midline Glioma, H3 K27M-Mutant",NCIT:C129309,NCIT
"OLIGODENDROGLIOMA, IDH-MUTANT AND 1P/19Q-CODELETED","Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted",NCIT:C129318,NCIT
"ANAPLASTIC OLIGODENDROGLIOMA, IDH-MUTANT AND 1P/19Q-CODELETED","Anaplastic Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted",NCIT:C129321,NCIT
"ANAPLASTIC OLIGODENDROGLIOMA, IDH-MUTANT AND 1P/19Q CO-DELETED","Anaplastic Oligodendroglioma, IDH-Mutant and 1p/19q-Codeleted",NCIT:C129321,NCIT
DIFFUSE GLIOMA,Diffuse Glioma,NCIT:C129325,NCIT
ANAPLASTIC PLEOMORPHIC XANTHOASTROCYTOMA,Anaplastic Pleomorphic Xanthoastrocytoma,NCIT:C129327,NCIT
ST-RELPOS,"Supratentorial Ependymoma, ZFTA-RELA Fusion-Positive",NCIT:C129351,NCIT
RELA-FUSION,"Supratentorial Ependymoma, ZFTA-RELA Fusion-Positive",NCIT:C129351,NCIT
DIFFUSE LEPTOMENINGEAL  GLIONEURONAL TUMOR,Diffuse Leptomeningeal Glioneuronal Tumor,NCIT:C129424,NCIT
LARGE CELL/ANAPLASTIC MEDULLOBLASTOMA,Large Cell/Anaplastic Medulloblastoma,NCIT:C129436,NCIT
MED_GROUP_3,"Medulloblastoma, Non-WNT/Non-SHH, Group 3",NCIT:C129445,NCIT
SMALL_CELL_ADENOCARCINOMA,Small Cell Adenocarcinoma,NCIT:C129449,NCIT
NEUROENDOCRINE,Neuroendocrine Neoplasm,NCIT:C3809,NCIT
SOLITARY FIBROUS TUMOR OF THE CENTRAL NERVOUS SYSTEM,Central Nervous System Solitary Fibrous Tumor,NCIT:C129526,NCIT
AML WITH BIALLELIC MUTATIONS OF CEBPA,Acute Myeloid Leukemia with Biallelic CEBPA Mutation,NCIT:C129782,NCIT
AML WITH MUTATED RUNX1,Acute Myeloid Leukemia with RUNX1 Mutation,NCIT:C129786,NCIT
BCR-ABL1,"B Lymphoblastic Leukemia/Lymphoma, BCR-ABL1-Like",NCIT:C129787,NCIT
"B-LYMPHOBLASTIC LEUKEMIA/LYMPHOMA, BCR-ABL1 LIKE","B Lymphoblastic Leukemia/Lymphoma, BCR-ABL1-Like",NCIT:C129787,NCIT
"CHORDOMA, SACRAL",Sacral Chordoma,NCIT:C129927,NCIT
CHORDOMA_SACRAL,Sacral Chordoma,NCIT:C129927,NCIT
MDS WITH RING SIDEROBLASTS AND SINGLE LINEAGE DYSPLASIA,Myelodysplastic Syndrome with Ring Sideroblasts and Single Lineage Dysplasia,NCIT:C130037,NCIT
EARLY T-CELL PRECURSOR LYMPHOBLASTIC LEUKEMIA,Early T Precursor Acute Lymphoblastic Leukemia,NCIT:C130043,NCIT
ETP-ALL,Early T Precursor Acute Lymphoblastic Leukemia,NCIT:C130043,NCIT
CASTRATION-RESISTANT PROSTATE CANCER,Castration-Resistant Prostate Carcinoma,NCIT:C130234,NCIT
LGG,Low Grade Glioma,NCIT:C132067,NCIT
"LOW-GRADE GLIOMA, NOS",Low Grade Glioma,NCIT:C132067,NCIT
LOW-GRADE GLIOMA NOS,Low Grade Glioma,NCIT:C132067,NCIT
HEAD AND NECK MUCOSAL MELANOMA,Head and Neck Mucosal Melanoma,NCIT:C133187,NCIT
LUNG ADENOCARCINOMA IN SITU,Lung Adenocarcinoma In Situ,NCIT:C136486,NCIT
BRONCHIOALVEOLAR_CARCINOMA,Lung Adenocarcinoma In Situ,NCIT:C136486,NCIT
INVASIVE MUCINOUS ADENOCARCINOMA 82533,Invasive Lung Mucinous Adenocarcinoma,NCIT:C136709,NCIT
INVASIVE MUCINOUS ADCA,Invasive Lung Mucinous Adenocarcinoma,NCIT:C136709,NCIT
INVASIVE-MUCINOUS,Invasive Lung Mucinous Adenocarcinoma,NCIT:C136709,NCIT
CONGENITAL FIBROSARCOMA,Congenital Peribronchial Myofibroblastic Tumor,NCIT:C142823,NCIT
RECURRENCE FIRST HGG RECORD,Recurrent Malignant Glioma,NCIT:C142848,NCIT
RELAPSED_AML,Recurrent Acute Myeloid Leukemia,NCIT:C148427,NCIT
"ACUTE MYELOBLASTIC LEUKEMIA, IN RELAPSE",Recurrent Acute Myeloid Leukemia,NCIT:C148427,NCIT
