ontology_term,ontology_term_id,original_term_ontology,original_covered,num_original_covered,num_original
pelvic wall,UBERON:8480043,UBERON,UBERON:8480043,1,369
Lesser Pelvis,OMIT:0027038,OMIT,OMIT:0027038,1,369
anatomical space,UBERON:0000464,UBERON,UBERON:8480016;UBERON:0012198,2,369
jugulodigastric lymph node,UBERON:0038936,UBERON,UBERON:0038936,1,369
Angular notch of stomach,FMA:14573,FMA,FMA:14573,1,369
Left supraclavicular lymph node,FMA:232719,FMA,FMA:232719,1,369
Infratemporal fossa,FMA:75308,FMA,FMA:75308,1,369
Neck of gallbladder,FMA:14538,FMA,FMA:14538,1,369
Iliac nerve plexus,FMA:21537,FMA,FMA:21537,1,369
Retroperitoneal paraganglioma,HP:0006729,HP,HP:0006729,1,369
Tissue,NCIT:C12801,NCIT,NCIT:C12801;NCIT:C12505;NCIT:C32488;NCIT:C49799;NCIT:C12348;NCIT:C12770;NCIT:C159344;NCIT:C12469;NCIT:C13005;NCIT:C12471;NCIT:C12446;NCIT:C13049,12,369
Organ,NCIT:C13018,NCIT,NCIT:C12666;NCIT:C12399;NCIT:C12400;NCIT:C12426;NCIT:C12427;NCIT:C12234;NCIT:C12233;NCIT:C12346;NCIT:C12410;NCIT:C12745;NCIT:C32298;NCIT:C98188;NCIT:C118775;NCIT:C77642;NCIT:C12904;NCIT:C32801;NCIT:C137678;NCIT:C77646;NCIT:C33073;NCIT:C12903;NCIT:C77643;NCIT:C77645;NCIT:C117872;NCIT:C98189;NCIT:C65166;NCIT:C32761;NCIT:C77641;NCIT:C49018;NCIT:C12376;NCIT:C12404;NCIT:C12412;NCIT:C12394;NCIT:C12422;NCIT:C12470;NCIT:C89807;NCIT:C12785;NCIT:C12295;NCIT:C12415;NCIT:C34006;NCIT:C12468;NCIT:C32967;NCIT:C33483;NCIT:C33475;NCIT:C12414;NCIT:C12416;NCIT:C12417;NCIT:C12431;NCIT:C12736;NCIT:C12439;NCIT:C12971;NCIT:C12392;NCIT:C12391;NCIT:C12389;NCIT:C12377;NCIT:C12405;NCIT:C12432;NCIT:C12329;NCIT:C12393;NCIT:C12409;NCIT:C12433;NCIT:C12428;NCIT:C12407;NCIT:C12408,63,369
