curated_field,original_field_num,original_field
age_at_death,1,AGE_AT_DEATH
age_at_diagnosis,10,AGE_AT_DIAGNOSIS
age_at_diagnosis,10,AGE_AT_DIAGNOSIS_GROUP
age_at_diagnosis,10,AGE_AT_INITIAL_DIAGNOSIS
age_at_diagnosis,10,INVASIVE_CARCINOMA_DX_AGE
age_at_diagnosis,10,AGE_AT_DX
age_at_diagnosis,10,AGE_AT_PD1
age_at_diagnosis,10,AGE_D
age_at_diagnosis,10,DIAGNOSIS AGE
age_at_diagnosis,10,AGE_AT_INITIAL_PATHOLOGIC_DIAGNOSIS
age_at_diagnosis,10,PATIENT_AGE_AT_DIAGNOSIS
age_at_metastasis,3,AGE_AT_MET
age_at_metastasis,3,AGE_AT_EVIDENCE_OF_METS
age_at_metastasis,3,AGE_AT_METS
age_at_procurement,19,AGE
age_at_procurement,19,AGE_IN_DAYS
age_at_procurement,19,AGE_AT_PROCUREMENT
age_at_procurement,19,AGE_RESECTED
age_at_procurement,19,AGE_AT_SEQ_REPORT
age_at_procurement,19,AGE_AT_SEQ_REPORTED_YEARS
age_at_procurement,19,AGE_AT_SAMPLING
age_at_procurement,19,AGE_AT_SCC
age_at_procurement,19,AGE_AT_RESECTION
age_at_procurement,19,AGE_GROUP
age_at_procurement,19,AGE_TESTING_YEARS
age_at_procurement,19,AGE_START_IO
age_at_procurement,19,AGE_YRS
age_at_procurement,19,AGE_AT_SAMPLE_COLLECTION
age_at_procurement,19,AGE_AT_DERIVATION
age_at_procurement,19,AGE_AT_SEQUENCING
age_at_procurement,19,AGE_AT_TCGA_SPECIMEN
age_at_procurement,19,AGE_AT_DOS_BX
age_at_procurement,19,AGE_AT_SPECIMEN_ACQUISITION
ancestry,11,RACE
ancestry,11,ETHNICITY
ancestry,11,PRD_HISPANIC
ancestry,11,PRD_RACE
ancestry,11,HISPANIC
ancestry,11,RACE_CATEGORIZED
ancestry,11,ETHNICITY_SELF_IDENTIFY
ancestry,11,INFERRED_ETHNICITY
ancestry,11,REPORTED_ETHNICITY
ancestry,11,ANCESTRY_PRIMARY
ancestry,11,RACE_CATEGORY
bodysite,42,TUMOR_TISSUE_SITE
bodysite,42,TUMOR_TISSUE_SITE_PATIENT
bodysite,42,TUMOR_LOCATION_CONDENSED
bodysite,42,MULTIPLE_TUMOR_LOCATIONS
bodysite,42,TUMOR_SITE
bodysite,42,ANATOMICAL_SUBTYPE
bodysite,42,TUMOR_TISSUE_ORIGIN
bodysite,42,ESOPHAGEAL_TUMOR_LOCATION_INVOLVED
bodysite,42,ESOPHAGEAL_TUMOR_LOCATION_CENTERED
bodysite,42,LOCALIZED_VS_METS_AT_DX
bodysite,42,LOCATION
bodysite,42,TISSUE_SITE
bodysite,42,TUMOR_LOCATION
bodysite,42,TUMOR_LATERALITY
bodysite,42,TUMOR_SITE_CURATED
bodysite,42,LOCATION_LUNG_PARENCHYMA
bodysite,42,SOURCE_TYPE
bodysite,42,TUMOR_LEVEL
bodysite,42,SPECIFIC_TUMOR_LOCATION
bodysite,42,DISEASE_EXTENT
bodysite,42,TISSUE_TYPE
bodysite,42,DISEASE_MULTIFOCAL_INDICATOR
bodysite,42,PRIMARY_TUMOR_LOCATION
bodysite,42,LOCALIZED_TUMOR
bodysite,42,TISSUE_SITE_OF_DERIVATION
bodysite,42,DIAGNOSIS_CANCER_BONE
bodysite,42,DIAGNOSIS_CANCER_LOC_AXILLARY_LN
bodysite,42,DIAGNOSIS_CANCER_LOC_BREAST
bodysite,42,DIAGNOSIS_CANCER_LOC_LIVER
bodysite,42,DIAGNOSIS_CANCER_LOC_OTHER_LN
bodysite,42,DIAGNOSIS_CANCER_LOC_SKIN
bodysite,42,DIAGNOSIS_CANCER_LOC_LUNG
bodysite,42,DIAGNOSIS_CANCER_LOC_PLEURAL_EFFUSION
bodysite,42,DIAGNOSIS_CANCER_LOC_BRAIN
bodysite,42,DIAGNOSIS_CANCER_LOC_OVARY
bodysite,42,DIAGNOSIS_CANCER_LOC_CHEST_WALL
bodysite,42,TUMOR_SUBSITE
bodysite,42,TUMOR_MEGASITE
bodysite,42,TUMOR_SUPERSITE
bodysite,42,TUMOR_SITE_SAMPLE
bodysite,42,TUMOR_SITE_DETAIL
bodysite,42,LOCATION_RECURRED
acronym,2,CANCER_TYPE_ACRONYM
acronym,2,ONCOTREE_CODE_CANCER_TYPE
