field_name,source,is_numeric_field
age_at_death,AGE_AT_DEATH,yes
age_at_diagnosis,AGE_D,yes
age_at_diagnosis,AGE_AT_INITIAL_DIAGNOSIS,yes
age_at_diagnosis,AGE_AT_DX,yes
age_at_diagnosis,INVASIVE_CARCINOMA_DX_AGE,yes
age_at_diagnosis,AGE_AT_INITIAL_PATHOLOGIC_DIAGNOSIS,yes
age_at_diagnosis,PATIENT_AGE_AT_DIAGNOSIS,yes
age_at_diagnosis,AGE_AT_DIAGNOSIS_GROUP,yes
age_at_diagnosis,DIAGNOSIS.AGE,yes
age_at_diagnosis,AGE_AT_DIAGNOSIS,yes
age_at_diagnosis,AGE_AT_PD1,yes
age_at_metastasis,AGE_AT_METS,yes
age_at_metastasis,AGE_AT_EVIDENCE_OF_METS,yes
age_at_metastasis,AGE_AT_MET,yes
age_at_procurement,AGE_TESTING_YEARS,yes
age_at_procurement,AGE_AT_SAMPLE_COLLECTION,yes
age_at_procurement,AGE_AT_SEQUENCING,yes
age_at_procurement,AGE_AT_SPECIMEN_ACQUISITION,yes
age_at_procurement,AGE,yes
age_at_procurement,AGE_AT_TCGA_SPECIMEN,yes
age_at_procurement,AGE_AT_PROCUREMENT,yes
age_at_procurement,AGE_AT_SEQ_REPORT,yes
age_at_procurement,AGE_RESECTED,yes
age_at_procurement,AGE_AT_SCC,yes
age_at_procurement,AGE_AT_DERIVATION,yes
age_at_procurement,AGE_AT_SEQ_REPORTED_YEARS,yes
age_at_procurement,AGE_START_IO,yes
age_at_procurement,AGE_GROUP,yes
age_at_procurement,AGE_IN_DAYS,yes
age_at_procurement,AGE_AT_RESECTION,yes
age_at_procurement,AGE_YRS,yes
age_at_procurement,AGE_AT_DOS_BX,yes
age_at_procurement,AGE_AT_SAMPLING,yes
ancestry_details,ETHNICITY,no
ancestry_details,HISPANIC,no
ancestry_details,ETHNICITY_SELF_IDENTIFY,no
ancestry_details,RACE_CATEGORY,no
ancestry_details,PRD_RACE,no
