field_name,is_numeric_field
workflow_type,no
aligned_reads_files,no
submitted_genotyping_arrays,yes
workflow_link,no
workflow_version,no
workflow_start_datetime,no
workflow_end_datetime,no
type,no
id,no
submitter_id,yes
batch_id,no
state,no
project_id,no
created_datetime,no
updated_datetime,no
data_category,no
data_type,no
data_format,no
experimental_strategy,no
platform,no
copy_number_variation_workflows,no
genomic_profile_harmonization_workflows,no
somatic_copy_number_workflows,no
file_name,no
file_size,no
md5sum,no
file_state,no
error_type,no
state_comment,no
a260_a280_ratio,no
amount,no
analyte_quantity,no
analyte_type,no
analyte_type_id,no
analyte_volume,no
concentration,no
experimental_protocol_type,no
normal_tumor_genotype_snp_match,no
ribosomal_rna_28s_16s_ratio,no
rna_integrity_number,no
spectrophotometer_method,no
well_number,no
portions,no
samples,no
additional_pathology_findings,no
anaplasia_present,no
anaplasia_present_type,no
bone_marrow_malignant_cells,no
breslow_thickness,no
circumferential_resection_margin,no
columnar_mucosa_present,no
consistent_pathology_review,no
days_to_pathology_detail,yes
dysplasia_degree,no
dysplasia_type,no
epithelioid_cell_percent,yes
extracapsular_extension,no
extracapsular_extension_present,no
extranodal_extension,no
extrascleral_extension,no
extrathyroid_extension,no
greatest_tumor_dimension,yes
gross_tumor_weight,yes
histologic_progression_type,no
largest_extrapelvic_peritoneal_focus,no
lymph_node_dissection_method,no
lymph_node_dissection_site,no
lymph_node_involved_site,no
lymph_node_involvement,no
lymph_nodes_positive,no
lymph_nodes_removed,no
lymph_nodes_tested,no
lymphatic_invasion_present,no
margin_status,no
measurement_type,yes
measurement_unit,yes
metaplasia_present,no
micrometastasis_present,no
morphologic_architectural_pattern,no
necrosis_percent,yes
necrosis_present,no
non_nodal_regional_disease,no
non_nodal_tumor_deposits,no
number_proliferating_cells,no
percent_tumor_invasion,yes
percent_tumor_nuclei,yes
perineural_invasion_present,no
peripancreatic_lymph_nodes_positive,no
peripancreatic_lymph_nodes_tested,no
prostatic_chips_positive_count,yes
prostatic_chips_total_count,yes
prostatic_involvement_percent,yes
residual_tumor,no
residual_tumor_measurement,yes
rhabdoid_percent,yes
rhabdoid_present,no
sarcomatoid_percent,yes
sarcomatoid_present,no
size_extraocular_nodule,no
spindle_cell_percent,yes
transglottic_extension,no
tumor_depth_descriptor,no
tumor_depth_measurement,yes
tumor_infiltrating_lymphocytes,no
tumor_infiltrating_macrophages,no
tumor_largest_dimension_diameter,yes
tumor_length_measurement,yes
tumor_level_prostate,no
tumor_shape,no
tumor_thickness,no
tumor_width_measurement,yes
vascular_invasion_present,no
vascular_invasion_type,no
zone_of_origin_prostate,no
diagnoses,no
average_base_quality,no
average_insert_size,no
average_read_length,no
contamination,no
contamination_error,no
mean_coverage,no
msi_score,no
msi_status,no
pairs_on_diff_chr,no
proportion_base_mismatch,no
proportion_coverage_10x,no
proportion_coverage_30x,no
proportion_reads_duplicated,no
proportion_reads_mapped,no
proportion_targets_no_coverage,no
total_reads,no
tumor_ploidy,no
tumor_purity,no
wgs_coverage,no
alignment_cocleaning_workflows,no
alignment_workflows,no
submitted_unaligned_reads_files,yes
submitted_aligned_reads_files,yes
name,no
