field_name,source,is_numeric_field
workflow_type,workflow type,
workflow_type,type workflow,
workflow_type,workflow_type_name,
aligned_reads_files,aligned reads files,
aligned_reads_files,reads files aligned,
aligned_reads_files,aligned_reads_file,
aligned_reads_files,files.aligned_reads,
submitted_genotyping_arrays,submitted genotyping arrays,yes
submitted_genotyping_arrays,genotyping arrays submitted,yes
submitted_genotyping_arrays,num_submitted_genotyping_arrays,yes
submitted_genotyping_arrays,arrays.genotyping_submitted,yes
submitted_genotyping_arrays,submitted_genotyping_array,yes
workflow_link,workflow link,
workflow_link,link workflow,
workflow_link,workflow_url,
workflow_version,workflow version,
workflow_version,version workflow,
workflow_version,workflow_release,
workflow_start_datetime,workflow start datetime,
workflow_start_datetime,start datetime workflow,
workflow_start_datetime,workflow_start_date,
workflow_start_datetime,workflow_start_time,
workflow_end_datetime,workflow end datetime,
workflow_end_datetime,end datetime workflow,
workflow_end_datetime,workflow_end_date,
workflow_end_datetime,workflow_end_time,
type,type,
type,data_type_category,
type,record.type,
id,id,
id,identifier,
id,entity_id,
id,record.id,
submitter_id,submitter id,yes
submitter_id,id submitter,yes
submitter_id,submitter_identifier,yes
submitter_id,num_submitter_id,yes
batch_id,batch id,
batch_id,id batch,
batch_id,batch_identifier,
batch_id,batch_number,
state,state,
state,file_state,
state,status,
state,current_state,
state,state_name,
project_id,project id,
project_id,id project,
project_id,project_identifier,
project_id,project_code,
created_datetime,created datetime,
created_datetime,datetime created,
created_datetime,created_date,
created_datetime,creation_datetime,
created_datetime,creation_date,
updated_datetime,updated datetime,
updated_datetime,datetime updated,
updated_datetime,updated_date,
updated_datetime,last_updated_datetime,
updated_datetime,modification_datetime,
data_category,data category,
data_category,category data,
data_category,data_class,
data_category,data_classification,
data_type,data type,
data_type,type data,
data_type,data_kind,
data_format,data format,
data_format,format data,
data_format,file_format,
data_format,output_format,
experimental_strategy,experimental strategy,
experimental_strategy,strategy experimental,
experimental_strategy,experiment_strategy,
experimental_strategy,assay_strategy,
platform,platform,
platform,sequencing_platform,
platform,platform_name,
platform,platform_id,
platform,seq_platform,
copy_number_variation_workflows,copy number variation workflows,
copy_number_variation_workflows,cnv workflows,
copy_number_variation_workflows,copy_number_variation_workflow,
copy_number_variation_workflows,workflows.copy_number_variation,
genomic_profile_harmonization_workflows,genomic profile harmonization workflows,
genomic_profile_harmonization_workflows,profile harmonization workflows,
genomic_profile_harmonization_workflows,genomic_profile_harmonization_workflow,
genomic_profile_harmonization_workflows,workflows.harmonization_genomic_profile,
somatic_copy_number_workflows,somatic copy number workflows,
somatic_copy_number_workflows,scn workflows,
somatic_copy_number_workflows,somatic_copy_number_workflow,
somatic_copy_number_workflows,workflows.somatic_copy_number,
file_name,file name,
file_name,name file,
file_name,filename,
file_name,file_title,
file_size,file size,
file_size,size file,yes
file_size,filesize,yes
file_size,file_bytes,yes
md5sum,md5sum,
md5sum,md5,
md5sum,checksum_md5,
md5sum,md5.checksum,
md5sum,hash_md5,
file_state,file state,
file_state,state file,
file_state,file_status,
error_type,error type,
error_type,type error,
error_type,error_category,
state_comment,state comment,
state_comment,comment state,
state_comment,state_message,
state_comment,status_comment,
a260_a280_ratio,a260 a280 ratio,
a260_a280_ratio,ratio a260 a280,
a260_a280_ratio,a260_a280,
a260_a280_ratio,absorbance_260_280_ratio,
amount,amount,
amount,sample_amount,
amount,amount_value,
amount,amount_ng,
analyte_quantity,analyte quantity,
analyte_quantity,quantity analyte,yes
